arab: 阿拉伯

armenian: 亞美尼亞

avestan: 阿维斯塔

balinese: 巴厘

bamum: Bamum 

bashkir: 巴什基尔

bassa-vah: Bassa-vah 

batak: 巴塔克

belarusian: 白俄罗斯

bengali: 孟加拉文

bopomofo: 汉语拼音. 注音符號

brahmi: 婆罗米文

buginese: Buginese 

buhid: Buhid 

bulgarian: 保加利亚语

carian: 卡里安

caucasian-albanian: 高加索阿尔巴尼亚

chakma: Chakma

cham: 占語字母

cherokee: 切诺基

chinese: 汉语拼音

coptic: 科普特字母

cypriot-syllabary: 塞浦路斯音節文字

cyrillic: 西里尔字母

czech: 捷克

deseret: Deseret

devanagari: 天城文

elbasan: 爱尔巴桑

english: 英文字母

esperanto: 世界语
	
ethiopic: Ethiopic Ge'ez
	
french: 法语字母
	
georgian: 格鲁吉亚
	
german: 德语
	
glagolitic: Glagolitic
	
gothic: 哥特式
	
grantha: 格兰莎
	
greek: 希腊
	
gujarati: 古吉拉特语
	
gurmukhi: Gurmukhi
	
hangul: 韩文字母
	
hanunoo: Hanunoo
	
hebrew: 希伯来语
	
hungarian: 匈牙利
	
imperial-aramaic: 帝国的aramaic
	
international-phonetic-alphabet: 国际音标
	
italian: 意大利字母
	
japanese-hiragana: 日本平假名
	
japanese-katakana: 日本片假名
	
javanese: 爪哇
	
kaithi: Kaithi
	
kannada: 卡纳达语
	
kayah-li: Kayah li
	
kazakh: 哈萨克字母
	
kharoshthi: Kharoshthi
	
khmer: 高棉
	
khojki: Khojki
	
khudawadi: Khudawadi
	
lao: 老挝
	
latin: 拉丁字母
	
lepcha: Lepcha
	
limbu: Limbu
	
linear-b-Syllabary: 线性B音节
	
lisu: Lisu
	
lycian: 利西亚
	
lydian: Lydian
	
nabataean: Nabataean
	
mahajani: Mahajani
	
malayalam: 马拉雅拉姆语
	
mandaic: 曼达克
	
manichaean: 摩尼教的
	
meetei-mayek: Meetei mayek
	
mende-kikakui: 门德kikakui
	
meroitic-cursive: Meroitic草书字母
	
modi: 莫迪
	
mongolian: 蒙古
	
mro: Mro
	
myanmar: 缅甸
	
new-tai-lue: 新泰语
	
nko: Nko
	
ogham: Ngham
	
ol-chiki: Ol chiki
	
old-italic: 老斜体的etruscan
	
old-north-arabian: 老北阿拉伯
	
old-permic: 老permic
	
old-persian: 老波斯语
	
old-south-arabian: 老南阿拉伯
	
old-turkic: 老土耳其语古代
	
oriya: 奥里亚
	
osmanya: Osmanya
	
pahawh-hmong: Pahawh hmong
	
pahlavi: 巴列维
	
palmyrene: Palmyrene
	
pau-cin-hau: Pau cin hau
	
phags-pa: Phags-pa
	
phoenician: 腓尼基
	
polish: 波兰
	
pollard: 波拉德字母
	
rejang: Rejang
	
runic: 符文字母
	
russian: 俄语字母
	
samaritan: 撒玛利亚
	
saurashtra: Saurashtra
	
sharada: 莎拉达
	
shavian: Shavian
	
siddham: Siddham
	
sinhala: 僧伽罗
	
sora-sompeng: 索拉sompeng
	
spanish: 西班牙字母
	
sundanese: Sund他人
	
syloti-nagri: Syloti nagri
	
syriac: 叙利亚语
	
tagalog: 塔加拉族语字母
	
tagbanwa: Tagbanwa
	
tai-le: 泰乐
	
tai-tham: 泰tham
	
tai-viet: 泰维特字母
	
takri: Takri
	
tamil: 泰米尔语
	
tatar: 塔塔尔
	
telugu: 泰卢固语
	
thaana: 塔纳
	
thai: 泰国
	
tibetan: 藏文字母
	
tifinagh: Tifinagh
	
tirhuta: Tirhuta
	
turkish: 土耳其字母
	
ugaritic: Ugaritic
	
ukrainian: 乌克兰
	
unified-canadian-aboriginal-syllabics: 统一加拿大原住民音节
	
vai: Vai音节
	
varang-kshiti: Varang kshiti
	
yi-syllables: 彝语音节
