title: 美麗的西里爾字母
list_title: 美麗的西里爾字母

square: 平方拉丁大寫字母
old-english: 舊樣式英文字母
runic: 符文風格的英文字母
cyrillic: 西里爾
la: 信件 А
lb: 信件 Б
lv: 信件 В
lg: 信件 Г
ld: 信件 Д
le: 信件 Е
lzh: 信件 Ж
lz: 信件 З
li: 信件 И
ly: 信件 Й
lk: 信件 К
ll: 信件 Л
lm: 信件 М
ln: 信件 Н
lo: 信件 О
lp: 信件 П
lr: 信件 Р
ls: 信件 С
lt: 信件 Т
lu: 信件 У
lf: 信件 Ф
lh: 信件 Х
lc: 信件 Ц
lch: 信件 Ч
lsh: 信件 Ш
lsch: 信件 Щ
ltvzn: 信件 Ъ
lyy: 信件 Ы
lmzn: 信件 Ь
lye: 信件 Э
lyu: 信件 Ю
lya: 信件 Я
latin: 拉丁
circle: 帶圓圈的拉丁大寫字母
lla: 信件 A
llb: 信件 B
llc: 信件 C
lld: 信件 D
lle: 信件 E
llf: 信件 F
llg: 信件 G
llh: 信件 H
lli: 信件 I
llj: 信件 J
llk: 信件 K
lll: 信件 L
llm: 信件 M
lln: 信件 N
llo: 信件 O
llp: 信件 P
llr: 信件 R
lls: 信件 S
llt: 信件 T
llu: 信件 U
llv: 信件 V
llw: 信件 W
llx: 信件 X
lly: 信件 Y
llz: 信件 Z
