abkhazia        : 阿布哈兹
afghanistan     : 阿富汗
algeria         : 阿尔及利亚
armenia         : 亚美尼亚
australia       : 澳大利亚
azerbaijan      : 阿塞拜疆
bahrain         : 巴林
bali            : 巴厘岛
bangladesh      : 孟加拉
bosnia          : 波斯尼亚
bulgaria        : 保加利亚
burma           : 缅甸
#bhutan?
butane          : 不丹
cambodia        : 柬埔寨
cameroon        : 喀麦隆
canada          : 加拿大
china           : 中国
croatia         : 克罗地亚
egypt           : 埃及
england         : 英国
eritrea         : 厄立特里亚
estland         : 爱斯特兰
ethiopia        : 埃塞俄比亚
fiji_islands    : 斐济群岛
finland         : 芬兰
france          : 法国
georgia         : 格鲁吉亚
germany         : 德国
goa             : 果阿
greece          : 希腊
guam            : 关岛
guinea          : 几内亚
herzegovina     : 黑塞哥维那
hungary         : 匈牙利
india           : 印度
indonesia       : 印尼
iran            : 伊朗
iraq            : 伊拉克
ireland         : 爱尔兰
israel          : 以色列
italy           : 意大利
jakarta         : 雅加达
japan           : 日本
kashmir         : 克什米尔
kazakhstan      : 哈萨克斯坦
kenya           : 肯尼亚
kuwait          : 科威特
laos            : 老挝
levant          : 黎凡特
liberia         : 利比里亚
libya           : 利比亚
lombok          : 龙目岛
macedonia       : 马其顿
malaysia        : 马来西亚
maldives        : 马尔代夫
mali            : 马里
malta           : 马耳他
mauritius       : 毛里求斯
mesopotamia     : 美索不达米亚
moldova         : 摩尔多瓦
mongolia        : 蒙古
montenegro      : 黑山
myanmar         : 缅甸
nepal           : 尼泊尔
nigeria         : 尼日利亚
north_africa    : 北非
north_korea     : 北朝鲜
north_philippines : 菲律宾北
norway          : 挪威
pakistan        : 巴基斯坦
peru            : 秘鲁
philippines     : 菲律宾
poland          : 波兰
rumania         : 罗马尼亚
russia          : 俄国
salvador        : 萨尔瓦多
scotland        : 苏格兰
serbia          : 塞尔维亚
sierra_leone    : 塞拉利昂塞拉利昂
singapore       : 新加坡
slovenia        : 斯洛文尼亚
somalia         : 索马里
south_korea     : 韩国
sri_lanka       : 斯里兰卡
sudan           : 苏丹
sumatra         : 苏门答腊
sweden          : 瑞典
syria           : 叙利亚
taiwan          : 台湾
tanzania        : 坦桑尼亚
thailand        : 泰国
tibet           : 西藏
turkey          : 土耳其
uganda          : 乌干达
ukraine         : 乌克兰
usa             : 美国
vietnam         : 越南
wales           : 威尔士
