new-year: 欧美新年
new-year-ru: 俄罗斯新年
fifa-world-cup: 世界杯
chinese-new-year: 新年
valentine-day: 情人节
23-february: 俄罗斯祖国日的捍卫者
maslenica: shrovetide-春季初的斯拉夫假期
8-march: 国际妇女节
saint-patricks-day: 圣帕特里克的一天
holi: 洒红节 - 印度的色彩节
april-fools-day: 愚人节
cosmonautics-day: 宇航员日
easter-catolic: 复活节天主教徒
easter-orthodox: 复活节东正教
1-may: 春天的盛宴和俄罗斯的劳动
cinco-de-mayo: Chinko de Mayo
victory-day: 俄罗斯的胜利日
uefa-champions-league: 欧洲冠军联赛
international-childrens-day: 国际儿童节
eid-al-fitr: 库班贝拉姆
dragon-boat-festival: 端午节
queens-official-birthday: 女王在英国的官方生日
graduation: 高中毕业
independence-day: 美国独立日
uefa-european-championship: UEFA欧洲冠军
international-chess-day: 国际国际象棋日
bastille-day: 巴士底日
navy-day: 俄罗斯的海军日
den-vdv: 俄罗斯空降部队的日子
knowledge-day: 俄罗斯的知识日
birthday-of-the-smiley: 笑脸的生日
oktoberfest: 十月节
diwali: DILI
halloween: 万圣节
day-of-the-dead: 死亡的日子
guy-fawkes-night: 盖伊·福克斯之夜
thanksgiving: 在美国的感恩节
black-friday: 黑色星期五
hanukkah: 光明节
christmas: 圣诞节
summer-olympic-games: 夏季奥运会
winter-olympic-games: 冬季奥运会


new-year-date: 今天, 1月1日
winter-olympic-games-date: 今天，2月4日
valentine-day-date: 今天，2月14日
8-march-date: 今天，3月8日
saint-patricks-day-date: 今天，3月17日
april-fools-day-date: 今天，4月1日
1-may-date: 今天，5月1日
eid-al-fitr-date: 今天, 4月21日
victory-day-date: 今天，5月9日
uefa-champions-league-date: 今天，5月28日
international-childrens-day-date: 今天，6月1日
international-chess-day-date: 今天，7月20日
birthday-of-the-smiley-date: 今天，9月19日
oktoberfest-date: 今天，9月19日
halloween-date: 今天10月31日
fifa-world-cup-date: 今天，11月21日
hanukkah-date: 今天，12月18日
christmas-date: 今天，12月25日

chinese-new-year-date: 今天，2月1日
dragon-boat-festival-date: 今天, 6月22日
