13000: 埃及象形文字A001
13001: 埃及象形文字A002
13002: 埃及象形文字A003
13003: 埃及象形文字A004
13004: 埃及象形文字A005
13005: 埃及象形文字A005a
13006: 埃及象形文字A006
13007: 埃及象形文字A006a
13008: 埃及象形文字A006b
13009: 埃及象形文字A007
1300A: 埃及象形文字A008
1300B: 埃及象形文字A009
1300C: 埃及象形文字A010
1300D: 埃及象形文字A011
1300E: 埃及象形文字A012
1300F: 埃及象形文字A013
13010: 埃及象形文字A014
13011: 埃及象形文字A014a
13012: 埃及象形文字A015
13013: 埃及象形文字A016
13014: 埃及象形文字A017
13015: 埃及象形文字A017a
13016: 埃及象形文字A018
13017: 埃及象形文字A019
13018: 埃及象形文字A020
13019: 埃及象形文字A021
1301A: 埃及象形文字A022
1301B: 埃及象形文字A023
1301C: 埃及象形文字A024
1301D: 埃及象形文字A025
1301E: 埃及象形文字A026
1301F: 埃及象形文字A027
13020: 埃及象形文字A028
13021: 埃及象形文字A029
13022: 埃及象形文字A030
13023: 埃及象形文字A031
13024: 埃及象形文字A032
13025: 埃及象形文字A032a
13026: 埃及象形文字A033
13027: 埃及象形文字A034
13028: 埃及象形文字A035
13029: 埃及象形文字A036
1302A: 埃及象形文字A037
1302B: 埃及象形文字A038
1302C: 埃及象形文字A039
1302D: 埃及象形文字A040
1302E: 埃及象形文字A040a
1302F: 埃及象形文字A041
13030: 埃及象形文字A042
13031: 埃及象形文字A042a
13032: 埃及象形文字A043
13033: 埃及象形文字A043a
13034: 埃及象形文字A044
13035: 埃及象形文字A045
13036: 埃及象形文字A045a
13037: 埃及象形文字A046
13038: 埃及象形文字A047
13039: 埃及象形文字A048
1303A: 埃及象形文字A049
1303B: 埃及象形文字A050
1303C: 埃及象形文字A051
1303D: 埃及象形文字A052
1303E: 埃及象形文字A053
1303F: 埃及象形文字A054
13040: 埃及象形文字A055
13041: 埃及象形文字A056
13042: 埃及象形文字A057
13043: 埃及象形文字A058
13044: 埃及象形文字A059
13045: 埃及象形文字A060
13046: 埃及象形文字A061
13047: 埃及象形文字A062
13048: 埃及象形文字A063
13049: 埃及象形文字A064
1304A: 埃及象形文字A065
1304B: 埃及象形文字A066
1304C: 埃及象形文字A067
1304D: 埃及象形文字A068
1304E: 埃及象形文字A069
1304F: 埃及象形文字A070
13050: 埃及象形文字B001
13051: 埃及象形文字B002
13052: 埃及象形文字B003
13053: 埃及象形文字B004
13054: 埃及象形文字B005
13055: 埃及象形文字B005a
13056: 埃及象形文字B006
13057: 埃及象形文字B007
13058: 埃及象形文字B008
13059: 埃及象形文字B009
1305A: 埃及象形文字C001
1305B: 埃及象形文字C002
1305C: 埃及象形文字C002a
1305D: 埃及象形文字C002b
1305E: 埃及象形文字C002c
1305F: 埃及象形文字C003
13060: 埃及象形文字C004
13061: 埃及象形文字C005
13062: 埃及象形文字C006
13063: 埃及象形文字C007
13064: 埃及象形文字C008
13065: 埃及象形文字C009
13066: 埃及象形文字C010
13067: 埃及象形文字C010a
13068: 埃及象形文字C011
