13100: 埃及象形文字F002
13101: 埃及象形文字F003
13102: 埃及象形文字F004
13103: 埃及象形文字F005
13104: 埃及象形文字F006
13105: 埃及象形文字F007
13106: 埃及象形文字F008
13107: 埃及象形文字F009
13108: 埃及象形文字F010
13109: 埃及象形文字F011
1310A: 埃及象形文字F012
1310B: 埃及象形文字F013
1310C: 埃及象形文字F013a
1310D: 埃及象形文字F014
1310E: 埃及象形文字F015
1310F: 埃及象形文字F016
13110: 埃及象形文字F017
13111: 埃及象形文字F018
13112: 埃及象形文字F019
13113: 埃及象形文字F020
13114: 埃及象形文字F021
13115: 埃及象形文字F021a
13116: 埃及象形文字F022
13117: 埃及象形文字F023
13118: 埃及象形文字F024
13119: 埃及象形文字F025
1311A: 埃及象形文字F026
1311B: 埃及象形文字F027
1311C: 埃及象形文字F028
1311D: 埃及象形文字F029
1311E: 埃及象形文字F030
1311F: 埃及象形文字F031
13120: 埃及象形文字F031a
13121: 埃及象形文字F032
13122: 埃及象形文字F033
13123: 埃及象形文字F034
13124: 埃及象形文字F035
13125: 埃及象形文字F036
13126: 埃及象形文字F037
13127: 埃及象形文字F037a
13128: 埃及象形文字F038
13129: 埃及象形文字F038a
1312A: 埃及象形文字F039
1312B: 埃及象形文字F040
1312C: 埃及象形文字F041
1312D: 埃及象形文字F042
1312E: 埃及象形文字F043
1312F: 埃及象形文字F044
13130: 埃及象形文字F045
13131: 埃及象形文字F045a
13132: 埃及象形文字F046
13133: 埃及象形文字F046a
13134: 埃及象形文字F047
13135: 埃及象形文字F047a
13136: 埃及象形文字F048
13137: 埃及象形文字F049
13138: 埃及象形文字F050
13139: 埃及象形文字F051
1313A: 埃及象形文字F051a
1313B: 埃及象形文字F051b
1313C: 埃及象形文字F051c
1313D: 埃及象形文字F052
1313E: 埃及象形文字F053
1313F: 埃及象形文字G001
13140: 埃及象形文字G002
13141: 埃及象形文字G003
13142: 埃及象形文字G004
13143: 埃及象形文字G005
13144: 埃及象形文字G006
13145: 埃及象形文字G006a
13146: 埃及象形文字G007
13147: 埃及象形文字G007a
13148: 埃及象形文字G007b
13149: 埃及象形文字G008
1314A: 埃及象形文字G009
1314B: 埃及象形文字G010
1314C: 埃及象形文字G011
1314D: 埃及象形文字G011a
1314E: 埃及象形文字G012
1314F: 埃及象形文字G013
13150: 埃及象形文字G014
13151: 埃及象形文字G015
13152: 埃及象形文字G016
13153: 埃及象形文字G017
13154: 埃及象形文字G018
13155: 埃及象形文字G019
