17500: Tangut表意文字L2008-5049
17501: Tangut表意文字L2008-4953
17502: Tangut表意文字L2008-4888
17503: Tangut表意文字L2008-4959
17504: Tangut表意文字L2008-4851
17505: Tangut表意文字L2008-5021
17506: Tangut表意文字L2008-4839
17507: Tangut表意文字L2008-4730
17508: Tangut表意文字L2008-4936
17509: Tangut表意文字L2008-4981
1750A: Tangut表意文字L2008-5029
1750B: Tangut表意文字L2008-4979
1750C: Tangut表意文字L2008-4956
1750D: Tangut表意文字L2008-4986
1750E: Tangut表意文字L2008-5061
1750F: Tangut表意文字L2008-4786
17510: Tangut表意文字L2008-4785
17511: Tangut表意文字L2008-4800
17512: Tangut表意文字L2008-4945
17513: Tangut表意文字L2008-4961
17514: Tangut表意文字L2008-4726
17515: Tangut表意文字L2008-4783
17516: Tangut表意文字L2008-4711
17517: Tangut表意文字L2008-4830
17518: Tangut表意文字L2008-4894
17519: Tangut表意文字L2008-4952
1751A: Tangut表意文字L2008-4833
1751B: Tangut表意文字L2008-4906
1751C: Tangut表意文字L2008-4821
1751D: Tangut表意文字L2008-5020
1751E: Tangut表意文字L2008-4918
1751F: Tangut表意文字L2008-4701
17520: Tangut表意文字L2008-4732
17521: Tangut表意文字L2008-4915
17522: Tangut表意文字L2008-4907
17523: Tangut表意文字L2008-4698
17524: Tangut表意文字L2008-4899
17525: Tangut表意文字L2008-4697
17526: Tangut表意文字L2008-4904
17527: Tangut表意文字L2008-4840
17528: Tangut表意文字L2008-4896
17529: Tangut表意文字L2008-4900
1752A: Tangut表意文字L2008-4892
1752B: Tangut表意文字L2008-4700
1752C: Tangut表意文字L2008-4962
1752D: Tangut表意文字L2008-4703
1752E: Tangut表意文字L2008-4958
1752F: Tangut表意文字L2008-4829
17530: Tangut表意文字L2008-4834
17531: Tangut表意文字L2008-5022
17532: Tangut表意文字L2008-4984
17533: Tangut表意文字L2008-4702
17534: Tangut表意文字L2008-4712
17535: Tangut表意文字L2008-4963
17536: Tangut表意文字L2008-4998
17537: Tangut表意文字L2008-4994
17538: Tangut表意文字L2008-4699
17539: Tangut表意文字L2008-4835
1753A: Tangut表意文字L2008-4991
1753B: Tangut表意文字L2008-4883
1753C: Tangut表意文字L2008-4916
1753D: Tangut表意文字L2008-5153
1753E: Tangut表意文字L2008-4852
1753F: Tangut表意文字L2008-5412
17540: Tangut表意文字L2008-5294
17541: Tangut表意文字L2008-5068
17542: Tangut表意文字L2008-5501
17543: Tangut表意文字L2008-5813
17544: Tangut表意文字L2008-5811
17545: Tangut表意文字L2008-5812
17546: Tangut表意文字L2008-5809
17547: Tangut表意文字L2008-5808
17548: Tangut表意文字L2008-5804
17549: Tangut表意文字L2008-5816
1754A: Tangut表意文字S1968-2868
1754B: Tangut表意文字L2008-1425
1754C: Tangut表意文字L2008-1148
1754D: Tangut表意文字L2008-0912
1754E: Tangut表意文字L2008-1444
1754F: Tangut表意文字L2008-1359
17550: Tangut表意文字L2008-1252
17551: Tangut表意文字L2008-0966
17552: Tangut表意文字L2008-1089
17553: Tangut表意文字L2008-1244
17554: Tangut表意文字L2008-0959
17555: Tangut表意文字L2008-0974
17556: Tangut表意文字L2008-1150
17557: Tangut表意文字L2008-1182
17558: Tangut表意文字L2008-1247
17559: Tangut表意文字L2008-1246
1755A: Tangut表意文字L2008-1216
1755B: Tangut表意文字L2008-1413
1755C: Tangut表意文字L2008-1360
1755D: Tangut表意文字L2008-1194
1755E: Tangut表意文字L2008-1198
1755F: Tangut表意文字L2008-1436
17560: Tangut表意文字L2008-0967
17561: Tangut表意文字L2008-1337
17562: Tangut表意文字L2008-1062
17563: Tangut表意文字L2008-0945
17564: Tangut表意文字L2008-1268
17565: Tangut表意文字L2008-1339
17566: Tangut表意文字L2008-1400
17567: Tangut表意文字L2008-0920
17568: Tangut表意文字L2008-1373
17569: Tangut表意文字L2008-1127
1756A: Tangut表意文字L2008-0960
1756B: Tangut表意文字L2008-1190
1756C: Tangut表意文字L2008-1418
1756D: Tangut表意文字L2008-0946
1756E: Tangut表意文字L2008-1361
1756F: Tangut表意文字L2008-0903
17570: Tangut表意文字L2008-0921
17571: Tangut表意文字L2008-1378
17572: Tangut表意文字L2008-1090
17573: Tangut表意文字L2008-1191
17574: Tangut表意文字L2008-1362
17575: Tangut表意文字L2008-1291
17576: Tangut表意文字L2008-1504
17577: Tangut表意文字L2008-1492
17578: Tangut表意文字L2008-0444
17579: Tangut表意文字L2008-0456
1757A: Tangut表意文字L2008-0445
1757B: Tangut表意文字L2008-1485
1757C: Tangut表意文字L2008-0731
1757D: Tangut表意文字L2008-1817
1757E: Tangut表意文字L2008-1484
1757F: Tangut表意文字L2008-1483
17580: Tangut表意文字L2008-0455
17581: Tangut表意文字L2008-0428
17582: Tangut表意文字L2008-0447
17583: Tangut表意文字L2008-0627
17584: Tangut表意文字L2008-0619
17585: Tangut表意文字L2008-1516
17586: Tangut表意文字L2008-1819
17587: Tangut表意文字L2008-1818
17588: Tangut表意文字L2008-1527
17589: Tangut表意文字L2008-1509
