17A00: Tangut表意文字L2008-2652
17A01: Tangut表意文字L2008-2612
17A02: Tangut表意文字L2008-3685
17A03: Tangut表意文字L2008-2633
17A04: Tangut表意文字L2008-2132
17A05: Tangut表意文字L2008-2619
17A06: Tangut表意文字L2008-2623
17A07: Tangut表意文字L2008-3780
17A08: Tangut表意文字L2008-2756
17A09: Tangut表意文字L2008-3575
17A0A: Tangut表意文字L2008-3582
17A0B: Tangut表意文字L2008-2096
17A0C: Tangut表意文字L2008-3129
17A0D: Tangut表意文字L2008-2476
17A0E: Tangut表意文字L2008-2613
17A0F: Tangut表意文字L2008-3663
17A10: Tangut表意文字L2008-3624
17A11: Tangut表意文字L2008-6044
17A12: Tangut表意文字L2008-2097
17A13: Tangut表意文字L2008-2100
17A14: Tangut表意文字L2008-2123
17A15: Tangut表意文字L2008-3783
17A16: Tangut表意文字L2008-3144
17A17: Tangut表意文字L2008-3595
17A18: Tangut表意文字L2008-3660
17A19: Tangut表意文字L2008-3159
17A1A: Tangut表意文字L2008-3662
17A1B: Tangut表意文字L2008-2511
17A1C: Tangut表意文字L2008-2664
17A1D: Tangut表意文字L2008-3249
17A1E: Tangut表意文字L2008-3230
17A1F: Tangut表意文字L2008-2494
17A20: Tangut表意文字L2008-3147
17A21: Tangut表意文字L2008-3116
17A22: Tangut表意文字L2008-3286B
17A23: Tangut表意文字L2008-2624
17A24: Tangut表意文字L2008-2179
17A25: Tangut表意文字L2008-3106
17A26: Tangut表意文字L2008-3381
17A27: Tangut表意文字L2008-3154
17A28: Tangut表意文字L2008-2757
17A29: Tangut表意文字L2008-3219
17A2A: Tangut表意文字L2008-3263
17A2B: Tangut表意文字L2008-3197
17A2C: Tangut表意文字L2008-3287
17A2D: Tangut表意文字L2008-3105
17A2E: Tangut表意文字L2008-3235
17A2F: Tangut表意文字L2008-3267
17A30: Tangut表意文字L2008-2497
17A31: Tangut表意文字L2008-3656
17A32: Tangut表意文字L2008-3260
17A33: Tangut表意文字L2008-3175
17A34: Tangut表意文字L2008-2204
17A35: Tangut表意文字L2008-2607
17A36: Tangut表意文字L2008-3117
17A37: Tangut表意文字L2008-2236
17A38: Tangut表意文字L2008-2217
17A39: Tangut表意文字L2008-2092
17A3A: Tangut表意文字L2008-2076
17A3B: Tangut表意文字L2008-2226
17A3C: Tangut表意文字L2008-2130
17A3D: Tangut表意文字L2008-6045
17A3E: Tangut表意文字L2008-3598
17A3F: Tangut表意文字L2008-3218
17A40: Tangut表意文字L2008-3302
17A41: Tangut表意文字L2008-2878
17A42: Tangut表意文字L2008-2286
17A43: Tangut表意文字L2008-2875
17A44: Tangut表意文字L2008-2860
17A45: Tangut表意文字L2008-2869
17A46: Tangut表意文字L2008-2882
17A47: Tangut表意文字L2008-2872
17A48: Tangut表意文字L2008-2805
17A49: Tangut表意文字L2008-3236
17A4A: Tangut表意文字L2008-3681
17A4B: Tangut表意文字L2008-3682
17A4C: Tangut表意文字L2008-2680
17A4D: Tangut表意文字L2008-2221-2807
17A4E: Tangut表意文字L2008-2785
17A4F: Tangut表意文字L2008-3343
17A50: Tangut表意文字L2008-2108
17A51: Tangut表意文字L2008-2109
17A52: Tangut表意文字L2008-3132
17A53: Tangut表意文字L2008-3637
17A54: Tangut表意文字L2008-2665
17A55: Tangut表意文字L2008-2112
17A56: Tangut表意文字L2008-3148
17A57: Tangut表意文字L2008-3714
17A58: Tangut表意文字L2008-2099
17A59: Tangut表意文字L2008-2667
17A5A: Tangut表意文字L2008-2495
17A5B: Tangut表意文字L2008-3646
17A5C: Tangut表意文字L2008-3611
17A5D: Tangut表意文字L2008-2653
17A5E: Tangut表意文字L2008-2666
17A5F: Tangut表意文字L2008-3318
17A60: Tangut表意文字L2008-3319
17A61: Tangut表意文字L2008-3593
17A62: Tangut表意文字L2008-3586
17A63: Tangut表意文字L2008-2684
17A64: Tangut表意文字L2008-2102
17A65: Tangut表意文字L2008-3367
17A66: Tangut表意文字L2008-3661
17A67: Tangut表意文字L2008-2163
17A68: Tangut表意文字L2008-3315
17A69: Tangut表意文字L2008-3135
17A6A: Tangut表意文字L2008-2859
17A6B: Tangut表意文字L2008-3168
17A6C: Tangut表意文字L2008-3702
17A6D: Tangut表意文字L2008-2105
17A6E: Tangut表意文字L2008-2110
17A6F: Tangut表意文字L2008-3576
17A70: Tangut表意文字L2008-3687
17A71: Tangut表意文字L2008-2620
17A72: Tangut表意文字L2008-3107
17A73: Tangut表意文字L2008-3332
17A74: Tangut表意文字L2008-2636
17A75: Tangut表意文字L2008-3304
17A76: Tangut表意文字L2008-3199
17A77: Tangut表意文字L2008-3288
17A78: Tangut表意文字L2008-3329
17A79: Tangut表意文字L2008-3289
17A7A: Tangut表意文字N1966-204-10GG
17A7B: Tangut表意文字L2008-2222
17A7C: Tangut表意文字L2008-2809
17A7D: Tangut表意文字L2008-2113
17A7E: Tangut表意文字L2008-2091
17A7F: Tangut表意文字L2008-2067
17A80: Tangut表意文字L2008-2258
17A81: Tangut表意文字L2008-2124
17A82: Tangut表意文字L2008-2264
17A83: Tangut表意文字L2008-2078
17A84: Tangut表意文字L2008-2227
17A85: Tangut表意文字L2008-2292
17A86: Tangut表意文字L2008-2164
17A87: Tangut表意文字L2008-3331
17A88: Tangut表意文字L2008-2481
17A89: Tangut表意文字L2008-2134
17A8A: Tangut表意文字L2008-3697
17A8B: Tangut表意文字L2008-2647
17A8C: Tangut表意文字L2008-3674
17A8D: Tangut表意文字L2008-2251
17A8E: Tangut表意文字L2008-2905
17A8F: Tangut表意文字L2008-2864
17A90: Tangut表意文字L2008-2867
17A91: Tangut表意文字L2008-3629
17A92: Tangut表意文字L2008-3372
17A93: Tangut表意文字L2008-3232
17A94: Tangut表意文字L2008-2515
17A95: Tangut表意文字L2008-3577
17A96: Tangut表意文字L2008-3384
17A97: Tangut表意文字L2008-2660
17A98: Tangut表意文字L2008-2104
17A99: Tangut表意文字L2008-2764
17A9A: Tangut表意文字L2008-2865
17A9B: Tangut表意文字L2008-2634
17A9C: Tangut表意文字L2008-2479
17A9D: Tangut表意文字L2008-2487
17A9E: Tangut表意文字L2008-2514
17A9F: Tangut表意文字L2008-2103
17AA0: Tangut表意文字L2008-2763
17AA1: Tangut表意文字L2008-3686
17AA2: Tangut表意文字L2008-3371
17AA3: Tangut表意文字L2008-3220
17AA4: Tangut表意文字L2008-3326
17AA5: Tangut表意文字L2008-3145
17AA6: Tangut表意文字L2008-3587
17AA7: Tangut表意文字L2008-3616
17AA8: Tangut表意文字L2008-2259
17AA9: Tangut表意文字L2008-2866
17AAA: Tangut表意文字L2008-3581
17AAB: Tangut表意文字L2008-3578
17AAC: Tangut表意文字L2008-2111
17AAD: Tangut表意文字L2008-2151
17AAE: Tangut表意文字L2008-3599
17AAF: Tangut表意文字L2008-2455
17AB0: Tangut表意文字L2008-3141
17AB1: Tangut表意文字L2008-3149
17AB2: Tangut表意文字L2008-3351
17AB3: Tangut表意文字L2008-3327
17AB4: Tangut表意文字L2008-3134
17AB5: Tangut表意文字L2008-2275
17AB6: Tangut表意文字L2008-6027
17AB7: Tangut表意文字L2008-3345
17AB8: Tangut表意文字L2008-3638
17AB9: Tangut表意文字L2008-2879
17ABA: Tangut表意文字L2008-3354
17ABB: Tangut表意文字L2008-3151
17ABC: Tangut表意文字L2008-3607
17ABD: Tangut表意文字L2008-2101
17ABE: Tangut表意文字L2008-2668
17ABF: Tangut表意文字L2008-2614
17AC0: Tangut表意文字L2008-3221
17AC1: Tangut表意文字L2008-3596
17AC2: Tangut表意文字L2008-3583
17AC3: Tangut表意文字L2008-2885
17AC4: Tangut表意文字L2008-3711
17AC5: Tangut表意文字L2008-3588
17AC6: Tangut表意文字L2006-6054
17AC7: Tangut表意文字L2008-3176
17AC8: Tangut表意文字L2008-3133
17AC9: Tangut表意文字L2008-2480
17ACA: Tangut表意文字L2008-3594
17ACB: Tangut表意文字L2008-2136
17ACC: Tangut表意文字L2008-2862
17ACD: Tangut表意文字L2008-2152
17ACE: Tangut表意文字L2008-3209
17ACF: Tangut表意文字L2008-3368
17AD0: Tangut表意文字L2008-3342
17AD1: Tangut表意文字L2008-2786
17AD2: Tangut表意文字L2008-3385
17AD3: Tangut表意文字L2008-3386
17AD4: Tangut表意文字L2008-3119
17AD5: Tangut表意文字L2008-2131
17AD6: Tangut表意文字L2008-2094
17AD7: Tangut表意文字L2008-2883
17AD8: Tangut表意文字S1968-3449
17AD9: Tangut表意文字L2008-3355
17ADA: Tangut表意文字L2008-2198
17ADB: Tangut表意文字L2008-3123
17ADC: Tangut表意文字L2008-3652
