17C00: Tangut表意文字L2008-5332
17C01: Tangut表意文字L2008-5176
17C02: Tangut表意文字L2008-5595
17C03: Tangut表意文字L2008-5186
17C04: Tangut表意文字L2008-5187
17C05: Tangut表意文字L2008-5597
17C06: Tangut表意文字L2008-5167
17C07: Tangut表意文字L2008-5623
17C08: Tangut表意文字L2008-5629
17C09: Tangut表意文字L2008-5238
17C0A: Tangut表意文字L2008-5181
17C0B: Tangut表意文字L2008-5438
17C0C: Tangut表意文字L2008-5331
17C0D: Tangut表意文字L2008-5630
17C0E: Tangut表意文字L2008-5398
17C0F: Tangut表意文字L2008-0788
17C10: Tangut表意文字L2008-0781
17C11: Tangut表意文字L2008-5945
17C12: Tangut表意文字L2008-0744
17C13: Tangut表意文字L2008-0491
17C14: Tangut表意文字L2008-0997
17C15: Tangut表意文字L2008-6020
17C16: Tangut表意文字L2008-0478
17C17: Tangut表意文字L2008-1084
17C18: Tangut表意文字L2008-1097
17C19: Tangut表意文字L2008-0174
17C1A: Tangut表意文字L2008-0755
17C1B: Tangut表意文字L2008-1640
17C1C: Tangut表意文字L2008-0856
17C1D: Tangut表意文字L2008-0499
17C1E: Tangut表意文字L2008-0176
17C1F: Tangut表意文字L2008-0175
17C20: Tangut表意文字L2008-1011
17C21: Tangut表意文字L2008-0963
17C22: Tangut表意文字L2008-0761
17C23: Tangut表意文字L2008-1012
17C24: Tangut表意文字L2008-1125
17C25: Tangut表意文字L2008-1649
17C26: Tangut表意文字L2008-1595
17C27: Tangut表意文字L2008-1126
17C28: Tangut表意文字L2008-1844
17C29: Tangut表意文字L2008-0964
17C2A: Tangut表意文字L2008-0772
17C2B: Tangut表意文字L2008-1233
17C2C: Tangut表意文字L2008-1292
17C2D: Tangut表意文字L2008-1040
17C2E: Tangut表意文字L2008-0947
17C2F: Tangut表意文字L2008-1251
17C30: Tangut表意文字L2008-1264
17C31: Tangut表意文字L2008-0678
17C32: Tangut表意文字N1966-190-053
17C33: Tangut表意文字L2008-1370
17C34: Tangut表意文字L2008-1688
17C35: Tangut表意文字L2008-0336
17C36: Tangut表意文字S1968-4699
17C37: Tangut表意文字L2008-1431
17C38: Tangut表意文字L2008-0390
17C39: Tangut表意文字L2008-1476
17C3A: Tangut表意文字L2008-0722
17C3B: Tangut表意文字L2008-1793
17C3C: Tangut表意文字L2008-1788
17C3D: Tangut表意文字L2008-0405
17C3E: Tangut表意文字L2008-0393
17C3F: Tangut表意文字L2008-1795
17C40: Tangut表意文字L2008-1794
17C41: Tangut表意文字L2008-0826
17C42: Tangut表意文字L2008-0718
17C43: Tangut表意文字L2008-0827
17C44: Tangut表意文字L2008-0828
17C45: Tangut表意文字L2008-0394
17C46: Tangut表意文字L2008-0395
17C47: Tangut表意文字L2008-0886
17C48: Tangut表意文字L2008-1477
17C49: Tangut表意文字L2008-1785
17C4A: Tangut表意文字L2008-0608
17C4B: Tangut表意文字L2008-1878
17C4C: Tangut表意文字L2008-1799
17C4D: Tangut表意文字L2008-0419
17C4E: Tangut表意文字L2008-0988
17C4F: Tangut表意文字L2008-1059
17C50: Tangut表意文字L2008-0913
17C51: Tangut表意文字L2008-1253
17C52: Tangut表意文字L2008-0914
17C53: Tangut表意文字L2008-1270
17C54: Tangut表意文字L2008-1502
17C55: Tangut表意文字L2008-0968
17C56: Tangut表意文字L2008-1154
17C57: Tangut表意文字L2008-1518
17C58: Tangut表意文字L2008-0995
17C59: Tangut表意文字L2008-1480
17C5A: Tangut表意文字L2008-1071
17C5B: Tangut表意文字L2008-0996
17C5C: Tangut表意文字L2008-0922
17C5D: Tangut表意文字L2008-1002
17C5E: Tangut表意文字L2008-1300
17C5F: Tangut表意文字L2008-1226
17C60: Tangut表意文字L2008-0929
17C61: Tangut表意文字L2008-1155
17C62: Tangut表意文字L2008-1452
17C63: Tangut表意文字L2008-1243
17C64: Tangut表意文字L2008-1515
17C65: Tangut表意文字L2008-1036
17C66: Tangut表意文字L2008-1073
17C67: Tangut表意文字L2008-1282
17C68: Tangut表意文字L2008-0931
17C69: Tangut表意文字L2008-1091
17C6A: Tangut表意文字L2008-0932
