17D00: Tangut表意文字L2008-0464
17D01: Tangut表意文字L2008-1560
17D02: Tangut表意文字L2008-1572
17D03: Tangut表意文字L2008-0468
17D04: Tangut表意文字L2008-1571
17D05: Tangut表意文字L2008-1838
17D06: Tangut表意文字L2008-1556
17D07: Tangut表意文字L2008-1832
17D08: Tangut表意文字L2008-1099
17D09: Tangut表意文字L2008-1088
17D0A: Tangut表意文字L2008-0759
17D0B: Tangut表意文字L2008-4448
17D0C: Tangut表意文字L2008-4443
17D0D: Tangut表意文字L2008-1513
17D0E: Tangut表意文字L2008-1533
17D0F: Tangut表意文字L2008-3408
17D10: Tangut表意文字L2008-2320
17D11: Tangut表意文字L2008-3400
17D12: Tangut表意文字L2008-2539
17D13: Tangut表意文字L2008-3426
17D14: Tangut表意文字L2008-3417
17D15: Tangut表意文字L2008-2531
17D16: Tangut表意文字L2008-2694
17D17: Tangut表意文字L2008-2330
17D18: Tangut表意文字L2008-3418
17D19: Tangut表意文字L2008-3742
17D1A: Tangut表意文字L2008-3427
17D1B: Tangut表意文字L2008-2331
17D1C: Tangut表意文字L2008-3743
17D1D: Tangut表意文字L2008-2901
17D1E: Tangut表意文字L2008-2540
17D1F: Tangut表意文字L2008-3425
17D20: Tangut表意文字L2008-2528
17D21: Tangut表意文字L2008-3399
17D22: Tangut表意文字L2008-3419
17D23: Tangut表意文字L2008-2899
17D24: Tangut表意文字L2008-3747
17D25: Tangut表意文字L2008-3412
17D26: Tangut表意文字L2008-1528
17D27: Tangut表意文字L2008-1498
17D28: Tangut表意文字L2008-1493
17D29: Tangut表意文字L2008-1505
17D2A: Tangut表意文字L2008-3396
17D2B: Tangut表意文字L2008-3006
17D2C: Tangut表意文字L2008-3272
17D2D: Tangut表意文字L2008-2999
17D2E: Tangut表意文字L2008-3017
17D2F: Tangut表意文字L2008-5999
17D30: Tangut表意文字L2008-0037
17D31: Tangut表意文字L2008-0062
17D32: Tangut表意文字L2008-0071
17D33: Tangut表意文字L2008-0059
17D34: Tangut表意文字L2008-0140
17D35: Tangut表意文字L2008-0124
17D36: Tangut表意文字N1966-018-083
17D37: Tangut表意文字L2008-0004
17D38: Tangut表意文字L2008-0054
17D39: Tangut表意文字L2008-0127
17D3A: Tangut表意文字L2008-0092
17D3B: Tangut表意文字L2008-0110
17D3C: Tangut表意文字L2008-0006
17D3D: Tangut表意文字L2008-0011
17D3E: Tangut表意文字L2008-0040
17D3F: Tangut表意文字L2008-0105
17D40: Tangut表意文字L2008-0072
17D41: Tangut表意文字L2008-0153
17D42: Tangut表意文字L2008-0111
17D43: Tangut表意文字L2008-0083
17D44: Tangut表意文字L2008-0103
17D45: Tangut表意文字L2008-0047
17D46: Tangut表意文字L2008-0113
17D47: Tangut表意文字L2008-0033
17D48: Tangut表意文字L2008-0029
17D49: Tangut表意文字L2008-0060
17D4A: Tangut表意文字L2008-0125
17D4B: Tangut表意文字L2008-0041
17D4C: Tangut表意文字L2008-0149
17D4D: Tangut表意文字L2008-0119
17D4E: Tangut表意文字L2008-0128
17D4F: Tangut表意文字L2008-0012
17D50: Tangut表意文字L2008-0139
17D51: Tangut表意文字L2008-0154
17D52: Tangut表意文字L2008-0152
17D53: Tangut表意文字L2008-0034
17D54: Tangut表意文字L2008-0051
17D55: Tangut表意文字L2008-0022
17D56: Tangut表意文字L2008-0131
17D57: Tangut表意文字L2008-0098
17D58: Tangut表意文字L2008-0020
17D59: Tangut表意文字L2008-0129
17D5A: Tangut表意文字L2008-0021
17D5B: Tangut表意文字L2008-0137
17D5C: Tangut表意文字L2008-0133
17D5D: Tangut表意文字L2008-0115
17D5E: Tangut表意文字L2008-0106
17D5F: Tangut表意文字L2008-0144
17D60: Tangut表意文字L2008-0138
17D61: Tangut表意文字L2008-0146
17D62: Tangut表意文字L2008-0134
17D63: Tangut表意文字L2008-0055
17D64: Tangut表意文字L2008-0007
17D65: Tangut表意文字L2008-0130
17D66: Tangut表意文字L2008-0093
17D67: Tangut表意文字L2008-0136
17D68: Tangut表意文字L2008-0107
17D69: Tangut表意文字L2008-0120
17D6A: Tangut表意文字L2008-0114
17D6B: Tangut表意文字L2008-0109
17D6C: Tangut表意文字L2008-0126
17D6D: Tangut表意文字L2008-0135
17D6E: Tangut表意文字L2008-0121
17D6F: Tangut表意文字L2008-0073
17D70: Tangut表意文字L2008-0078
17D71: Tangut表意文字L2008-0058
17D72: Tangut表意文字L2008-0023
17D73: Tangut表意文字L2008-0053
17D74: Tangut表意文字L2008-1283
17D75: Tangut表意文字L2008-0588
17D76: Tangut表意文字L2008-1867
17D77: Tangut表意文字L2008-1383-1384
17D78: Tangut表意文字L2008-0817
17D79: Tangut表意文字L2008-1049
17D7A: Tangut表意文字L2008-4451
17D7B: Tangut表意文字L2008-0346
17D7C: Tangut表意文字L2008-0321
17D7D: Tangut表意文字L2008-0542
17D7E: Tangut表意文字L2008-0691
17D7F: Tangut表意文字L2008-1171
17D80: Tangut表意文字L2008-1315
17D81: Tangut表意文字L2008-0692
17D82: Tangut表意文字L2008-1872
17D83: Tangut表意文字L2008-1733
17D84: Tangut表意文字L2008-0704
17D85: Tangut表意文字L2008-1354
17D86: Tangut表意文字L2008-1256
17D87: Tangut表意文字L2008-1864
17D88: Tangut表意文字L2008-1757
17D89: Tangut表意文字L2008-1781
17D8A: Tangut表意文字L2008-1674
17D8B: Tangut表意文字L2008-1782
17D8C: Tangut表意文字L2006-6014
17D8D: Tangut表意文字L2008-1172
17D8E: Tangut表意文字L2008-0574
17D8F: Tangut表意文字L2008-1401
17D90: Tangut表意文字L2008-1232
17D91: Tangut表意文字L2008-6012
17D92: Tangut表意文字H2004-A-5841
17D93: Tangut表意文字L2008-0348
17D94: Tangut表意文字L2008-1726
17D95: Tangut表意文字L2008-1692
17D96: Tangut表意文字L2008-6021
17D97: Tangut表意文字L2008-1131
