1D400: 数学大胆资本A.
1D401: 数学大胆的资本B.
1D402: 数学大胆的资本C.
1D403: 数学大胆的资本D.
1D404: 数学大胆的资本E.
1D405: 数学大胆的资本F.
1D406: 数学大胆的资本G.
1D407: 数学大胆的资本H.
1D408: 数学大胆的资本我
1D409: 数学大胆的资本J.
1D40A: 数学大胆的资本K.
1D40B: 数学大胆资本L
1D40C: 数学大胆的资本M.
1D40D: 数学大胆的资本
1D40E: 数学大胆资本O.
1D40F: 数学大胆资本P.
1D410: 数学大胆的资本问题
1D411: 数学大胆资本R
1D412: 数学大胆的资本S.
1D413: 数学大胆的资本T.
1D414: 数学大胆的资本
1D415: 数学大胆的资本V
1D416: 数学大胆的资本W
1D417: 数学大胆的资本X.
1D418: 数学大胆的资本Y.
1D419: 数学大胆的资本Z.
1D41A: 数学大胆的小A.
1D41B: 数学大胆的小B
1D41C: 数学大胆的小C
1D41D: 数学大胆的小D.
1D41E: 数学大胆小E
1D41F: 数学大胆小F
1D420: 数学大胆的小G
1D421: 数学大胆的小H.
1D422: 数学大胆小我
1D423: 数学大胆的小J.
1D424: 数学大胆的小K.
1D425: 数学大胆的小L
1D426: 数学大胆的小M
1D427: 数学大胆小N.
1D428: 数学大胆的小O.
1D429: 数学大胆的小P
1D42A: 数学大胆小Q.
1D42B: 数学大胆的小R.
1D42C: 数学大胆的小S.
1D42D: 数学大胆的小T
1D42E: 数学大胆小U.
1D42F: 数学大胆的小V
1D430: 数学大胆的小W
1D431: 数学大胆小X.
1D432: 数学大胆的小Y.
1D433: 数学大胆小Z.
1D434: 数学斜体资本A.
1D435: 数学斜体资本B.
1D436: 数学斜体资本C.
1D437: 数学斜体资本D.
1D438: 数学斜体资本E.
1D439: 数学斜体资本F.
1D43A: 数学斜体资本G.
1D43B: 数学斜体资本H.
1D43C: 数学斜体资本I
1D43D: 数学斜体资本J.
1D43E: 数学斜体资本K.
1D43F: 数学斜体资本L.
1D440: 数学斜体资本M.
1D441: 数学斜体资本N.
1D442: 数学斜体资本O.
1D443: 数学斜体资本P
1D444: 数学斜体资本Q.
1D445: 数学斜体资本R.
1D446: 数学斜体资本S.
1D447: 数学斜体资本T
1D448: 数学斜体资本U.
1D449: 数学斜体资本V.
1D44A: 数学斜体资本W
1D44B: 数学斜体资本X.
1D44C: 数学斜体资本Y.
1D44D: 数学斜体资本Z.
1D44E: 数学斜体小A.
1D44F: 数学斜体小B
1D450: 数学斜体小C
1D451: 数学斜体小D
1D452: 数学斜体小E
1D453: 数学斜体小F
1D454: 数学斜体小G.
1D455: <保留>
1D456: 数学斜体小我
1D457: 数学斜体小J.
1D458: 数学斜体小K.
1D459: 数学斜体小L
1D45A: 数学斜体小M
1D45B: 数学斜体小N.
1D45C: 数学斜体小O.
1D45D: 数学斜体小P
1D45E: 数学斜体小Q.
1D45F: 数学斜体小R.
1D460: 数学斜体小S
1D461: 数学斜体小T
1D462: 数学斜体小U.
1D463: 数学斜体小V
1D464: 数学斜体小W
1D465: 数学斜体小X.
1D466: 数学斜体小Y.
1D467: 数学斜体小Z.
1D468: 数学粗体斜体资本A.
1D469: 数学粗体斜体资本B.
1D46A: 数学粗体斜体资本C.
1D46B: 数学粗体斜体资本D.
1D46C: 数学粗体斜体资本E.
1D46D: 数学粗体斜体资本F.
1D46E: 数学粗体斜体资本G.
1D46F: 数学粗体斜体资本H.
1D470: 数学粗体斜体资本I
1D471: 数学粗体斜体资本J.
