1F300: 旋风
1F301: 雾天城市
1F302: 合上的雨伞
1F303: 星星之夜
1F304: 山上日出
1F305: 日出
1F306: 黄昏时的城市景观
1F307: 房子上的日落
1F308: 彩虹
1F309: 大桥夜景
1F30A: 水波
1F30B: 火山
1F30C: 银河系
1F30D: 欧非洲
1F30E: 南北美洲
1F30F: 亚澳洲 
1F310: 经纬线的地球仪
1F311: 新月
1F312: 蛾眉月
1F313: 上弦月
1F314: 盈凸月
1F315: 满月
1F316: 亏凸月
1F317: 下弦月
1F318: 渐暗蛾蝞月
1F319: 残月
1F31A: 有脸的新月
1F31B: 有脸的上弦月
1F31C: 有脸的下弦月
1F31D: 有脸的满月
1F31E: 有脸的太阳
1F31F: 发光星
1F320: 流星
1F321: 温度表
1F322: 黑色的液滴
1F323: 白色太阳
1F324: 白日小云
1F325: 云后的白色太阳
1F326: 雨云后的白色太阳
1F327: 雨云
1F328: 雪云
1F329: 雷雨云
1F32A: 龙卷风云
1F32B: 雾
1F32C: 吹气的脸
1F32D: 热狗
1F32E: 墨西哥夹饼
1F32F: 墨西哥卷饼
1F330: 栗子
1F331: 幼苗
1F332: 常绿树
1F333: 落叶树
1F334: 棕榈树
1F335: 仙人掌
1F336: 辣椒
1F337: 郁金香
1F338: 樱花
1F339: 玫瑰
1F33A: 朱槿
1F33B: 向日葵
1F33C: 花
1F33D: 玉米
1F33E: 稻穗
1F33F: 草
1F340: 四叶草
1F341: 枫叶
1F342: 落叶
1F343: 树叶在风中摇晃
1F344: 蘑菇
1F345: 番茄
1F346: 茄子
1F347: 葡萄
1F348: 甜瓜
1F349: 西瓜
1F34A: 桔子
1F34B: 柠檬
1F34C: 香蕉
1F34D: 菠萝
1F34E: 红苹果
1F34F: 青苹果
1F350: 梨子
1F351: 桃子
1F352: 樱桃
1F353: 草莓
1F354: 汉堡
1F355: 一块比萨
1F356: 骨头上的肉
1F357: 鸡腿
1F358: 米饼
1F359: 汤圆
1F35A: 干饭
1F35B: 咖喱饭
1F35C: 蒸碗
1F35D: 意大利面
1F35E: 面包
1F35F: 薯条
1F360: 烤红薯
1F361: 日本团子
1F362: 关东煮
1F363: 寿司
1F364: 炸虾
1F365: 涡流设计的鱼肉饼
1F366: 软冰淇淋
1F367: 刨冰
1F368: 冰淇淋
1F369: 甜甜圈
1F36A: 曲奇
1F36B: 巧克力条
1F36C: 糖果
1F36D: 棒棒糖
1F36E: 蛋奶糊
1F36F: 蜜罐
1F370: 酥饼
1F371: 便当
1F372: 一锅食物
1F373: 煎锅: 炒雞蛋煎鍋油炸
1F374: 刀叉
1F375: 无柄茶杯
1F376: 清酒的酒瓶和酒杯
1F377: 红酒杯
1F378: 鸡尾酒杯
1F379: 热带饮料杯
1F37A: 啤酒杯
1F37B: 碰在一起的啤酒杯
1F37C: 奶瓶
1F37D: 刀叉盘
1F37E: 瓶子软木塞弹飞出
1F37F: 爆米花
1F380: 绶带
1F381: 包装的礼物
1F382: 生日蛋糕
1F383: 南瓜灯
1F384: 圣诞树
1F385: 圣诞老人
1F386: 焰火
1F387: 电光花
1F388: 气球
1F389: 爆竹
1F38A: 五彩纸屑
1F38B: 七夕树
1F38C: 交叉的旗帜
1F38D: 松木装饰
1F38E: 日本娃娃
1F38F: 鲤鱼旗子
1F390: 风铃
1F391: 日本八月十五夜
1F392: 书包
1F393: 毕业帽
1F394: 左尖桃心
1F395: 一束花
1F396: 军人勋章
1F397: 丝带
1F398: 带jack接头的琴键
1F399: 录音棚的麦克风
1F39A: 水平调节器
1F39B: 调整旋钮
1F39C: 升调音符
1F39D: 降调音符
1F39E: 视频胶片
1F39F: 门票
1F3A0: 旋转木马
1F3A1: 摩天轮
1F3A2: 过山车
1F3A3: 钓鱼竿和鱼
1F3A4: 麦克风
1F3A5: 电影摄影机
1F3A6: 电影
1F3A7: 耳机
1F3A8: 画家调色板
1F3A9: 大礼帽
1F3AA: 马戏团帐篷
1F3AB: 票
1F3AC: 场记板
1F3AD: 面具
1F3AE: 游戏控制器
1F3AF: 直接命中
1F3B0: 老虎机
1F3B1: 台球
1F3B2: 骰子
1F3B3: 保龄球
1F3B4: 花牌
1F3B5: 快乐的音符
1F3B6: 几个音符
1F3B7: 萨克斯
1F3B8: 吉他
1F3B9: 音乐键盘
1F3BA: 小号
1F3BB: 小提琴
1F3BC: 乐谱
1F3BD: 带带子的跑步背心
1F3BE: 网球拍和网球
1F3BF: 滑雪板和滑雪靴
1F3C0: 篮球和篮球筐
1F3C1: 黑白方格旗
1F3C2: 单板滑雪者
1F3C3: 赛跑运动员
1F3C4: 冲浪运动员
1F3C5: 运动奖章
1F3C6: 锦杯
1F3C7: 赛马
1F3C8: 美式足球
1F3C9: 橄榄球
1F3CA: 游泳者
1F3CB: 举重者
1F3CC: 高尔夫球运动员
1F3CD: 竞赛摩托车
1F3CE: 赛车
1F3CF: 板球棒和板球
1F3D0: 排球
1F3D1: 曲棍和曲棍球
1F3D2: 冰球棍和冰球
1F3D3: 乒乓球拍和乒乓球
1F3D4: 雪山
1F3D5: 汽车露营
1F3D6: 沙滩和沙滩伞
1F3D7: 建筑工程
1F3D8: 联排别墅
1F3D9: 城市景观
1F3DA: 废弃的房子
1F3DB: 经典建筑
1F3DC: 沙漠
1F3DD: 荒岛
1F3DE: 国家公园
1F3DF: 体育场
1F3E0: 房子
1F3E1: 带花园的别墅
1F3E2: 写字楼
1F3E3: 日本邮局
1F3E4: 欧洲邮局
1F3E5: 医院
1F3E6: 银行
1F3E7: 取款机
1F3E8: 宾馆
1F3E9: 爱情宾馆
1F3EA: 便利店
1F3EB: 中学
1F3EC: 百货商店
1F3ED: 工厂
1F3EE: 居酒屋
1F3EF: 日本城堡
1F3F0: 欧洲古堡
1F3F1: 白色的长三角旗
1F3F2: 黑色的的长三角旗
1F3F3: 白色旗帜飘扬
1F3F4: 黑色旗帜飘扬
1F3F5: 花饰
1F3F6: 黑色花饰
1F3F7: 标签
1F3F8: 羽毛球拍和羽毛球
1F3F9: 弓箭
1F3FA: 双耳瓶
1F3FB: 绘文字菲氏修饰符类型1-2
1F3FC: 绘文字菲氏修饰符类型3
1F3FD: 绘文字菲氏修饰符类型4
1F3FE: 绘文字菲氏修饰符类型5
1F3FF: 绘文字菲氏修饰符类型6
