1F600: 笑呵呵
1F601: 笑嘻嘻
1F602: 喜极而泣
1F603: 笑盈盈
1F604: 哈哈大笑
1F605: 苦笑
1F606: 闭眼睛的笑脸
1F607: 天真
1F608: 魔鬼
1F609: 眨眼
1F60A: 满脸堆笑
1F60B: 好吃
1F60C: 如释重负
1F60D: 心花怒放
1F60E: 酷
1F60F: 傻笑
1F610: 不动声色
1F611: 面无表情
1F612: 不爽
1F613: 冷汗
1F614: 沮丧
1F615: 迷茫
1F616: 困惑
1F617: 接吻
1F618: 飞吻
1F619: 亲吻
1F61A: 热吻
1F61B: 调皮
1F61C: 俏皮
1F61D: 卖萌
1F61E: 失望
1F61F: 担心
1F620: 愤怒
1F621: 气到脸都红了
1F622: 哭泣
1F623: 决心
1F624: 加油
1F625: 松一口气
1F626: 目瞪口呆
1F627: 疼痛
1F628: 恐惧
1F629: 厭倦
1F62A: 困
1F62B: 疲勞
1F62C: 鬼脸
1F62D: 大声哭
1F62E: 张嘴
1F62F: 缄默
1F630: 面對張開嘴和冷汗
1F631: 面對恐懼尖叫
1F632: 诧异
1F633: 通红的脸
1F634: 睡觉
1F635: 头晕目眩
1F636: 安静
1F637: 生病
1F638: 笑嘻嘻的貓
1F639: 喜极而泣的猫
1F63A: 哈哈笑的貓
1F63B: 心花怒放的貓
1F63C: 奸笑的貓
1F63D: 亲吻的猫
1F63E: 生气的猫
1F63F: 哭泣的貓
1F640: 疲累的猫
1F641: 微蹙眉
1F642: 微笑
1F643: 倒头
1F644: 翻白眼
1F645: 拒绝
1F646: 手勢
1F647: 鞠躬
1F648: 不能看
1F649: 不能听
1F64A: 不能说
1F64B: 举手
1F64C: 喜悦
1F64D: 皱著眉头的人
1F64E: 撅嘴
1F64F: 祈福
1F650: 指向西北的叶子
1F651: 指向西南的叶子
1F652: 指向东北的叶子
1F653: 指向东南的叶子
1F654: 指向西北的翻倒叶子
1F655: 指向西南的翻倒叶子
1F656: 指向东北的翻倒叶子
1F657: 指向东南的翻倒叶子
1F658: 指向西北的葡萄树
1F659: 指向西南的葡萄树
1F65A: 指向东北的葡萄树
1F65B: 指向东南的葡萄树
1F65C: 指向西北的粗葡萄树
1F65D: 指向西南的粗葡萄树
1F65E: 指向东北的粗葡萄树
1F65F: 指向东南的粗葡萄树
1F660: 指向西北的蓓蕾
1F661: 指向西南的蓓蕾
1F662: 指向东北的蓓蕾
1F663: 指向东南的蓓蕾
1F664: 指向西北的粗蓓蕾
1F665: 指向西南的粗蓓蕾
1F666: 指向东北的粗蓓蕾
1F667: 指向东南的粗蓓蕾
1F668: 被子的空心线方形花纹
1F669: 被子的黑色空心线方形花纹
1F66A: 被子的实心线方形花纹
1F66B: 被子的黑色实心线方形花纹
1F66C: 指向左边的火箭
1F66D: 指向上面的火箭
1F66E: 指向右边的火箭
1F66F: 指向下面的火箭
1F670: et合字
1F671: 粗的et合字
1F672: Et合字
1F673: 粗的Et合字
1F674: 粗的&
1F675: 斜体的&
1F676: Sans Serif字体的颠倒粗双引号
1F677: Sans Serif字体的粗双引号
1F678: Sans Serif字体的粗下双引号
1F679: 粗问叹号
1F67A: Sans Serif字体的问叹号
1F67B: Sans Serif字体的粗问叹号
1F67C: 粗斜杠符号
1F67D: 粗反斜杠符号
1F67E: 棋盘
1F67F: 旋转的棋盘
1F680: 火箭
1F681: 直升机
1F682: 蒸汽机车
1F683: 车厢
1F684: 高铁
1F685: 子弹头高铁
1F686: 城际列车
1F687: 地铁
1F688: 轻轨
1F689: 列车站
1F68A: 有轨电车轨道
1F68B: 有轨电车
1F68C: 公共汽车
1F68D: 迎面驶来的公共汽车
1F68E: 无轨电车
1F68F: 公共汽车站
1F690: 小巴
1F691: 救护车
1F692: 消防车
1F693: 警车
1F694: 迎面驶来的警车
1F695: 出租车
1F696: 迎面驶来的出租车
1F697: 汽车
1F698: 迎面驶来的汽车
1F699: 露营车
1F69A: 运货车
1F69B: 拖车
1F69C: 拖拉机
1F69D: 单轨
1F69E: 山区铁道
1F69F: 高架铁路
1F6A0: 山区索道
