1FB00: 阻止六分儀-1
1FB01: 阻止六分儀-2
1FB02: 阻止六分儀-12
1FB03: 阻止六分儀-3
1FB04: 阻止六分儀-13
1FB05: 阻止六分儀-23
1FB06: 阻止六分儀-123
1FB07: 阻止六分儀-4
1FB08: 阻止六分儀-14
1FB09: 阻止六分儀-24
1FB0A: 阻止六分儀-124
1FB0B: 阻止六分儀-34
1FB0C: 阻止六分儀-134
1FB0D: 阻止六分儀-234
1FB0E: 阻止六分儀-1234
1FB0F: 阻止六分儀-5
1FB10: 阻止六分儀-15
1FB11: 阻止六分儀-25
1FB12: 阻止六分儀-125
1FB13: 阻止六分儀-35
1FB14: 阻止六分儀-235
1FB15: 阻止六分儀-1235
1FB16: 阻止六分儀-45
1FB17: 阻止六分儀-145
1FB18: 阻止六分儀-245
1FB19: 阻止六分儀-1245
1FB1A: 阻止六分儀-345
1FB1B: 阻止六分儀-1345
1FB1C: 阻止六分儀-2345
1FB1D: 阻止六分儀-12345
1FB1E: 阻止六分儀-6
1FB1F: 阻止六分儀-16
1FB20: 阻止六分儀-26
1FB21: 阻止六分儀-126
1FB22: 阻止六分儀-36
1FB23: 阻止六分儀-136
1FB24: 阻止六分儀-236
1FB25: 阻止六分儀-1236
1FB26: 阻止六分儀-46
1FB27: 阻止六分儀-146
1FB28: 阻止六分儀-1246
1FB29: 阻止六分儀-346
1FB2A: 阻止六分儀-1346
1FB2B: 阻止六分儀-2346
1FB2C: 阻止六分儀-12346
1FB2D: 阻止六分儀-56
1FB2E: 阻止六分儀-156
1FB2F: 阻止六分儀-256
1FB30: 阻止六分儀-1256
1FB31: 阻止六分儀-356
1FB32: 阻止六分儀-1356
1FB33: 阻止六分儀-2356
1FB34: 阻止六分儀-12356
1FB35: 阻止六分儀-456
1FB36: 阻止六分儀-1456
1FB37: 阻止六分儀-2456
1FB38: 阻止六分儀-12456
1FB39: 阻止六分儀-3456
1FB3A: 阻止六分儀-13456
1FB3B: 阻止六分儀-23456
1FB3C: 左下塊對角線下中左到下中心
1FB3D: 左下塊對角線左中下到右下
1FB3E: 左下塊對角線上中左到下中心
1FB3F: 左下塊對角線上中左至右下
1FB40: 左下塊對角線左上到下中心
1FB41: 右下塊對角線上中左至上中
1FB42: 右下塊對角線上中左到右上
1FB43: 右下塊對角線下中左到上中心
1FB44: 右下塊對角線下中左到右上
1FB45: 右下塊對角線左下到上中心
1FB46: 右下塊對角線下中左至上中右
1FB47: 右下塊對角線下部中心到下部右中
1FB48: 右下塊對角線左下到右下中
1FB49: 右下塊對角線下中心到右上中右
1FB4A: 右下塊對角線左下到右上中右
1FB4B: 右下角塊對角線下中心到右上
1FB4C: 左下角塊對角線上中心到右上中間
1FB4D: 左下塊對角線左上到右上中右
1FB4E: 左下角塊對角線上中心到右下中間
1FB4F: 左下塊對角線左上到右下中
1FB50: 左下塊對角線居中到右下
1FB51: 左下塊對角線上中左至下中右
1FB52: 右上塊對角線下中左到下中心
1FB53: 右上塊對角線下中左到右下
1FB54: 右上塊對角線上中左至下中心
1FB55: 右上塊對角線上中左至右下
1FB56: 右上塊對角線左上到下中心
1FB57: 左上塊對角線上中左到上中心
1FB58: 左上塊對角線上中左到右上
1FB59: 左上塊對角線左下中間到上中心
1FB5A: 左上塊對角線下中左到右上
1FB5B: 左上塊對角線左下到上中心
1FB5C: 左上塊對角線下中左至上中右
1FB5D: 左上塊對角線下部中心到下部中右
1FB5E: 左上塊對角線左下到右下中
1FB5F: 左上塊對角線下部中心到右上中右
1FB60: 左上塊對角線左下到右上中右
1FB61: 左上塊對角線下部中心到右上
1FB62: 右上塊對角線上中間到右上中間
1FB63: 右上塊對角線左上到右上中右
1FB64: 右上塊對角線上中心到右下中間
1FB65: 右上塊對角線左上到右下中
1FB66: 右上塊對角線居中到右下
1FB67: 右上塊對角線上中左至下中右
1FB68: 上下左右三角形四分之三塊
1FB69: 左右下三角四分之三塊
1FB6A: 上下左右三角形四分之三塊
1FB6B: 左右上三角四分之三塊
1FB6C: 左三角形四分之一塊
1FB6D: 上三角四分之一塊
1FB6E: 直角三角形四分之一塊
1FB6F: 下三角四分之一塊
1FB70: 垂直八分之一塊2
1FB71: 垂直八分之一塊3
1FB72: 垂直八分之一格4
1FB73: 垂直八分之一塊-5
1FB74: 垂直八分之一塊-6
1FB75: 垂直八分之一塊7
1FB76: 水平八分之一塊2
1FB77: 水平八分之一塊3
1FB78: 水平八分之一塊4
