E0001: 语言标签
E0020: 标签空间
E0021: 标记感叹号
E0022: 标签引号
E0023: 标签号码标志
E0024: 标记美元符号
E0025: 标记百分号
E0026: 标签＆符号
E0027: 标记撇号
E0028: 标记左括号
E0029: 标记右括号
E002A: 标记星号
E002B: 标签加号
E002C: 标记逗号
E002D: 标记连字号
E002E: 标记完全停止
E002F: 标签Solidus
E0030: 标记数字零
E0031: 标记数字一
E0032: 标记数字二
E0033: 标记数字三
E0034: 标记数字四
E0035: 标记数字五
E0036: 标记数字六
E0037: 标记数字七
E0038: 标记数字八
E0039: 标记数字九
E003A: 标记冒号
E003B: 标记分号
E003C: 标记小于标志
E003D: 标签等于标志
E003E: 标记大于标志
E003F: 标记问号
E0040: 标记商业广告
E0041: 标记拉丁大写字母A.
E0042: 标记拉丁大写字母B.
E0043: 标记拉丁大写字母C.
E0044: 标记拉丁大写字母D.
E0045: 标记拉丁大写字母E.
E0046: 标签拉丁大写字母F.
E0047: 标记拉丁大写字母G.
E0048: 标签拉丁大写字母H.
E0049: 标记拉丁大写字母I.
E004A: Tag Latin Capital Letter J.
E004B: 标记拉丁大写字母K.
E004C: 标记拉丁大写字母L.
E004D: 标记拉丁大写字母M.
E004E: 标签拉丁大写字母N.
E004F: 标记拉丁大写字母O.
E0050: 标记拉丁大写字母P.
E0051: 标签拉丁大写字母Q.
E0052: 标签拉丁大写字母R.
E0053: 标记拉丁大写字母S.
E0054: 标记拉丁大写字母T.
E0055: 标记拉丁大写字母U.
E0056: Tag Latin Capital Letter V.
E0057: 标记拉丁大写字母W.
E0058: 标记拉丁大写字母X.
E0059: 标记拉丁大写字母Y.
E005A: 标记拉丁大写字母Z.
E005B: 标记左方括号
E005C: 标记反向固体
E005D: 标记右方括号
E005E: 标记Circumflex口音
E005F: 标记低线
E0060: 标记严重重音
E0061: 标记拉丁文小写字母A.
E0062: 标记拉丁文小写字母B.
E0063: 标签拉丁小写字母C.
E0064: 标签拉丁小写字母D.
E0065: 标记拉丁文小写字母E.
E0066: 标签拉丁小写字母F.
E0067: 标签拉丁小写字母G.
E0068: 标记拉丁文小写字母H.
E0069: 标记拉丁文小写字母I.
E006A: 标签拉丁小写字母J.
E006B: 标签拉丁小写字母K.
E006C: 标记拉丁文小写字母L.
E006D: 标记拉丁文小写字母M.
E006E: 标签拉丁小写字母N.
E006F: 标记拉丁文小写字母O.
E0070: 标签拉丁小写字母P.
E0071: 标记拉丁文小写字母Q.
E0072: 标记拉丁文小写字母R.
E0073: 标记拉丁文小写字母S.
E0074: 标记拉丁文小写字母T.
E0075: 标记拉丁文小写字母U.
E0076: 标签拉丁小写字母V.
E0077: 标记拉丁文小写字母W.
E0078: 标记拉丁文小写字母X.
E0079: 标记拉丁文小写字母Y.
E007A: 标记拉丁文小写字母Z.
E007B: 标记左卷曲支架
E007C: 标记垂直线
E007D: 标记右卷曲支架
E007E: Tag Tilde
E007F: 取消标记
