smileys-people: 表情符号和人物
animals-nature: 动物与自然
food-drink: 食物和饮料
activity: 活动
travel-places: 旅游与地方
objects: 事物
symbols: 符号
flags: 旗
unsorted: 未分类
currency: 货币
smileys-and-emotion: 笑脸与情感
face-smiling: 微笑的面孔
face-affection: 多情的脸（深情）
face-tongue: 面对舌头
face-hand: 用手面对
face-neutral-skeptical: 中性和怀疑的脸
face-sleepy: 昏昏欲睡的脸
face-unwell: 生病的脸
face-hat: 戴着帽子的脸
face-glasses: 戴着眼镜的脸
face-concerned: 有关的脸
face-negative: 愤怒的脸
face-costume: 花式服装
cat-face: 猫脸
monkey-face: 猴脸
emotion: 情感
people-and-body: 人与身体
hand-fingers-open: 用手指张开手
hand-fingers-partial: 用手指偏手
hand-single-finger: 单指手
hand-fingers-closed: 手指闭合的手
hands: 手
hand-prop: 手性
body-parts: 身体部位
person: 人
person-gesture: 人的手势
person-role: 人角色
person-fantasy: 幻想和童话人物
person-activity: 人活动
person-sport: 做运动的人
person-resting: 休息的人
family: 家庭
person-symbol: 人符号
component: 零件
skin-tone: 肤色
hair-style: 发型
animals-and-nature: 动物与自然
animal-mammal: 哺乳动物
animal-bird: 鸟
animal-amphibian: 两栖动物
animal-reptile: 爬虫
animal-marine: 海洋动物
animal-bug: 虫子
plant-flower: 花
plant-other: 其他计划
food-and-drink: 食物和饮料
food-fruit: 水果
food-vegetable: 蔬菜
food-prepared: 准备食物
food-asian: 亚洲美食
food-marine: 海洋食品
food-sweet: 甜食
drink: 喝
dishware: 餐具
travel-and-places: 旅游与地方
place-map: 地图
place-geographic: 地理位置
place-building: 建造
place-religious: 宗教场所
place-other: 其他
transport-ground: 地面运输
transport-water: 水运
transport-air: 航空运输
hotel: 旅馆
time: 时间
sky-and-weather: 天空与天气
activities: 活动项目
event: 事件
award-medal: 奖章和奖项
sport: 运动
game: 游戏
arts-and-crafts: 工艺品
clothing: 服装
sound: 声音
music: 音乐
musical-instrument: 乐器
phone: 电话
computer: 电脑
light-and-video: 灯光与影像
book-paper: 纸书
money: 钱
mail: 邮件
writing: 写作
office: 办公室
lock: 锁
tool: 工具
science: 科学
medical: 医疗类
household: 家庭
other-object: 其他物件
transport-sign: 运输标志
warning: 警告
arrow: 箭头
religion: 宗教
zodiac: 生肖
av-symbol: AV符号
gender: 性别
math: 数学
punctuation: 标点
other-symbol: 其他符号
keycap: 键帽
alphanum: 字母数字
geometric: 几何
flag: 旗
country-flag: 国旗
subdivision-flag: 细分标志
smileys-and-emotion: 笑脸与情感
people-and-body: 人与身体
component: 零件
animals-and-nature: 动物与自然
food-and-drink: 食物和饮料
travel-and-places: 旅游与地方
activities: 活动项目
objects: 事物
symbols: 符号
flags: 旗
