0000-001F: C0控制
#0020-002A: ***ASCII punctuation and symbols
#002B-002B: ***ASCII math operator
#002C-002F: ***ASCII punctuation
0030-0039: ASCII數字
#003A-003B: ***ASCII punctuation
#003C-003E: ***ASCII mathematical operators
#003F-0040: ***ASCII punctuation
0041-005A: 大寫拉丁字母
005B-0060: ASCII標點和符號
0061-007A: 小寫拉丁字母
007B-007E: ASCII標點和符號
007F-007F: 控製字符
0080-009F: C1控件
00A0-00BB: Latin-1標點符號和符號
00BC-00BE: 粗俗的分數
00BF-00BF: 標點
00C0-00D6: 字母
00D7-00D7: 數學運算符
00D8-00F6: 字母
00F7-00F7: 數學運算符
00F8-00FF: 字母
0100-0148: 歐洲拉丁
0149-0149: 棄用的信件
014A-017F: 歐洲拉丁
0180-01BF: 非歐洲和歷史悠久的拉丁語
01C0-01C3: 點擊非洲字母
01C4-01CC: 匹配拉丁文西里爾字母的拉丁字母
01CD-01DC: 拼音變音元音組合
01DD-01FF: 語音和歷史字母
0200-0217: 斯洛文尼亞語和克羅地亞語的加法
0218-021B: 羅馬尼亞語的加法
021C-0229: 雜項添加
022A-0233: 利沃尼亞語的補充
0234-0236: 漢學的補充
0237-0237: 雜項添加
0238-0239: 非洲語言學的增補
023A-023E: Sencoten的補充
023F-0240: 非洲語言學的增補
0241-024F: 雜項添加
0250-02A8: IPA擴展
02A9-02AD: 語音混亂的IPA字符
02AE-02AF: 漢學的補充
02B0-02B8: 拉丁文上標修飾語字母
02B9-02D7: 雜項語音修飾語
02D8-02DD: 變音符號的間隔克隆
02DE-02E4: 根據1989年IPA進行的添加
02E5-02E9: 音調字母
02EA-02EB: 擴展的Bopomofo音調標記
02EC-02ED: IPA修飾符
02EE-02EE: 其他修飾語
02EF-02FF: UPA修改器
0300-0333: 普通變音符號
0334-0338: 透支變音符號
0339-033F: 雜項添加
0340-0341: 越南語標記
0342-0345: 希臘文的加法
0346-034A: IPA的補充
034B-034E: IPA變音符號用於語音混亂
034F-034F: 字素
0350-0357: 烏拉爾語拼音字母的添加
0358-035B: 雜項添加
035C-0362: 雙重變音符號
0363-036F: 中世紀標字母變音符號
0370-0373: 古字母
0374-0375: 數字符號
0376-0377: 古字母
037A-037A: IOTA下標
037B-037D: 小寫的編輯符號
037E-037E: 標點
037F-037F: 附加字母
0384-0385: 空格重音符號
0386-0386: 信
0387-0387: 標點
0388-03CE: 字母
03CF-03D7: 多種字母形式
03D8-03E1: 古字母
03E2-03EF: 科普特字母源自德莫特
03F0-03F2: 多種字母形式
03F3-03F3: 附加字母
03F4-03F6: 多種字母形式和符號
03F7-03F8: 雙峰的附加古字母
03F9-03F9: 變體字母形式
03FA-03FB: 古字母
03FC-03FC: 符號
03FD-03FF: 編輯符號
0400-040F: 西里爾字母擴展
0410-044F: 基本的俄語字母
0450-045F: 西里爾字母擴展
0460-0477: 歷史性的信件
0478-0479: 歷史人物
047A-0481: 歷史性的信件
0482-0489: 歷史雜項
048A-04F9: 擴展西里爾字母
04FA-04FF: Nivkh的添加
0500-050F: 科米字母
0510-0511: 漢特字母
0512-0513: 楚科奇字母
0514-0519: 莫德文字母
051A-051D: 庫爾德字母
051E-051F: 阿勒特字母
0520-0523: 楚瓦什人字母
0524-0525: 阿布哈茲字母
0526-0527: 阿塞拜疆字母
0528-0529: Orok信件
052A-052D: 科米字母
052E-052F: 漢特字母
0531-0556: 大寫字母
0559-055F: 修飾語字母
0560-0588: 小寫字母
0589-058A: 標點
058D-058E: 宗教符號
058F-058F: 貨幣符號
0591-05AF: 灌水痕
05B0-05C3: 點和標點
05C4-05C5: 極端點
05C6-05C7: 點和標點
05D0-05EA: 基於ISO 8859-8
05EF-05EF: 標誌
05F0-05F2: 意第字母
05F3-05F4: 其他標點符號
0600-0604: 標記
0605-0605: 取代標記
0606-0607: 基數符號
0608-0608: 字母符號
0609-060A: 標點
060B-060B: 貨幣符號
060C-060D: 標點
060E-060F: 詩意的痕跡
0610-0614: 敬禮
0615-0615: 古蘭經註釋符號
0616-0616: 擴展阿拉伯文標記
0617-061A: 古蘭經註釋標誌
061B-061B: 標點
061C-061C: 格式字符
#061D-061F: ***Punctuation
0620-0620: 克什米爾語的加法
0621-063A: 基於ISO 8859-6
063B-063F: 早期波斯語和阿塞拜疆語的補充
0640-064A: 基於ISO 8859-6
064B-0652: 來自ISO 8859-6的Tashkil
0653-0655: 結合馬扎和火腿
0656-065F: 其他組合標記
0660-0669: 阿拉伯文-印度數字
066A-066D: 標點
