arab: Arabisches

armenian: Armenisches

avestan: Avestanisches

balinese: Balinesische

bamum: Bamun

bashkir: Baschkirische

bassa-vah: Bassa-vah

batak: Batak

belarusian: Weißrussisches

bengali: Bengalische

bopomofo: Bopomofo. Zhuyin

brahmi: Brahmi

buginese: Buginesisch

buhid: Buid

bulgarian: Bulgarisches

carian: Karisches

caucasian-albanian: Kaukasisches albanisches

chakma: Chakma

cham: Cham

cherokee: Cherokee

chinese: Chinesisches Pinyin

coptic: Koptische

cypriot-syllabary: Kyprische Silbenschrift

cyrillic: Kyrillische

czech: Tschechisches

deseret: Deseret

devanagari: Devanagari

elbasan: Elbasanisches

english: Englisches

esperanto: Esperanto

ethiopic:  Äthiopisches Geʻez

french:  Französisches

georgian:  Georgisches

german:  Deutsches

glagolitic:  Glagolitisches

gothic:  Gotisches

grantha:  Grantha

greek:  Griechisches

gujarati:  Gujarati

gurmukhi:  Gurmukhi

hangul:  Hangul

hanunoo:  Hanunoo

hebrew:  Hebräisches

hungarian:  Ungarisches

imperial-aramaic:  Kaiserliches aramäisches

international-phonetic-alphabet:  Internationales Phonetisches

italian:  Italienisches

japanese-hiragana:  Japanisches Hiragana

japanese-katakana:  Japanisches Katakana

javanese:  Javanesisches

kaithi:  Kaithi

kannada:  Kannada

kayah-li:  Kayah li

kazakh:  Kasachisches

kharoshthi:  Kharoshthi

khmer:  Khmer

khojki:  Khojki

khudawadi:  Khudawadi

lao:  Laotisches

latin:  Lateinisches

lepcha:  Lepcha

limbu:  Limbu

linear-b-Syllabary:  Lineare B-Silbenschrift

lisu:  Lisu

lycian:  Lykisches

lydian:  Lydisches

nabataean:  Nabatäisches

mahajani:  Mahajani

malayalam:  Malayalam

mandaic:  Mandanisches

manichaean:  Manichäisches

meetei-mayek:  Meetei Mayek

mende-kikakui:  Mende Kikakui

meroitic-cursive:  Meroitisches kursives

modi:  Modi

mongolian:  Mongolisches

mro: Mro

myanmar:  Myanmar

new-tai-lue:  Neues tai lue

nko:  Nko

ogham:  Ngham

ol-chiki:  Ol Chiki

old-italic:  Altes kursives etruskisches

old-north-arabian:  Altes nordarabisches

old-permic:  Altes permisches

old-persian:  Altes persisches

old-south-arabian:  Altes südarabisches

old-turkic:  Altes türkisches Runen

oriya:  Oriya

osmanya:  Osmanya

pahawh-hmong:  Pahawh Hmong

pahlavi:  Pahlavi

palmyrene:  Palmyrene

pau-cin-hau:  Pau cin hau

phags-pa:  Phags-pa

phoenician:  Phönizisches

polish:  Polnisches

pollard:  Pollard

rejang:  Rejang

runic:  Runen

russian:  Russisches

samaritan:  Samaritanisches

saurashtra:  Saurashtra

sharada:  Sharada

shavian:  Schawisches

siddham:  Siddham

sinhala:  Singhalesisches

sora-sompeng:  Sora Sompeng

spanish:  Spanisches

sundanese:  Sundanesisches

syloti-nagri:  Syloti Nagri

syriac:  Syrisches

tagalog:  Tagalog

tagbanwa:  Tagbanwa

tai-le:  Tai le

tai-tham:  Tai Tham

tai-viet:  Tai Viet

takri:  Takri

tamil:  Tamilisches

tatar:  Tatarisches

telugu:  Telugu

thaana:  Thaana

thai:  Thailändisches

tibetan:  Tibetisches

tifinagh:  Tifinagh

tirhuta:  Tirhuta

turkish:  Türkisches

ugaritic:  Ugaritisches

ukrainian:  Ukrainisches

unified-canadian-aboriginal-syllabics:  Einheitliche Silbenschrift der kanadischen Ureinwohner

vai:  Vai Silbenschrift

varang-kshiti:  Varang Kshiti

yi-syllables:  Yi Silbenschrift
