abkhazia        : Abchasien
afghanistan     : Afghanistan
algeria         : Algerien
armenia         : Armenien
australia       : Australien
azerbaijan      : Aserbaidschan
bahrain         : Bahrain
bali            : Bali
bangladesh      : Bangladesch
bosnia          : Bosnien
bulgaria        : Bulgarien
burma           : Burma
butane          : Bhutan
cambodia        : Kambodscha
cameroon        : Kamerun
canada          : Kanada
china           : China
croatia         : Kroatien
egypt           : Ägypten
england         : England
eritrea         : Eritrea
estland         : Estland
ethiopia        : Äthiopien
fiji_islands    : Fidschiinseln
finland         : Finnland
france          : Frankreich
georgia         : Georgien
germany         : Deutschland
goa             : Goa
greece          : Griechenland
guam            : Guam
guinea          : Guinea
herzegovina     : Herzegovina
hungary         : Ungarn
india           : Indien
indonesia       : Indonesien
iran            : Iran
iraq            : Irak
ireland         : Irland
israel          : Israel
italy           : Italien
jakarta         : Jakarta
japan           : Japan
kashmir         : Kaschmir
kazakhstan      : Kasakhstan
kenya           : Kenia
kuwait          : Kuwait
laos            : Laos
levant          : Levante
liberia         : Liberia
libya           : Libyen
lombok          : Lombok
macedonia       : Makedonien
malaysia        : Malaysia
maldives        : Malediven
mali            : Mali
malta           : Malta
mauritius       : Mauritius
mesopotamia     : Mesopotamien
moldova         : Moldawien
mongolia        : Mongolei
montenegro      : Montenegro
myanmar         : Myanmar
nepal           : Nepal
nigeria         : Nigeria
north_africa    : Nordafrika
north_korea     : Nordkorea
north_philippines : Nordphilippinen
norway          : Norwegen
pakistan        : Pakistan
peru            : Peru
philippines     : Philippinen
poland          : Polen
rumania         : Rumänien
russia          : Russland
salvador        : Salvador
scotland        : Schottland
serbia          : Serbien
sierra_leone    : Sierra Leone
singapore       : Singapur
slovenia        : Slovenien
somalia         : Somalia
south_korea     : Südkorea
sri_lanka       : Sri Lanka
sudan           : Sudan
sumatra         : Sumatra
sweden          : Schweden
syria           : Syrien
taiwan          : Taiwan
tanzania        : Tansania
thailand        : Thailand
tibet           : Tibet
turkey          : Türkei
uganda          : Uganda
ukraine         : Ukraine
usa             : USA
vietnam         : Vietnam
wales           : Wales
