title: Schöne kyrillische Buchstaben
list_title: Schöne Buchstaben

square: Quadratische lateinische Großbuchstaben
old-english: Englisches Alphabet des alten Stils
runic: Englisches Alphabet im Runenstil
cyrillic: kyrillisch
la: Brief А
lb: Brief Б
lv: Brief В
lg: Brief Г
ld: Brief Д
le: Brief Е
lzh: Brief Ж
lz: Brief З
li: Brief И
ly: Brief Й
lk: Brief К
ll: Brief Л
lm: Brief М
ln: Brief Н
lo: Brief О
lp: Brief П
lr: Brief Р
ls: Brief С
lt: Brief Т
lu: Brief У
lf: Brief Ф
lh: Brief Х
lc: Brief Ц
lch: Brief Ч
lsh: Brief Ш
lsch: Brief Щ
ltvzn: Brief Ъ
lyy: Brief Ы
lmzn: Brief Ь
lye: Brief Э
lyu: Brief Ю
lya: Brief Я
latin: Latein
circle: Eingekreiste lateinische Hauptstadt Briefs
lla: Brief A
llb: Brief B
llc: Brief C
lld: Brief D
lle: Brief E
llf: Brief F
llg: Brief G
llh: Brief H
lli: Brief I
llj: Brief J
llk: Brief K
lll: Brief L
llm: Brief M
lln: Brief N
llo: Brief O
llp: Brief P
llr: Brief R
lls: Brief S
llt: Brief T
llu: Brief U
llv: Brief V
llw: Brief W
llx: Brief X
lly: Brief Y
llz: Brief Z
