1B200: Nushu-Zeichen-1B200
1B201: Nushu-Zeichen-1B201
1B202: Nushu-Zeichen-1B202
1B203: Nushu-Zeichen-1B203
1B204: Nushu-Zeichen-1B204
1B205: Nushu-Zeichen-1B205
1B206: Nushu-Zeichen-1B206
1B207: Nushu-Zeichen-1B207
1B208: Nushu-Zeichen-1B208
1B209: Nushu-Zeichen-1B209
1B20A: Nushu-Zeichen-1B20A
1B20B: Nushu-Zeichen-1B20B
1B20C: Nushu-Zeichen-1B20C
1B20D: Nushu-Zeichen-1B20D
1B20E: Nushu-Zeichen-1B20E
1B20F: Nushu-Zeichen-1B20F
1B210: Nushu-Zeichen-1B210
1B211: Nushu-Zeichen-1B211
1B212: Nushu-Zeichen-1B212
1B213: Nushu-Zeichen-1B213
1B214: Nushu-Zeichen-1B214
1B215: Nushu-Zeichen-1B215
1B216: Nushu-Zeichen-1B216
1B217: Nushu-Zeichen-1B217
1B218: Nushu-Zeichen-1B218
1B219: Nushu-Zeichen-1B219
1B21A: Nushu-Zeichen-1B21A
1B21B: Nushu-Zeichen-1B21B
1B21C: Nushu-Zeichen-1B21C
1B21D: Nushu-Zeichen-1B21D
1B21E: Nushu-Zeichen-1B21E
1B21F: Nushu-Zeichen-1B21F
1B220: Nushu-Zeichen-1B220
1B221: Nushu-Zeichen-1B221
1B222: Nushu-Zeichen-1B222
1B223: Nushu-Zeichen-1B223
1B224: Nushu-Zeichen-1B224
1B225: Nushu-Zeichen-1B225
1B226: Nushu-Zeichen-1B226
1B227: Nushu-Zeichen-1B227
1B228: Nushu-Zeichen-1B228
1B229: Nushu-Zeichen-1B229
1B22A: Nushu-Zeichen-1B22A
1B22B: Nushu-Zeichen-1B22B
1B22C: Nushu-Zeichen-1B22C
1B22D: Nushu-Zeichen-1B22D
1B22E: Nushu-Zeichen-1B22E
1B22F: Nushu-Zeichen-1B22F
1B230: Nushu-Zeichen-1B230
1B231: Nushu-Zeichen-1B231
1B232: Nushu-Zeichen-1B232
1B233: Nushu-Zeichen-1B233
1B234: Nushu-Zeichen-1B234
1B235: Nushu-Zeichen-1B235
1B236: Nushu-Zeichen-1B236
1B237: Nushu-Zeichen-1B237
1B238: Nushu-Zeichen-1B238
1B239: Nushu-Zeichen-1B239
1B23A: Nushu-Zeichen-1B23A
1B23B: Nushu-Zeichen-1B23B
1B23C: Nushu-Zeichen-1B23C
1B23D: Nushu-Zeichen-1B23D
1B23E: Nushu-Zeichen-1B23E
1B23F: Nushu-Zeichen-1B23F
1B240: Nushu-Zeichen-1B240
1B241: Nushu-Zeichen-1B241
1B242: Nushu-Zeichen-1B242
1B243: Nushu-Zeichen-1B243
1B244: Nushu-Zeichen-1B244
1B245: Nushu-Zeichen-1B245
1B246: Nushu-Zeichen-1B246
1B247: Nushu-Zeichen-1B247
1B248: Nushu-Zeichen-1B248
1B249: Nushu-Zeichen-1B249
1B24A: Nushu-Zeichen-1B24A
1B24B: Nushu-Zeichen-1B24B
1B24C: Nushu-Zeichen-1B24C
1B24D: Nushu-Zeichen-1B24D
1B24E: Nushu-Zeichen-1B24E
1B24F: Nushu-Zeichen-1B24F
1B250: Nushu-Zeichen-1B250
