2F900: CJK-Kompatibilitätsideograph-2F900
2F901: CJK-Kompatibilitätsideograph-2F901
2F902: CJK-Kompatibilitäts-Ideogramm-2F902
2F903: CJK-Kompatibilitäts-Ideogramm-2F903
2F904: CJK-Kompatibilitäts-Ideogramm-2F904
2F905: CJK-Kompatibilitäts-Ideogramm-2F905
2F906: CJK-Kompatibilitäts-Ideogramm-2F906
2F907: Ideograph (Cant.) Schlamm, Moor CJK: baan6
2F908: CJK-Kompatibilitäts-Ideogramm-2F908
2F909: CJK-Kompatibilitäts-Ideogramm-2F909
2F90A: CJK-Kompatibilitätsideograph-2F90A
2F90B: CJK-Kompatibilitätsideograph-2F90B
2F90C: CJK-Kompatibilitätsideograph-2F90C
2F90D: CJK-Kompatibilitätsideograph-2F90D
2F90E: CJK-Kompatibilitätsideograph-2F90E
2F90F: CJK-Kompatibilitätsideograph-2F90F
2F910: CJK-Kompatibilitätsideograph-2F910
2F911: CJK-Kompatibilitäts-Ideogramm-2F911
2F912: CJK-Kompatibilitäts-Ideogramm-2F912
2F913: CJK-Kompatibilitäts-Ideogramm-2F913
2F914: CJK-Kompatibilitäts-Ideogramm-2F914
2F915: CJK-Kompatibilitäts-Ideogramm-2F915
2F916: CJK-Kompatibilitäts-Ideogramm-2F916
2F917: CJK-Kompatibilitäts-Ideogramm-2F917
2F918: CJK-Kompatibilitäts-Ideogramm-2F918
2F919: CJK-Kompatibilitäts-Ideogramm-2F919
2F91A: CJK-Kompatibilitätsideograph-2F91A
2F91B: CJK-Kompatibilitätsideograph-2F91B
2F91C: CJK-Kompatibilitätsideograph-2F91C
2F91D: CJK-Kompatibilitätsideograph-2F91D
2F91E: CJK-Kompatibilitätsideograph-2F91E
2F91F: CJK-Kompatibilitätsideograph-2F91F
2F920: CJK-Kompatibilitäts-Ideogramm-2F920
2F921: CJK-Kompatibilitäts-Ideogramm-2F921
2F922: CJK-Kompatibilitäts-Ideogramm-2F922
2F923: CJK-Kompatibilitäts-Ideogramm-2F923
2F924: CJK-Kompatibilitätsideograph-2F924
2F925: CJK-Kompatibilitäts-Ideogramm-2F925
2F926: CJK-Kompatibilitäts-Ideogramm-2F926
2F927: CJK-Kompatibilitäts-Ideogramm-2F927
