abkhazian       : abkhazian
ainu            : ainu
arabic          : arabic
armenian        : armenian
amharic         : amharic
balinese        : balinese
bamum           : bamum
batak           : batak
bengali         : bengali
buhid           : buhid
buginese        : buginese
bulgarian       : bulgarian
burmese         : burmese
celtic          : celtic
cham            : cham
cherokee        : cherokee
chinese         : chinese
cia-cia         : cia-cia
coptic          : coptic
cree            : cree
croatian        : croatian
dravidian       : dravidian
ethiopian-semitic : ethiopian semitic
english         : english
french          : french
georgian        : georgian
german          : german
greek           : greek
hanunoo         : hanunoo
hebrew          : hebrew
hindi           : hindi
hungarian       : hungarian
italian         : italian
indian          : indian
japanese        : japanese
javanese        : javanese
kayah           : kayah
khmer           : khmer
komi            : komi
korean          : korean
kurd            : kurd
laotian         : laotian
lepcha          : lepcha
limbu           : limbu
lisu            : lisu
makassarese     : makassarese
maldivian       : maldivian
maltese         : maltese
mandaic         : mandaic
mandar          : mandar
marathi         : marathi
mongolian       : mongolian
nko             : nko
okinawan        : okinawan
old-church-slavic : old church slavic
old-italic      : old italic
oriya           : oriya
palauan         : palauan
palaun          : palaun
pali            : pali
polish          : polish
punjabi         : punjabi
persian         : persian
pictish         : pictish
primitive-irish : primitive irish
rejang          : rejang
runic           : runic
russian         : russian
sanskrit        : sanskrit
santali         : santali
sami            : sami
sasak           : sasak
saurashtra      : saurashtra
sinhalese       : sinhalese
slovenian       : slovenian
sundanese       : sundanese
sylheti         : sylheti
syrian          : syrian
tagalog         : tagalog
tamil           : tamil
telugu          : telugu
thai            : thai
tibetan         : tibetan
tigtinya        : tigtinya
tuareg          : tuareg
turkish         : turkish
ukrainian       : ukrainian
uyghur          : uyghur
vai             : vai
vietnamese      : vietnamese
yi              : yi
yiddish         : yiddish
