abkhazia: Abjasia
afghanistan: Afganistán
algeria: Argelia
armenia: Armenia
australia: Australia
azerbaijan: Azerbaiyán
bahrain: Bahrein
bali: Bali
bangladesh: Bangladesh
bosnia: Bosnia
bulgaria: Bulgaria
burma: Birmania
butane: Butano
cambodia: Camboya
cameroon: Camerún
canada: Canadá
china: China
croatia: Croacia
egypt: Egipto
england: Inglaterra
eritrea: Eritrea
estland: Estland
ethiopia: Etiopía
fiji_islands: Islas Fiji
finland: Finlandia
france: Francia
georgia: Georgia
germany: Alemania
goa: Goa
greece: Grecia
guam: Guam
guinea: Guinea
herzegovina: Herzegovina
hungary: Hungría
india: India
indonesia: Indonesia
iran: Irán
iraq: Irak
ireland: Irlanda
israel: Israel
italy: Italia
jakarta: Yakarta
japan: Japón
kashmir: Cachemira
kazakhstan: Kazajstán
kenya: Kenia
kuwait: Kuwait
laos: Laos
levant: Levante
liberia: Liberia
libya: Libia
lombok: Lombok
macedonia: Macedonia
malaysia: Malasia
maldives: Maldivas
mali: Malí
malta: Malta
mauritius: Mauricio
mesopotamia: Mesopotamia
moldova: Moldavia
mongolia: Mongolia
montenegro: Montenegro
myanmar: Myanmar
nepal: Nepal
nigeria: Nigeria
north_africa: África del Norte
north_korea: Corea del Norte
north_philippines: Norte de Filipinas
norway: Noruega
pakistan: Pakistán
peru: Perú
philippines: Filipinas
poland: Polonia
rumania: Rumania
russia: Rusia
salvador: Salvador
scotland: Escocia
serbia: Serbia
sierra_leone: Sierra-Leona
singapore: Singapur
slovenia: Eslovenia
somalia: Somalia
south_korea: Corea del Sur
sri_lanka: Sri-Lanka
sudan: Sudán
sumatra: Sumatra
sweden: Suecia
syria: Siria
taiwan: Taiwan
tanzania: Tanzania
thailand: Tailandia
tibet: Tibet
turkey: Pavo
uganda: Uganda
ukraine: Ucrania
usa: Estados Unidos
vietnam: Vietnam
wales: Wales

