abkhazian: abjasio
ainu: ainu
arabic: árabe
armenian: armenio
amharic: amárico
balinese: balinés
bamum: bamum
batak: batak
bengali: bengalí
buhid: buhid
buginese: buginés
bulgarian: búlgaro
burmese: birmano
celtic: céltica
cham: cham
cherokee: cherokee
chinese: chino
cia-cia: cia-cia
coptic: copto
cree: cree
croatian: croata
dravidian: dravidian
ethiopian-semitic: etíope semita
english: inglés
french: francés
georgian: georgiano
german: alemán
greek: griego
hanunoo: hanunoo
hebrew: hebreo
hindi: hindi
italian: italiano
indian: indio
japanese: japonés
javanese: javanés
kayah: kayah
khmer: khmer
komi: komi
korean: coreano
kurd: kurdo
laotian: laosiano
lepcha: lepcha
limbu: limbu
lisu: lisu
makassarese: makassarese
maldivian: maldivas
maltese: maltés
mandaic: mandaic
mandar: mandar
marathi: marathi
mongolian: mongol
nko: nko
okinawan: okinawa
old-church-slavic: eslavo eclesiástico
old-italic: etrusca
oriya: oriya
palauan: palauan
palaun: palaun
pali: pali
polish: polaco
punjabi: punjabi
persian: persa
pictish: picto
primitive-irish: primitivo irlandés
rejang: rejang
runic: rúnico
russian: ruso
sanskrit: sánscrito
santali: santali
sami: sami
sasak: sasak
saurashtra: saurashtra
sinhalese: cingalés
slovenian: eslovena
sundanese: sundanese
sylheti: sylheti
syrian: sirio
tagalog: tagalog
tamil: tamil
telugu: telugu
thai: tailandés
tibetan: tibetano
tigtinya: tigtinya
tuareg: tuareg
turkish: turco
ukrainian: ucraniano
uyghur: uigur
vai: vai
vietnamese: vietnamita
yi: yi
yiddish: yiddish

