C600: Hilos y sílabas
C601: Hangul Syllable Yeong
C602: Hangul Syllable Yeoj
C603: Hangul Syllable Yeoc
C604: Hangul Syllable Yeok
C605: Hangul Syllable Yeot
C606: Hangul Syllable Yeop
C607: Hangul Syllable Yeoh
C608: Hangul Syllable Ye
C609: Hangul Syllable Yeg
C60A: Hangul Syllable Yegg
C60B: Hangul Syllable Yegs
C60C: Hangul sílaba yen
C60D: Hangul Syllable Yenj
C60E: Hangul Syllable Yenh
C60F: Hangul Syllable Yed
C610: Hangul sílaba Yel
C611: Hangul Syllable Yelg
C612: Hangul Syllable Yelm
C613: Hangul Syllable Yelb
C614: Hangul sílaba Yels
C615: Hangul Syllable Yelt
C616: Yelp Hangul Syllable
C617: Hangul Syllable Yelh
C618: Hangul Syllable Yem
C619: Hangul Syllable Yeb
C61A: Hangul sílaba Yebs
C61B: Sílaba hangul sí
C61C: Sílaba Hangul Yess
C61D: Hangul Syllable Yeng
C61E: Hangul Syllable Yej
C61F: Hangul sílaba Yec
C620: Hangul Syllable Yek
C621: Hangul sílaba todavía
C622: Hangul sílaba sí
C623: Hangul Syllable Yeh
C624: Hangul sílaba O
C625: Hangul Syllable Og
C626: Hangul Syllable Ogg
C627: Huevos de sílaba hangul
C628: Sílaba hangul en
C629: Hangul Syllable Onj
C62A: Hangul Syllable Onh
C62B: Hangul sílaba Od
C62C: Hangul sílaba ol
C62D: Hangul Syllable Olg
C62E: Hangul sílaba Olm
C62F: Hangul sílaba Olb
C630: Hangul sílaba Ols
C631: Hangul Syllable Olt
C632: Hangul sílaba olp
C633: Hangul Syllable Olh
C634: Hangul sílaba Om
C635: Hangul sílaba Ob
C636: Hangul sílaba Obs
C637: Hangul Syllable Os
C638: Hangul Syllable Oss
C639: Hangul sílaba ong
C63A: Hangul Syllable Oj
C63B: Hangul sílaba Oc
C63C: Hangul sílaba Ok
C63D: Hangul sílaba ot
C63E: Hangul sílaba Op.
C63F: Hangul sílaba Oh
C640: Hangul sílaba wa
C641: Hangul sílaba Wag
C642: Hangul sílaba Wagg
C643: Hangul sílaba wags
C644: Hangul Syllable Wan
C645: Hangul Syllable Wanj
C646: Hangul Syllable Wanh
C647: Hangul sílaba Wad
C648: Hangul Syllable Wal
C649: Hangul Syllable Walg
C64A: Hangul Syllable Walm
C64B: Hangul sílaba Walb
C64C: Hangul sílaba Wals
C64D: Haltul sílaba Walt
C64E: Hangul Syllable Walp
C64F: Hangul Syllable Walh
C650: Hangul sílaba Wam
C651: Hangul sílaba Wab
C652: Hangul sílaba Wabs
C653: La sílaba hangul era
C654: Hangul Syllable Wass
C655: Hangul sílaba Wang
C656: Hangul Syllable Waj
C657: Hangul sílaba Wac
C658: Hangul sílaba Wak
C659: Hangul Syllable Wat
C65A: Hangul sílaba Wap
C65B: Hangul Syllable Wah
C65C: Hangul sílaba wae
C65D: Hangul sílaba waeg
C65E: Hangul sílaba Waegg
C65F: Hangul sílaba Waegs
C660: Hangul Syllable Waen
C661: Hangul Syllable Waenj
C662: Hangul Syllable Waenh
C663: Hangul sílaba Waed
C664: Hangul Syllable Wael
C665: Hangul Syllable Waelg
C666: Hangul sílaba Waelm
C667: Hangul sílaba Waelb
C668: Hangul sílaba Waels
C669: Hangul Syllable Waelt
C66A: Hangul Syllable Waelp
C66B: Hangul Syllable Waelh
C66C: Hangul sílaba Waem
C66D: Hangul sílaba waeb
C66E: Hangul sílaba Waebs
C66F: Hulagla sílaba waes
C670: Hulagla sílaba waess
C671: Hangul sílaba waeng
C672: Hangul Syllable Waej
C673: Hangul Syllable Waec
C674: Hangul Syllable Waek
C675: Hangul sílaba Waet
C676: Hangul sílaba waep
C677: Hangul Syllable Waeh
C678: Hangul sílaba Oe
C679: Hangul sílaba Oeg
C67A: Hangul sílaba Oegg
C67B: Hegul sílaba Oegs
C67C: Hangul Syllable Oen
C67D: Hangul Syllable Oenj
C67E: Hangul Syllable Oenh
C67F: Hangul Syllable Oed
C680: Hangul sílaba Oel
C681: Hangul sílaba Oelg
C682: Hangul Syllable Oelm
C683: Hangul Syllable Oelb
C684: Hangul sílaba Oels
C685: Hangul Syllable Oelt
