17200: Ideógrafo tangut l2008-1068
17201: Ideograma de Tangut L2008-1225
17202: Ideograma de Tangut L2008-1297
17203: Ideograma de Tangut L2008-1422
17204: Ideograma de Tangut L2008-1517
17205: Ideograma de Tangut L2008-1455
17206: Ideograma de Tangut L2008-1047
17207: Ideograma de Tangut L2008-0942
17208: Ideograma de Tangut L2008-1210
17209: Ideograma de Tangut L2008-1470
1720A: Ideograma de Tangut L2008-1267B
1720B: Ideograma de Tangut L2008-1490
1720C: Ideograma de Tangut L2008-1469
1720D: Ideograma de Tangut L2008-0919
1720E: Ideograma de Tangut L2008-1187
1720F: Ideograma de Tangut L2008-1177
17210: Ideograma de Tangut L2008-0944
17211: Ideograma de Tangut L2008-1110
17212: Ideograma de Tangut L2008-1298
17213: Ideograma de Tangut L2008-1445
17214: Ideograma de Tangut L2008-1550
17215: Ideograma de Tangut L2008-1267A
17216: Ideograma de Tangut L2008-1555
17217: Ideograma de Tangut L2008-1001
17218: Ideograma de Tangut L2008-1202
17219: Ideograma de Tangut L2008-1399
1721A: Ideograma de Tangut L2008-1460
1721B: Ideograma de Tangut L2008-1459
1721C: Ideograma de Tangut L2008-1160
1721D: Ideograma de Tangut L2008-1486
1721E: Ideograma de Tangut L2008-1207
1721F: Ideograma de Tangut L2008-1104
17220: Ideograma de Tangut L2008-0943
17221: Ideograma de Tangut L2008-0990
17222: Ideograma de Tangut L2008-0916
17223: Ideograma de Tangut L2008-1377
17224: Ideograma de Tangut L2008-1181
17225: Ideograma de Tangut L2008-1396
17226: Ideograma de Tangut L2008-1336
17227: Ideograma de Tangut L2008-1161
17228: Ideograma de Tangut L2008-1180
17229: Ideograma de Tangut L2008-5955
1722A: Ideograma de Tangut L2008-5981
1722B: Ideograma de Tangut L2008-5948
1722C: Ideograma de Tangut L2008-5951
1722D: Ideograma de Tangut L2008-5835
1722E: Ideograma de Tangut L2008-5846
1722F: Ideograma de Tangut L2008-5837
17230: Ideograma de Tangut L2008-5982
17231: Ideograma de Tangut L2008-5913
17232: Ideograma de Tangut L2008-5911
17233: Ideograma de Tangut L2008-5958
17234: Ideograma de Tangut L2008-5992
17235: Ideograma de Tangut L2008-5838
17236: Ideograma de Tangut L2008-5918
17237: Ideograma de Tangut L2008-5956
17238: Ideograma de Tangut L2008-5896
17239: Ideograma de Tangut L2008-5985
1723A: Ideograma de Tangut L2008-5952
1723B: Ideograma de Tangut L2008-0426
1723C: Ideograma de Tangut L2008-0625
1723D: Ideograma de Tangut L2008-1506
1723E: Ideograma de Tangut L2008-0732
1723F: Ideograma de Tangut L2008-1829
17240: Ideograma de Tangut L2008-1825
17241: Ideograma de Tangut L2008-0439
17242: Ideograma de Tangut L2008-0440
17243: Ideograma de Tangut L2008-1826
17244: Ideograma de Tangut L2008-1497
17245: Ideograma de Tangut L2008-0618
17246: Ideograma de Tangut L2008-6009
17247: Ideograma de Tangut L2008-0431
17248: Ideograma de Tangut L2008-0453
17249: Ideograma de Tangut L2008-0735
1724A: Ideograma de Tangut L2008-1521
1724B: Ideograma de Tangut L2008-1259
1724C: Ideograma de Tangut L2008-1168
1724D: Ideograma de Tangut L2008-0372
1724E: Ideograma de Tangut L2008-0684
1724F: Ideograma de Tangut L2008-0365
17250: Ideograma de Tangut L2008-0862
17251: Ideograma de Tangut L2008-0571
17252: Ideograma de Tangut N1966-185-065
17253: Ideograma de Tangut L2008-1250
17254: Ideograma de Tangut L2008-0707
17255: Ideograma de Tangut L2008-1349
17256: Ideograma de Tangut L2008-1861
17257: Ideograma de Tangut L2008-1714
17258: Ideograma de Tangut L2008-1374
17259: Ideograma de Tangut L2008-1261
1725A: Ideograma de Tangut L2008-1424
1725B: Ideograma de Tangut L2008-1262
1725C: Ideograma de Tangut L2008-0800
1725D: Ideograma de Tangut L2008-0585
1725E: Ideograma de Tangut L2008-1862
1725F: Ideograma de Tangut L2008-1767
17260: Ideograma de Tangut L2008-1260
17261: Ideograma de Tangut L2008-1750
17262: Ideograma de Tangut L2008-1751
17263: Ideograma de Tangut L2008-0797
17264: Ideograma de Tangut L2008-0530
17265: Ideograma de Tangut L2008-0896
17266: Ideograma de Tangut S1968-5520
17267: Ideograma de Tangut L2008-1777
17268: Ideograma de Tangut L2008-1783
17269: Ideograma de Tangut L2008-1249
1726A: Ideograma de Tangut L2008-1409
1726B: Ideograma de Tangut L2008-1263
1726C: Ideograma de Tangut L2008-1682
1726D: Ideograma de Tangut L2008-0572
1726E: Ideograma de Tangut L2008-0824
1726F: Ideograma de Tangut L2008-1689
17270: Ideograma de Tangut L2008-0879
17271: Ideograma de Tangut L2008-0677
17272: Ideograma de Tangut L2008-0282
17273: Ideograma de Tangut L2008-1752
17274: Ideograma de Tangut L2008-1687
17275: Ideograma de Tangut L2008-1686
17276: Ideograma de Tangut L2008-0327
17277: Ideograma de Tangut L2008-0366
17278: Ideógrafo tangut l2008-3026
17279: Ideograma de Tangut L2008-2030
1727A: Ideograma de Tangut L2008-1987
1727B: Ideograma de Tangut L2008-3019
1727C: Ideograma de Tangut L2008-3023
1727D: Ideograma de Tangut L2008-2031
1727E: Ideograma de Tangut L2008-1988
1727F: Ideograma de Tangut L2008-2044
17280: Ideograma de Tangut L2008-3000
17281: Ideograma de Tangut L2008-2582
17282: Ideograma de Tangut L2008-3070
17283: Ideograma de Tangut L2008-2041
17284: Ideograma de Tangut L2008-3046
17285: Ideograma de Tangut L2008-2404
17286: Ideograma de Tangut L2008-2022
17287: Ideograma de Tangut L2008-2023
17288: Ideograma de Tangut L2008-2733
17289: Ideograma de Tangut L2008-3073
1728A: Ideograma de Tangut L2008-2422
1728B: Ideograma de Tangut L2008-3031
1728C: Ideograma de Tangut L2008-3040
1728D: Ideograma de Tangut L2008-2575
1728E: Ideograma de Tangut L2008-2577
1728F: Ideograma de Tangut L2008-2583
17290: Ideograma de Tangut L2008-3539
17291: Ideograma de Tangut L2008-3039
17292: Ideograma de Tangut L2008-3084
17293: Ideograma de Tangut L2008-3011
17294: Ideograma de Tangut L2008-3071
17295: Ideograma de Tangut L2008-2032
17296: Ideograma de Tangut L2008-2045
17297: Ideograma de Tangut L2008-2024
17298: Ideograma de Tangut L2008-3536
17299: Ideograma de Tangut L2008-2419
1729A: Ideograma de Tangut L2008-2410
1729B: Ideograma de Tangut L2008-3045
1729C: Ideograma de Tangut L2008-3773
1729D: Ideograma de Tangut L2008-3544
1729E: Ideograma de Tangut L2008-3541
1729F: Ideograma de Tangut L2008-2731
172A0: Ideograma de Tangut L2008-3534
172A1: Ideograma de Tangut L2008-3540
172A2: Ideograma de Tangut L2008-2737
172A3: Ideograma de Tangut L2008-3085
172A4: Ideograma de Tangut L2008-6031
172A5: Ideograma de Tangut L2008-2851
172A6: Ideograma de Tangut L2008-2018
172A7: Ideograma de Tangut L2008-1990
172A8: Ideograma de Tangut L2008-2054
172A9: Ideograma de Tangut L2008-2581
172AA: Ideograma de Tangut L2008-2029
172AB: Ideograma de Tangut L2008-2040
172AC: Ideograma de Tangut L2008-3027
172AD: Ideograma de Tangut L2008-2845
172AE: Ideograma de Tangut L2008-3547
172AF: Ideógrafo tangut L2008-2004
172B0: Ideograma de Tangut L2008-3047
172B1: Ideograma de Tangut L2008-2412
172B2: Ideograma de Tangut S1968-4313
172B3: Ideograma de Tangut L2008-6036
172B4: Ideograma de Tangut L2008-2734
172B5: Ideógrafo tangut l2008-3048
172B6: Ideograma de Tangut L2008-3041
172B7: Ideograma de Tangut L2008-2720
172B8: Ideograma de Tangut L2008-1991
172B9: Ideograma de Tangut L2008-2732
172BA: Ideograma de Tangut L2008-3024
172BB: Ideograma de Tangut L2008-3772
172BC: Ideograma de Tangut L2008-2843
172BD: Ideograma de Tangut L2008-3004
172BE: Ideograma de Tangut L2008-1994
172BF: Ideograma de Tangut L2008-2020
172C0: Ideograma de Tangut L2008-2413
172C1: Ideograma de Tangut L2008-1996
172C2: Ideograma de Tangut L2008-2417
172C3: Ideograma de Tangut L2008-3075
172C4: Ideograma de Tangut L2008-2588
172C5: Ideograma de Tangut L2008-3078
172C6: Ideograma de Tangut L2008-3010
172C7: Ideograma de Tangut L2008-3077
172C8: Ideógrafo tangut l2008-3055
172C9: Ideograma de Tangut L2008-2013
172CA: Ideograma de Tangut L2008-3013
172CB: Ideógrafo tangut L2008-2005
172CC: Ideograma de Tangut L2008-2401
172CD: Ideograma de Tangut L2008-3776
172CE: Ideograma de Tangut L2008-2034
172CF: Ideograma de Tangut L2008-3035
172D0: Ideograma de Tangut L2008-2724
172D1: Ideograma de Tangut L2008-2738
