abkhazia        : Abkhazie 
afghanistan     : Afghanistan
algeria         : Algérie
armenia         : Arménie 
australia       : Australie
azerbaijan      : Azerbaïdjan 
bahrain         : Bahreïn
bali            : Bali
bangladesh      : Bangladesh
bosnia          : Bosnie 
bulgaria        : Bulgarie 
burma           : Birmanie 
butane          : Butane 
cambodia        : Cambodge 
cameroon        : Cameroun 
canada          : Canada 
china           : Chine 
croatia         : Croatie 
egypt           : Égypte
england         : Angleterre
eritrea         : Erythrée 
estland         : Estland 
ethiopia        : Ethiopie 
fiji_islands    : Fidji
finland         : Finlande 
france          : France 
georgia         : Géorgie 
germany         : Allemagne
goa             : Goa
greece          : Grèce
guam            : Guam 
guinea          : Guinée 
herzegovina     : Herzégovine 
hungary         : Hongrie 
india           : Inde 
indonesia       : Indonésie 
iran            : Iran
iraq            : Irak
ireland         : Irlande 
israel          : Israël
italy           : Italie 
jakarta         : Jakarta 
japan           : Japon
kashmir         : Cachemire 
kazakhstan      : Kazakhstan
kenya           : Kenya 
kuwait          : Koweït 
laos            : Laos
levant          : Levant
liberia         : Libéria 
libya           : Libye
lombok          : Lombok
macedonia       : Macédoine 
malaysia        : Malaisie 
maldives        : Maldives 
mali            : Mali
malta           : Malte 
mauritius       : Maurice 
mesopotamia     : Mésopotamie 
moldova         : Moldavie 
mongolia        : Mongolie 
montenegro      : Monténégro
myanmar         : Myanmar 
nepal           : Népal 
nigeria         : Nigeria 
north_africa    : Afrique du Nord 
north_korea     : Corée du Nord
north_philippines : Nord des Philippines 
norway          : Norvège 
pakistan        : Pakistan
peru            : Pérou 
philippines     : Philippines
poland          : Pologne
rumania         : Roumanie 
russia          : Russie 
salvador        : Salvador 
scotland        : Écosse
serbia          : Serbie 
sierra_leone    : Sierra Leone 
singapore       : Singapour 
slovenia        : Slovénie 
somalia         : Somalie 
south_korea     : Corée du Sud 
sri_lanka       : Sri Lanka 
sudan           : Soudan 
sumatra         : Sumatra 
sweden          : Suède 
syria           : Syrie
taiwan          : Taiwan
tanzania        : Tanzanie 
thailand        : Thaïlande
tibet           : Tibet 
turkey          : Turquie 
uganda          : Ouganda 
ukraine         : Ukraine 
usa             : États-Unis
vietnam         : Vietnam 
wales           : Pays de Galles
