abkhazian: abkhaze
ainu: aïnou
arabic: la  arabe
armenian: arménienne
amharic: amharique
balinese: balinaise
bamum: bamoun
batak: batak
bengali: bengali
buhid: Buhid
buginese: Bugis
bulgarian: bulgare
burmese: birmane
celtic: celtique
cham: cham
cherokee: cherokee
chinese: chinoise
cia-cia: cia-cia
coptic: copte
cree: crie
croatian: croate
dravidian: dravidienne
ethiopian-semitic: éthiopienne sémite
english: anglaise
french: française
georgian: géorgienne
german: allemande
greek: grecque
hanunoo: de Hanunoo
hebrew: hébreu
hindi: hindi
italian: italienne
indian: indienne
japanese: japonaise
javanese: javanaise
kayah: kayah
khmer: khmer
komi: komi
korean: coréenne
kurd: kurde
laotian: laotienne
lepcha: lepcha
limbu: limbu
lisu: lisu
makassarese: makassarese
maldivian: maldives
maltese: maltaise
mandaic: mandaic
mandar: mandar
marathi: marathi
mongolian: mongole
nko: nko
okinawan: okinawan
old-church-slavic: liturgique slave
old-italic: étrusque
oriya: oriya
palauan: palauan
palaun: palaun
pali: pali
polish: polonaise
punjabi: punjabi
persian: persane
pictish: picte
primitive-irish: primitive irlandais
rejang: Rejang
runic: runique
russian: russe
sanskrit: sanscrit
santali: Santali
sami: sami
sasak: sasak
saurashtra: saurashtra
sinhalese: cingalais
slovenian: slovène
sundanese: soudanais
sylheti: sylheti
syrian: syrien
tagalog: tagalog
tamil: tamil
telugu: telugu
thai: thai
tibetan: tibétaine
tigtinya: tigtinya
tuareg: touareg
turkish: turque
ukrainian: ukrainienne
uyghur: ouïghour
vai: vai
vietnamese: vietnamienne
yi: yi
yiddish: yiddish

