arab	: अरबी
	
armenian	: अर्मेनियाई
	
avestan	: अवस्ताई
	
balinese	: बाली लिपि
	
bamum	: बामम
	
bashkir	: बशख़िर
	
bassa-vah	: बासा-VAH
	
batak	: Batak
	
belarusian	: बेलारूसी
	
bengali	: बंगाली
	
bopomofo	: बोपोमोफो। ज़्युइन
	
brahmi	: ब्राह्मी
	
buginese	: बगिनीस
	
buhid	: Buhid
	
bulgarian	: बल्गेरियाई
	
carian	: कारियान
	
caucasian-albanian	: यूरोपीय अल्बानियाई
	
chakma	: चकमा
	
cham	: चाम लिपि
	
cherokee	: चेरोकी
	
chinese	: चीनी पिनयिन
	
coptic	: कॉप्टिक
	
cypriot-syllabary	: साइप्रस जसे
	
cyrillic	: सिरिलिक
	
czech	: चेक
	
deseret	: Deseret
	
devanagari	: देवनागरी
	
elbasan	: Elbasan
	
english	: अंग्रेजी की
	
esperanto	: एस्पेरान्तो
	
ethiopic	: कुशी Ge'ez
	
french	: फ्रेंच
	
georgian	: जॉर्जिया
	
german	: जर्मन
	
glagolitic	: ग्लैगोलिटिक
	
gothic	: गोथिक
	
grantha	: ग्रन्थ लिपि
	
greek	: ग्रीक
	
gujarati	: गुजराती लिपि
	
gurmukhi	: गुरमुखी लिपि
	
hangul	: हंगुल
	
hanunoo	: Hanunoo
	
hebrew	: हिब्रू
	
hungarian	: हंगरी के
	
imperial-aramaic	: इंपीरियल इब्रानी
	
international-phonetic-alphabet	: अंतर्राष्ट्रीय ध्वन्यात्मक
	
italian	: इतालवी
	
japanese-hiragana	: जापानी हीरागाना
	
japanese-katakana	: जापानी काटाकना
	
javanese	: जावानीस
	
kaithi	: कैथी
	
kannada	: कन्नड लिपि
	
kayah-li	: Kayah ली
	
kazakh	: कजाख
	
kharoshthi	: खरोष्ठी
	
khmer	: खमेर
	
khojki	: Khojki
	
khudawadi	: Khudawadi
	
lao	: लाओ
	
latin	: लैटिन
	
lepcha	: लेपचा
	
limbu	: Limbu
	
linear-b-Syllabary	: लीनियर बी जसे
	
lisu	: Lisu
	
lycian	: Lycian
	
lydian	: Lydian
	
nabataean	: Nabataean
	
mahajani	: महाजनी
	
malayalam	: मलयालम
	
mandaic	: Mandaic
	
manichaean	: मैनिशैन
	
meetei-mayek	: मीटी माएक
	
mende-kikakui	: Mende kikakui
	
meroitic-cursive	: मेरोइटिक घसीट
	
modi	: मोडी
	
mongolian	: मंगोलियाई
	
mro	: एमआरओ
	
myanmar	: म्यांमार
	
new-tai-lue	: न्यू ताई लुए
	
nko	: Nko
	
ogham	: Ngham
	
ol-chiki	: ओलचिकी लिपि
	
old-italic	: पुरानी इटैलिक इट्रस्केन
	
old-north-arabian	: ओल्ड उत्तरी अरब
	
old-permic	: पुरानी पर्मिक
	
old-persian	: पुरानी फारसी
	
old-south-arabian	: ओल्ड दक्षिण अरब
	
old-turkic	: ओल्ड तुर्की रूण का
	
oriya	: उड़िया
	
osmanya	: ओसमान्या
	
pahawh-hmong	: पाहाव्ह हमोन्ग
	
pahlavi	: पहलवी
	
palmyrene	: Palmyrene
	
pau-cin-hau	: पऊ सीआईएन हाओ
	
phags-pa	: फ़ाग्स-पा
	
phoenician	: फ़ोनीशियाई
	
polish	: पोलिश
	
pollard	: पोलार्ड
	
rejang	: Rejang
	
runic	: रूनिक
	
russian	: रूसी
	
samaritan	: सामरी
	
saurashtra	: सौराष्ट्र
	
sharada	: शारदा
	
shavian	: शा
	
siddham	: Siddham
	
sinhala	: सिंहल लिपि
	
sora-sompeng	: सोरा सोम्पेंग
	
spanish	: स्पेनिश
	
sundanese	: सुंडानी

swedish	: स्वीडिश

syloti-nagri	: स्यालोती नागरी
	
syriac	: सिरिएक
	
tagalog	: तागालोग
	
tagbanwa	: Tagbanwa
	
tai-le	: ताई le
	
tai-tham	: ताई tham
	
tai-viet	: ताई वियतनाम
	
takri	: तकरी
	
tamil	: तमिल
	
tatar	: टाटर
	
telugu	: तेलुगु
	
thaana	: थाना
	
thai	: थाई
	
tibetan	: तिब्बती
	
tifinagh	: टिफ़िनाघ
	
tirhuta	: मिथिलाक्षर
	
turkish	: तुर्की
	
ugaritic	: युगैरिटिक
	
ukrainian	: यूक्रेनी
	
unified-canadian-aboriginal-syllabics	: एकीकृत आदिवासी कनाडा जसे
	
vai	: Vai जसे
	
varang-kshiti	: Varang क्षिति
	
yi-syllables	: यी जसे 
