control-character 	: नियंत्रण चरित्र
basic-latin     	: मूल लैटिन
latin-1-supplement 	: लैटिन -1 अनुपूरक
latin-extended-a 	: लैटिन विस्तारित-ए
latin-extended-b 	: लैटिन विस्तारित-बी
ipa-extensions  	: आईपीए एक्सटेंशन
spacing-modifier-letters 	: रिक्ति संशोधक पत्र
combining-diacritical-marks 	: विशेषक चिह्नों का मेल
greek-coptic    	: ग्रीक और कॉप्टिक
cyrillic        	: सिरिलिक
cyrillic-supplement 	: सिरिलिक अनुपूरक
armenian        	: अर्मेनियाई
hebrew          	: यहूदी
arabic          	: अरबी
syrian          	: सिरिएक
arabic-supplement 	: अरबी अनुपूरक
thaana          	: थाना
nko             	: पत्र Nko
samaritan       	: सामरी
mandaic         	: मंडेला पत्र इग्नाटियस
arabic-extended-a 	: अरबी विस्तारित-ए
devanagari      	: देवनागरी
bengali         	: बंगाली
gurmukhi        	: गुरुमुखी
gujarati        	: गुजराती
oriya           	: ओरिया
tamil           	: तामिल
telugu          	: तेलुगु
kannada         	: कन्नड़
malayalam       	: मलयालम
sinhala         	: सिंहली
thai            	: थाई
lao             	: लाओ
tibetan         	: तिब्बती
myanmar         	: म्यांमार
georgian        	: जॉर्जियाई
hangul-jamo     	: हंगुल जामो
ethiopic        	: इथियोपिया के वर्णमाला
ethiopic-supplement 	: इथियोपिया के वर्णमाला अनुपूरक
cherokee        	: चेरोकी
unified-canadian-aboriginal-syllabics 	: एकीकृत कनाडा के ऐबोरजीनी लिपि
ogham           	: ओगम
runic           	: रूण का
tagalog         	: तागालोग
hanunoo         	: हनुनो'ओ वर्णमाला
buhid           	: पत्र Buhid
tagbanwa        	: Tagbanwa वर्णमाला
khmer           	: खमेर
mongolian       	: मंगोलियन
unified-canadian-aboriginal-syllabics-extended 	: एकीकृत कनाडा के ऐबोरजीनी लिपि विस्तारित
limbu           	: पत्र Limbu
tai-le          	: ताई Le
new-tai-lue     	: न्यू ताई लुए
khmer-symbols   	: खमेर चिह्न
buginese        	: बगिनीस
tai-tham        	: ताई थाम
balinese        	: बाली
sundanese       	: सुंडानी
batak           	: पत्र Batak
lepcha          	: लेपचा
ol-chiki        	: राजभाषा Chiki
cyrillic-extended-c	: सिरिलिक विस्तारित सी
sundanese-supplement 	: सुंडानी अनुपूरक
vedic-extensions 	: वैदिक एक्सटेंशन
phonetic-extensions 	: ध्वन्यात्मक एक्सटेंशन
