abkhazia        	: अबकाज़िया
afghanistan     	: अफ़ग़ानिस्तान
algeria         	: एलजीरिया
armenia         	: आर्मीनिया
australia       	: ऑस्ट्रेलिया
azerbaijan      	: आज़रबाइजान
bahrain         	: बहरीन
bali            	: बाली
bangladesh      	: बांग्लादेश
bosnia          	: बोस्निया
bulgaria        	: बुल्गारिया
burma           	: बर्मा
butane          	: बुटान
cambodia        	: कंबोडिया
cameroon        	: कैमरून
canada          	: कनाडा
china           	: चीन
croatia         	: क्रोएशिया
egypt           	: मिस्र
england         	: इंगलैंड
eritrea         	: इरिट्रिया
estland         	: एस्टोनिया
ethiopia        	: इथियोपिया
fiji_islands    	: फिजी द्वीप समूह
finland         	: फिनलैंड
france          	: फ्रांस
georgia         	: जॉर्जिया
germany         	: जर्मनी
goa             	: गोवा
greece          	: यूनान
guam            	: गुआम
guinea          	: गिन्नी
herzegovina     	: हर्जेगोविना
hungary         	: हंगरी
india           	: इंडिया
indonesia       	: इंडोनेशिया
iran            	: ईरान
iraq            	: इराक
ireland         	: आयरलैंड
israel          	: इजराइल
italy           	: इटली
jakarta         	: जकार्ता
japan           	: जापान
kashmir         	: कश्मीर
kazakhstan      	: कजाखस्तान
kenya           	: केन्या
kuwait          	: कुवैट
laos            	: लाओस
levant          	: लेवंत
liberia         	: लाइबेरिया
libya           	: लीबिया
lombok          	: लंबोक
macedonia       	: मैसेडोनिया
malaysia        	: मलेशिया
maldives        	: मालदीव
mali            	: माली
malta           	: माल्टा
mauritius       	: मॉरीशस
mesopotamia     	: मेसोपोटामिया
moldova         	: मोलदोवा
mongolia        	: मंगोलिया
montenegro      	: मोंटेनेग्रो
myanmar         	: म्यांमार
nepal           	: नेपाल
nigeria         	: नाइजीरिया में
north_africa    	: उत्तर अफ्रीका
north_korea     	: उत्तर कोरिया
north_philippines 	: उत्तर फिलीपींस
norway          	: नॉर्वे
pakistan        	: पाकिस्तान
peru            	: पेरू
philippines     	: फिलीपींस
poland          	: पोलैंड
rumania         	: रूमानिया
russia          	: रूस
salvador        	: साल्वाडोर
scotland        	: स्कॉटलैंड
serbia          	: सर्बिया
sierra_leone    	: सियरा लिओन
singapore       	: सिंगापुर
slovenia        	: स्लोवेनिया
somalia         	: सोमालिया
south_korea     	: दक्षिण कोरिया
sri_lanka       	: श्री लंका
sudan           	: सूडान
sumatra         	: सुमात्रा
sweden          	: स्वीडन
syria           	: सीरिया
taiwan          	: ताइवान
tanzania        	: तंजानिया
thailand        	: थाईलैंड
tibet           	: तिब्बत
turkey          	: तुर्की
uganda          	: युगांडा
ukraine         	: यूक्रेन
usa             	: अमेरीका
vietnam         	: वियतनाम
wales           	: वेल्स 

