popular	: सबसे लोकप्रिय वर्ण
new-year-and-christmas-symbols	: क्रिसमस और न्यू यॉर्क में
olympic-symbols	: ओलंपिक शुभंकर
chess-symbols	: शतरंज
hearts-symbols	: दिल प्रतीक
signs-of-the-zodiac	: राशि चक्र के संकेत
suits-of-the-cards	: पत्ते
currency-symbols	: मुद्रा प्रतीक
office-accessory-symbols	: कार्यालय
arrows-symbols	: तीर लोगो
quotation-marks	: उद्धरण चिह्नों
special-symbols	: विशेष
sea-symbols	: समुद्र
music-symbols	: संगीत
flowers-symbols	: फूल
greek-symbols	: यूनानी
social-symbols	: फेसबुक के लिए साइन अप
esperanto	: एस्पेरांतो
animals	: पशु
valentine	: वेलेंटाइन का दिन
stars-symbols	: स्टार
Roman-numerals	: रोमन अंकों
nickname-symbols	: उपनाम
crosses	: ऊपर
symbols-vk	: फेसबुक के लिए सरल प्रतीक
punctuation-marks	: विराम चिह्न 
