title: सुंदर सिरिलिक पत्र
list_title: सुंदर सिरिलिक पत्र

square: चुकता लैटिन राजधानी पत्र
old-english: पुरानी शैली अंग्रेजी वर्णमाला
runic: रूनिक शैली अंग्रेजी वर्णमाला
cyrillic: सिरिलिक
la: पत्र А
lb: पत्र Б
lv: पत्र В
lg: पत्र Г
ld: पत्र Д
le: पत्र Е
lzh: पत्र Ж
lz: पत्र З
li: पत्र И
ly: पत्र Й
lk: पत्र К
ll: पत्र Л
lm: पत्र М
ln: पत्र Н
lo: पत्र О
lp: पत्र П
lr: पत्र Р
ls: पत्र С
lt: पत्र Т
lu: पत्र У
lf: पत्र Ф
lh: पत्र Х
lc: पत्र Ц
lch: पत्र Ч
lsh: पत्र Ш
lsch: पत्र Щ
ltvzn: पत्र Ъ
lyy: पत्र Ы
lmzn: पत्र Ь
lye: पत्र Э
lyu: पत्र Ю
lya: पत्र Я
latin: लैटिन
circle: लैटिन राजधानी के अक्षरों का चक्कर लगाया
lla: पत्र A
llb: पत्र B
llc: पत्र C
lld: पत्र D
lle: पत्र E
llf: पत्र F
llg: पत्र G
llh: पत्र H
lli: पत्र I
llj: पत्र J
llk: पत्र K
lll: पत्र L
llm: पत्र M
lln: पत्र N
llo: पत्र O
llp: पत्र P
llr: पत्र R
lls: पत्र S
llt: पत्र T
llu: पत्र U
llv: पत्र V
llw: पत्र W
llx: पत्र X
lly: पत्र Y
llz: पत्र Z
