up	: ऊपर
range	: रेंज
loading	: लोड हो रहा है, कृपया प्रतीक्षा करें...
count	: वर्णों की संख्या
sort-order	: हुक्म से
sort-block	: ब्लॉक
copy-clipboard	: क्लिपबोर्ड पर कॉपी करें
help-range	: सीमा पर प्रकाश डाला के लिए क्लिक करें
more	: अधिक
prev	: पिछला
next	: आगामी
separate-page	: अलग पेज में खोलें
share-link	: दोस्तों के साथ बांटें
recent	: हाल का
recent-text	: यहां हाल ही में प्रयुक्त प्रतीकों को प्रदर्शित करेगा। अब तक, लोकप्रिय प्रतीकों को देखने
read-more	: अधिक पढ़ें
read-less	: छिपाना
madeby	: द्वारा निर्मित
keepupdates	: हमारा अनुसरण करो
hint	: का चयन करें और चरित्र की नकल आप की जरूरत है
	
[mobile]	
to-full	: पूर्ण संस्करण के लिए जाना
to-mobile	: मोबाइल वर्शन
	
[edit]	: संपादित करें
save	: बचाना
submit	: जमा करें
undo	: पूर्ववत करें
send-changes	: आपके परिवर्तन वेबसाइट डेवलपर्स के लिए भेज दिया जाएगा। क्या आपको यकीन है?
thanks	: धन्यवाद!
