about :	के बारे में
not-language	: मेरी भाषा कहां है?
popular	: सबसे लोकप्रिय वर्ण
ny-symbols	: क्रिसमस और न्यूयॉर्क प्रतीकों
feedback	: प्रतिक्रिया
github	: GitHub
twitter	: ट्विटर
join-us	: मैं शामिल होना चाहता हुँ
donate	: कैसे दान करने के लिए
broken	: प्रदर्शित नहीं कुछ पात्रों
cyrillic	: सिरिलिक
fonts	: फोंट्स
alphabets	: अक्षर
	
[unicode]	: यूनिकोड®
about	: यूनिकोड के बारे में
history	: यूनिकोड इतिहास
versions	: यूनिकोड संस्करणों
copyright	: यूनिकोड संयुक्त राज्य अमेरिका और अन्य देशों में यूनिकोड, इंक का एक पंजीकृत ट्रेडमार्क है। इस साइट के साथ जुड़े या समर्थन या यूनिकोड, इंक (उर्फ यूनिकोड कंसोर्टियम) द्वारा प्रायोजित किसी भी तरह से नहीं है। आधिकारिक यूनिकोड वेबसाइट के लिए, कृपया पर जाएँ 

