: उपकरण

[encoder]	: एनकोडर
	
desc	: एचटीएमएल कोड और पीठ में पात्रों को कूटबद्ध
plain	: सादे पाठ
full	: पूर्ण
text	: टेक्स्ट
entities	: संस्थाओं के साथ पात्रों को कूटबद्ध
br	: पर विचार करने के लिए लाइन टूट जाता है
	
[decoder]	: डिकोडर
	
desc	: यूनिकोड में पात्रों को कूटबद्ध या वापस डीकोड
example	: यह एक उदाहरण है
code	: यूनिकोड
text	: टेक्स्ट
	
[flip]	: फ्लिप
	
desc	: सिरिलिक और लैटिन वर्णों फ्लिप उल्टा या पीछे की ओर
plain	: सादे पाठ
flipped	: उल्टे पाठ
backed	: वापस सामने पाठ करने के लिए
	
[generator]	: यूनिकोड चरित्र तालिका जनरेटर
	
desc	: एक निर्धारित सीमा में पात्रों में से एक सेट उत्पन्न
range	: रेंज
format	: प्रारूप
info	: उपलब्ध
generate	: उत्पन्न : {symbol}, {dec}, {hex}, {html}
result	: परिणाम 
