abkhazia        : Abkhazia
afghanistan     : Afghanistan
algeria         : Algeria
armenia         : Armenia
australia       : Australia
azerbaijan      : Azerbaijan
bahrain         : Bahrain
bali            : Bali
bangladesh      : Bangladesh
bosnia          : Bosnia
bulgaria        : Bulgaria
burma           : Burma
butane          : Butane
cambodia        : Cambodia
cameroon        : Cameroon
canada          : Canada
china           : China
croatia         : Croatia
egypt           : Egypt
england         : England
eritrea         : Eritrea
estland         : Estland
ethiopia        : Ethiopia
fiji_islands    : Fiji Islands
finland         : Finland
france          : France
georgia         : Georgia
germany         : Germany
goa             : Goa
greece          : Greece
guam            : Guam
guinea          : Guinea
herzegovina     : Herzegovina
hungary         : Hungary
india           : India
indonesia       : Indonesia
iran            : Iran
iraq            : Iraq
ireland         : Ireland
israel          : Israel
italy           : Italy
jakarta         : Jakarta
japan           : Japan
kashmir         : Kashmir
kazakhstan      : Kazakhstan
kenya           : Kenya
kuwait          : Kuwait
laos            : Laos
levant          : Levant
liberia         : Liberia
libya           : Libya
lombok          : Lombok
macedonia       : Macedonia
malaysia        : Malaysia
maldives        : Maldives
mali            : Mali
malta           : Malta
mauritius       : Mauritius
mesopotamia     : Mesopotamia
moldova         : Moldova
mongolia        : Mongolia
montenegro      : Montenegro
myanmar         : Myanmar
nepal           : Nepal
nigeria         : Nigeria
north_africa    : North Africa
north_korea     : North Korea
north_philippines : North Philippines
norway          : Norway
pakistan        : Pakistan
peru            : Peru
philippines     : Philippines
poland          : Poland
rumania         : Rumania
russia          : Russia
salvador        : Salvador
scotland        : Scotland
serbia          : Serbia
sierra_leone    : Sierra-Leone
singapore       : Singapore
slovenia        : Slovenia
somalia         : Somalia
south_korea     : South Korea
sri_lanka       : Sri-Lanka
sudan           : Sudan
sumatra         : Sumatra
sweden          : Sweden
syria           : Syria
taiwan          : Taiwan
tanzania        : Tanzania
thailand        : Thailand
tibet           : Tibet
turkey          : Turkey
uganda          : Uganda
ukraine         : Ukraine
usa             : USA
vietnam         : Vietnam
wales           : Wales
