abkhazia        : Abkhazia
afghanistan     : Afganisztáni
algeria         : Algér
armenia         : Örmény
australia       : Ausztrál
azerbaijan      : Azerbajdzsáni
bahrain         : Bahraini
bali            : Bali
bangladesh      : Bangladeshi
bosnia          : Bosnyák
bulgaria        : Bulgár
burma           : Burmai
butane          : Butáni
cambodia        : Cambódiai
cameroon        : Cameruni
canada          : Kanadai
china           : Kínai
croatia         : Horvát
egypt           : Egyiptomi
england         : Angol (Egyesült Királyság)
eritrea         : Eritrea
estland         : Észt
ethiopia        : Etióp
fiji_islands    : Fiji-Szigeteki
finland         : Finn
france          : Francia
georgia         : Georgia
germany         : Német
goa             : Goai
greece          : Görög
guam            : Guami
guinea          : Guinea
herzegovina     : Herzegovina
hungary         : Magyar
india           : Indiai
indonesia       : Indonesia
iran            : Iráni
iraq            : Iraki
ireland         : Ír
israel          : Izraeli
italy           : Olasz
jakarta         : Jakarta
japan           : Japán
kashmir         : Kashmir
kazakhstan      : Kazakhstan
kenya           : Kenya
kuwait          : Kuwait
laos            : Laos
levant          : Levant
liberia         : Liberia
libya           : Libya
lombok          : Lombok
macedonia       : Macedonia
malaysia        : Malaysia
maldives        : Maldives
mali            : Mali
malta           : Máltai
mauritius       : Maurítiuszi
mesopotamia     : Mezopotám
moldova         : Moldovai
mongolia        : Mongol
montenegro      : Montenegro
myanmar         : Myanmar
nepal           : Nepal
nigeria         : Nigeria
north_africa    : Észak-Afrikai
north_korea     : Észak-Kóreai
north_philippines : Észak-Philippi
norway          : Norvég
pakistan        : Pakisztán
peru            : Peru
philippines     : Philippi
poland          : Poland
rumania         : Román
russia          : Orosz
salvador        : Salvador
scotland        : Skót
serbia          : Szerb
sierra_leone    : Sierra-Leone
singapore       : Szingapúri
slovenia        : Szlovén
somalia         : Szomál
south_korea     : Dél-Korea
sri_lanka       : Sri-Lanka
sudan           : Szudán
sumatra         : Sumatra
sweden          : Sweden
syria           : Syria
taiwan          : Taiwan
tanzania        : Tanzania
thailand        : Thailand
tibet           : Tibet
turkey          : Turkey
uganda          : Uganda
ukraine         : Ukraine
usa             : USA
vietnam         : Vietnam
wales           : Wales
