title: Gyönyörű cirill betűkkel
list_title: Gyönyörű cirill betűkkel

square: Négyzetű latin nagybetűk
old-english: Régi stílusú angol ábécé
runic: Rúna stílusú angol ábécé
cyrillic: Cirill
la: Levél А
lb: Levél Б
lv: Levél В
lg: Levél Г
ld: Levél Д
le: Levél Е
lzh: Levél Ж
lz: Levél З
li: Levél И
ly: Levél Й
lk: Levél К
ll: Levél Л
lm: Levél М
ln: Levél Н
lo: Levél О
lp: Levél П
lr: Levél Р
ls: Levél С
lt: Levél Т
lu: Levél У
lf: Levél Ф
lh: Levél Х
lc: Levél Ц
lch: Levél Ч
lsh: Levél Ш
lsch: Levél Щ
ltvzn: Levél Ъ
lyy: Levél Ы
lmzn: Levél Ь
lye: Levél Э
lyu: Levél Ю
lya: Levél Я
latin: Latin
circle: Körözött latin nagybetűkkel
lla: Levél A
llb: Levél B
llc: Levél C
lld: Levél D
lle: Levél E
llf: Levél F
llg: Levél G
llh: Levél H
lli: Levél I
llj: Levél J
llk: Levél K
lll: Levél L
llm: Levél M
lln: Levél N
llo: Levél O
llp: Levél P
llr: Levél R
lls: Levél S
llt: Levél T
llu: Levél U
llv: Levél V
llw: Levél W
llx: Levél X
lly: Levél Y
llz: Levél Z
