arab	: Arabo
	
armenian	: Armeno
	
avestan	: Avestico
	
balinese	: Balinese
	
bamum	: Bamum
	
bashkir	: Bashkir
	
bassa-vah	: Bassa-vah
	
batak	: Batak
	
belarusian	: Bielorusso
	
bengali	: Bengalese
	
bopomofo	: Bopomofo. Zhuyin
	
brahmi	: Brahmi
	
buginese	: Buginese
	
buhid	: Buhid
	
bulgarian	: Bulgaro
	
carian	: Carian
	
caucasian-albanian	: Caucasica albanese
	
chakma	: Chakma
	
cham	: Cham
	
cherokee	: Cherokee
	
chinese	: Cinese pinyin
	
coptic	: Copto
	
cypriot-syllabary	: Cipriota sillabario
	
cyrillic	: Cirillico
	
czech	: Ceco
	
deseret	: Deseret
	
devanagari	: Devanagari
	
elbasan	: Elbasan
	
english	: Inglese
	
esperanto	: Esperanto
	
ethiopic	: Etiopica ge'ez
	
french	: Francese
	
georgian	: Georgiano
	
german	: Tedesco
	
glagolitic	: Glagolitico
	
gothic	: Gotico
	
grantha	: Grantha
	
greek	: Greco
	
gujarati	: Gujarati
	
gurmukhi	: Gurmukhi
	
hangul	: Hangul
	
hanunoo	: Hanunoo
	
hebrew	: Ebraico
	
hungarian	: Ungherese
	
imperial-aramaic	: Imperiale aramaico
	
international-phonetic-alphabet	: Fonetico internazionale
	
italian	: Italiano
	
japanese-hiragana	: Hiragana giapponese
	
japanese-katakana	: Katakana giapponese
	
javanese	: Giavanese
	
kaithi	: Kaithi
	
kannada	: Kannada
	
kayah-li	: Kayah li
	
kazakh	: Qazaqsa
	
kharoshthi	: Kharoshthi
	
khmer	: Khmer
	
khojki	: Khojki
	
khudawadi	: Khudawadi
	
lao	: Lao
	
latin	: latino
	
lepcha	: Lepcha
	
limbu	: Limbu
	
linear-b-Syllabary	: Lineare B sillabario
	
lisu	: Lisu
	
lycian	: Licia
	
lydian	: Lydian
	
nabataean	: Nabateo
	
mahajani	: Mahajani
	
malayalam	: Malayalam
	
mandaic	: Mandaico
	
manichaean	: Manicheo
	
meetei-mayek	: Meetei Mayek
	
mende-kikakui	: Mende kikakui
	
meroitic-cursive	: Meroitico corsivo
	
modi	: Modi
	
mongolian	: Mongolo
	
mro	: Mro
	
myanmar	: Myanmar
	
new-tai-lue	: Nuovo tai lue
	
nko	: Nko
	
ogham	: Ngham
	
ol-chiki	: Ol chiki
	
old-italic	: Etrusco vecchio corsivo
	
old-north-arabian	: Arabo nord vecchio
	
old-permic	: Permic vecchio
	
old-persian	: persiano vecchio
	
old-south-arabian	: Arabo sud Vecchio
	
old-turkic	: Turca runico vecchio
	
oriya	: Oriya
	
osmanya	: Osmanya
	
pahawh-hmong	: Pahawh Hmong
	
pahlavi	: Pahlavi
	
palmyrene	: Palmireno
	
pau-cin-hau	: Pau cin Hau
	
phags-pa	: Phags-pa
	
phoenician	: Fenicio
	
polish	: Polacco
	
pollard	: Pollard
	
rejang	: Rejang
	
runic	: Runico
	
russian	: Russo
	
samaritan	: Samaritano
	
saurashtra	: Saurashtra
	
sharada	: Sharada
	
shavian	: Shavian
	
siddham	: Siddham
	
sinhala	: Singalese
	
sora-sompeng	: Sora Sompeng
	
spanish	: Spagnolo
	
sundanese	: Sudanese

swedish	: Svedese
	
syloti-nagri	: syloti nagri carattere
	
syriac	: Siriaco
	
tagalog	: Tagalog
	
tagbanwa	: Tagbanwa
	
tai-le	: Tai Le
	
tai-tham	: Tai Tham
	
tai-viet	: Tai viet
	
takri	: Takri
	
tamil	: Tamil
	
tatar	: Tatar
	
telugu	: Telugu
	
thaana	: Thaana
	
thai	: Tailandese
	
tibetan	: Tibetano
	
tifinagh	: Tifinagh
	
tirhuta	: Tirhuta
	
turkish	: Turco
	
ugaritic	: Ugaritico
	
ukrainian	: Ucraino
	
unified-canadian-aboriginal-syllabics	: Canadese aborigena unified sillabario
	
vai	: Vai sillabario
	
varang-kshiti	: Varang kshiti
	
yi-syllables	: Yi sillabario
