abkhazian       	: abkhazo
ainu            	: ainu
arabic          	: arabo
armenian        	: armeno
amharic         	: amarico
balinese        	: balinese
bamum           	: bamum
batak           	: batak
bengali         	: bengalese
buhid           	: buhid
buginese        	: buginese
bulgarian       	: bulgaro
burmese         	: birmano
celtic          	: celtico
cham            	: cham
cherokee        	: cherokee
chinese         	: cinese
cia-cia         	: cia-cia
coptic          	: copta
cree            	: cree
croatian        	: croato
dravidian       	: dravidica
ethiopian-semitic 	: ethiopian semitic
english         	: inglese
french          	: francese
georgian        	: georgiano
german          	: Tedesco
greek           	: greco
hanunoo         	: hanunoo
hebrew          	: ebraico
hindi           	: hindi
hungarian       	: ungherese
italian         	: italiano
indian          	: indiano
japanese        	: giapponese
javanese        	: giavanese
kayah           	: kayah
khmer           	: khmer
komi            	: komi
korean          	: coreano
kurd            	: curdo
laotian         	: laotian
lepcha          	: lepcha
limbu           	: limbu
lisu            	: lisu
makassarese     	: makassarese
maldivian       	: maldive
maltese         	: maltese
mandaic         	: mandaica
mandar          	: mandar
marathi         	: marathi
mongolian       	: mongolo
nko             	: nko
okinawan        	: okinawa
old-church-slavic 	: vecchio slavo chiesa
old-italic      	: vecchio corsivo
oriya           	: oriya
palauan         	: Palauan
palaun          	: palaun
pali            	: pali
polish          	: polacco
punjabi         	: punjabi
persian         	: persiano
pictish         	: Pictish
primitive-irish 	: primitivo irlandese
rejang          	: rejang
runic           	: runica
russian         	: russo
sanskrit        	: sanscrito
santali         	: santali
sami            	: sami
sasak           	: sasak
saurashtra      	: Saurashtra
sinhalese       	: singalese
slovenian       	: sloveno
sundanese       	: sudanese
sylheti         	: sylheti
syrian          	: siriana
tagalog         	: tagalog
tamil           	: tamil
telugu          	: telugu
thai            	: tailandese
tibetan         	: tibetano
tigtinya        	: tigtinya
tuareg          	: tuareg
turkish         	: turco
ukrainian       	: ucraino
uyghur          	: uyghur
vai             	: vai
vietnamese      	: vietnamita
yi              	: yi
yiddish         	: yiddish 

