popular	: Più simboli popolari
new-year-and-christmas-symbols	: Simboli di Natale e Capodanno
stars-symbols	: Simboli stars
olympic-symbols	: Simboli olimpici
emoji	: Emoji
chess-symbols	: Simboli di scacchi
hearts-symbols	: Simboli del cuore
signs-of-the-zodiac	: Segni dello zodiaco
suits-of-the-cards	: Semi delle carte
currency-symbols	: Simboli di valuta
office-accessory-symbols	: Simboli Articoli da ufficio
arrows-symbols	: Simbolo della freccia
quotation-marks	: Virgolette
special-symbols	: Simboli speciali
sea-symbols	: Marini simboli
music-symbols	: Simboli musicali
flowers-symbols	: Simboli di fiori
greek-symbols	: Simboli greci
social-symbols	: Simboli per Facebook
esperanto	: Esperanto
animals	: Animali
valentine	: San Valentino
planets	: Pianeti
Roman-numerals	: Numeri romani
nickname-symbols	: Simboli soprannome
crosses	: Croci
symbols-vk	: Simboli per Facebook facilmente
punctuation-marks	: Segni di punteggiatura
