A000: Yi, Sillaba
A001: Yi, sillaba Ix
A002: Yi, sillaba I
A003: Yi, sillaba Ip
A004: Yi, sillaba Iet
A005: Yi, sillaba Iex
A006: Yi, sillaba Ie
A007: Yi, sillaba Iep
A008: Yi sillaba At
A009: Yi Sillaba Ax
A00A: Yi, sillaba A
A00B: Yi, sillaba Ap
A00C: Yi Sillaba Uox
A00D: Yi Sillaba Uo
A00E: Yi, sillaba Uop
A00F: Yi, sillaba Ot
A010: Yi Sillabo Bue
A011: Yi Sillaba O
A012: Yi, sillaba Op
A013: Yi, sillaba Ex
A014: Yi, sillaba E
A015: Yi, sillaba Wu
A016: Yi, sillaba Bit
A017: Yi, sillaba Bix
A018: Yi, sillaba Bi
A019: Yi Syllable Bip
A01A: Yi, sillaba Biet
A01B: Yi, sillaba Biex
A01C: Yi Sillaba Bie
A01D: Yi, sillaba Biep
A01E: Yi, sillaba Bat
A01F: Yi, sillaba Bax
A020: Yi, sillaba Ba
A021: Yi Sillaba Bap
A022: Yi, sillaba Buox
A023: Yi, sillaba Buo
A024: Yi, sillaba Buop
A025: Yi, sillaba Bot
A026: Yi, sillaba
A027: Yi, sillaba Bo
A028: Yi, sillaba Bop
A029: Yi Syllable Bex
A02A: Yi, sillaba Be
A02B: Yi, sillaba Bep
A02C: Yi, sillaba Ma
A02D: Yi sillaba Bux
A02E: Yi, sillaba Bu
A02F: Yi, sillaba Bup
A030: Yi, sillaba Burx
A031: Yi, sillaba Bur
A032: Yi, sillaba Byt
A033: Yi sillaba Byx
A034: Yi sillaba di
A035: Yi Syllable Byp
A036: Yi, sillaba Byrx
A037: Yi, sillaba Byr
A038: Yi, sillaba Pit
A039: Yi sillaba Pix
A03A: Yi, sillaba Pi
A03B: Yi, sillaba Pip
A03C: Yi, sillaba Piex
A03D: Yi Sillaba Pie
A03E: Yi Syllable Piep
A03F: Yi, sillaba Pat
A040: Yi, sillaba Pax
A041: Yi, sillaba Pa
A042: Yi, sillaba Pap
A043: Yi sillaba Puox
A044: Yi, sillaba Puo
A045: Yi, sillaba Puop
A046: Yi, sillaba Pot
A047: Yi sillaba Pox
A048: Yi, sillaba Po
A049: Yi, sillaba Pop
A04A: Yi, sillaba Put
A04B: Yi Syllable Pux
A04C: Yi, sillaba Pu
A04D: Yi, sillaba Pup
A04E: Yi sillaba Purx
A04F: Yi, sillaba Pur
A050: Yi, sillaba Pyt
A051: Yi, sillaba Pyx
A052: Yi, sillaba Py
A053: Yi Syllable Pyp
A054: Yi, sillaba Pyrx
A055: Yi, sillaba Pyr
A056: Yi Syllable Bbit
A057: Yi, sillaba Bbix
A058: Yi, sillaba Bbi
A059: Yi, sillaba Bbip
A05A: Yi, sillaba Bbiet
A05B: Yi, sillaba Bbiex
A05C: Yi, sillaba Bbie
A05D: Yi, sillaba Bbiep
A05E: Yi, sillaba Bbat
A05F: Yi, sillaba Bbax
A060: Yi, sillaba Bba
A061: Yi, sillaba Bbap
A062: Yi, sillaba Bbuox
A063: Yi, sillaba Bbuo
A064: Yi, sillaba Bbuop
A065: Yi, sillaba Bbot
A066: Yi, sillaba Bbox
A067: Yi, sillaba Bbo
A068: Yi, sillaba Bbop
A069: Yi, sillaba Bbex
A06A: Yi, sillaba Bbe
A06B: Yi, sillaba Bbep
A06C: Yi, sillaba Bbut
A06D: Yi, sillaba Bbux
A06E: Yi, sillaba Bbu
A06F: Yi, sillaba Bbup
A070: Yi, sillaba Bburx
A071: Yi, sillaba Bbur
A072: Yi, sillaba Bbyt
A073: Yi, sillaba Bbyx
A074: Yi, sillaba Bby
A075: Yi, sillaba Bbyp
A076: Yi sillaba Nbit
A077: Yi, sillaba Nbix
A078: Yi, sillaba Nbi
A079: Yi, sillaba Nbip
A07A: Yi, sillaba Nbiex
A07B: Yi, sillaba Nbie
A07C: Yi, sillaba Nbiep
A07D: Yi, sillaba Nbat
A07E: Yi, sillaba Nbax
A07F: Yi, sillaba Nba
A080: Yi, sillaba Nbap
A081: Yi, sillaba Nbot
A082: Yi, sillaba Nbox
A083: Yi, sillaba Nbo
A084: Yi, sillaba Nbop
A085: Yi, sillaba Nbut
A086: Yi, sillaba Nbux
A087: Yi, sillaba Nbu
A088: Yi, sillaba Nbup
A089: Yi, sillaba Nburx
A08A: Yi, sillaba Nbur
A08B: Yi, sillaba Nbyt
A08C: Yi, sillaba Nbyx
A08D: Yi, sillaba Nby
A08E: Yi, sillaba Nbyp
A08F: Yi, sillaba Nbyrx
A090: Yi, sillaba Nbyr
A091: Yi, sillaba Hmit
A092: Yi, sillaba Hmix
A093: Yi, sillaba Hmi
A094: Yi, sillaba Hmip
A095: Yi, sillaba Hmiex
A096: Yi, sillaba Hmie
A097: Yi, sillaba Hmiep
A098: Yi, sillaba Hmat
A099: Yi, sillaba Hmax
A09A: Yi, sillaba Hma
A09B: Yi sillaba Hmap
A09C: Yi, sillaba Hmuox
A09D: Yi, sillaba Hmuo
A09E: Yi, sillaba Hmuop
A09F: Yi, sillaba Hmot
A0A0: Yi, sillaba Hmox
A0A1: Yi Sillaba Hmo
A0A2: Yi, sillaba Hmop
A0A3: Yi, sillaba Hmut
A0A4: Yi, sillaba Hmux
A0A5: Yi, sillaba Hmu
A0A6: Yi, sillaba Hmup
A0A7: Yi, sillaba Hmurx
A0A8: Yi, sillaba Hmur
A0A9: Yi, sillaba Hmyx
A0AA: Yi, sillaba Hmy
A0AB: Yi, sillaba Hmyp
A0AC: Yi, sillaba Hmyrx
A0AD: Yi, sillaba Hmyr
A0AE: Yi, sillaba Mit
A0AF: Yi Sillaba Mix
A0B0: Yi, sillaba Mi
A0B1: Yi Syllable Mip
A0B2: Yi, sillaba Miex
A0B3: Yi, sillaba Mie
A0B4: Yi, sillaba Miep
A0B5: Yi, sillaba Mat
A0B6: Yi, sillaba Max
A0B7: Yi, sillaba Ma
A0B8: Yi sillaba mappa
A0B9: Yi, sillaba Muot
A0BA: Yi, sillaba Muox
A0BB: Yi, sillaba Muo
A0BC: Yi, sillaba Muop
A0BD: Yi, sillaba Mot
A0BE: Yi sillaba Mox
A0BF: Yi, sillaba Mo
A0C0: Yi Syllable Mop
A0C1: Yi, sillaba Mex
A0C2: Yi Sillaba Me
A0C3: Yi, sillaba Mut
A0C4: Yi Syllable Mux
A0C5: Yi, sillaba Mu
A0C6: Yi Syllable Mup
A0C7: Yi, sillaba Murx
A0C8: Yi, sillaba Mur
A0C9: Yi Syllable Myt
A0CA: Yi, sillaba Myx
A0CB: Yi, sillaba My
A0CC: Yi, sillaba Myp
