arab	: アラビア語アルファベット
	
armenian	: アルメニアアルファベット
	
avestan	: アベスタンのアルファベット
	
balinese	: バリのアルファベット
	
bamum	: バウム・アルファベット
	
bashkir	: バシキールアルファベット
	
bassa-vah	: バッサーヴァアルファベット
	
batak	: バタックアルファベット
	
belarusian	: ベラルーシ語アルファベット
	
bengali	: ベンガル語アルファベット
	
bopomofo	: 注音字母（注音符号）
	
brahmi	: ブラミミアルファベット
	
buginese	: ブギ語アルファベット
	
buhid	: ブヒッド文字
	
bulgarian	: ブルガリアアルファベット
	
carian	: カリアンのアルファベット
	
caucasian-albanian	: 白人アルバニアのアルファベット
	
chakma	: チャクマアルファベット
	
cham	: チャムアルファベット
	
cherokee	: チェロキーアルファベット
	
chinese	: 中国語ピンインアルファベット
	
coptic	: コプティックアルファベット
	
cypriot-syllabary	: キプロスの音節
	
cyrillic	: キリル文字
	
czech	: チェコ語アルファベット
	
deseret	: Deseretアルファベット
	
devanagari	: デファナガリアルファベット
	
elbasan	: エルバサンのアルファベット
	
english	: 英語アルファベット
	
esperanto	: エスペラントアルファベット
	
ethiopic	: エチオピアGe'ezアルファベット
	
french	: フランス語アルファベット
	
georgian	: グルジアのアルファベット
	
german	: ドイツ語アルファベット
	
glagolitic	: グラガリットアルファベット
	
gothic	: ゴシックアルファベット
	
grantha	: グランサアルファベット
	
greek	: ギリシャ語アルファベット
	
gujarati	: グジャラート語アルファベット
	
gurmukhi	: グルムキーアルファベット
	
hangul	: ハングルアルファベット
	
hanunoo	: ハヌヌーアルファベット
	
hebrew	: ヘブライ文字
	
hungarian	: ハンガリー語アルファベット
	
imperial-aramaic	: 皇帝のアラム語アルファベット
	
international-phonetic-alphabet	: 国際発音記号
	
italian	: イタリア語アルファベット
	
japanese-hiragana	: 日本語ひらがなアルファベット
	
japanese-katakana	: 日本語カタカナアルファベット
	
javanese	: ジャワのアルファベット
	
kaithi	: カイティアルファベット
	
kannada	: カンナダアルファベット
	
kayah-li	: カヤー文字
	
kazakh	: カザフ語アルファベット
	
kharoshthi	: カロシティアルファベット
	
khmer	: クメールアルファベット
	
khojki	: コジキアルファベット
	
khudawadi	: クダワディアルファベット
	
lao	: ラオ語アルファベット
	
latin	: ラテンアルファベット
	
lepcha	: Lepchaアルファベット
	
limbu	: リムブレアルファベット
	
linear-b-Syllabary	: リニアB音節
	
lisu	: Lisuアルファベット
	
lycian	: リシアンアルファベット
	
lydian	: リディアンアルファベット
	
nabataean	: ナバタリアンアルファベット
	
mahajani	: マハジャニアルファベット
	
malayalam	: マラヤラムのアルファベット
	
mandaic	: マンダのアルファベット
	
manichaean	: マニカイアのアルファベット
	
meetei-mayek	: マニプリ文字アルファベット
	
mende-kikakui	: メンデキカクイアルファベット
	
meroitic-cursive	: メロエイト筆記体アルファベット
	
modi	: モディアルファベット
	
mongolian	: モンゴルアルファベット
	
mro	: モロッコアルファベット
	
myanmar	: ミャンマーアルファベット
	
new-tai-lue	: 新しいタイ文字のアルファベット
	
nko	: 仁子アルファベット
	
ogham	: ナガムアルファベット
	
ol-chiki	: オルチキアルファベット
	
old-italic	: 古いイタリックエトルリアアルファベット
	
old-north-arabian	: 旧北部アルファベット
	
old-permic	: 古いpermicアルファベット
	
old-persian	: 旧ペルシア語アルファベット
	
old-south-arabian	: 古い南アラビア人のアルファベット
	
old-turkic	: 古代トルコ文字のアルファベット
	
oriya	: オリヤアルファベット
	
osmanya	: オスマンヤアルファベット
	
pahawh-hmong	: パハウア語のアルファベット
	
pahlavi	: パレルビアルファベット
	
palmyrene	: パルミチンアルファベット
	
pau-cin-hau	: ポー・シン・ニュー・アルファベット
	
phags-pa	: Phags-paアルファベット
	
phoenician	: フェニシアのアルファベット
	
polish	: ポーランドのアルファベット
	
pollard	: ポーランドのアルファベット
	
rejang	: レジャンアルファベット
	
runic	: ルニックアルファベット
	
russian	: ロシア 語 アルファベット
	
samaritan	: サマリアのアルファベット
	
saurashtra	: サラシュトラアルファベット
	
sharada	: シャラダアルファベット
	
shavian	: シャビアンアルファベット
	
siddham	: シドハムアルファベット
	
sinhala	: シンハラアルファベット
	
sora-sompeng	: ソラ・ムンペング・アルファベット
	
spanish	: スペイン語のアルファベット
	
sundanese	: スンダ語アルファベット
	
syloti-nagri	: シロティ・ナグリ文字アルファベット
	
syriac	: シリアのアルファベット
	
tagalog	: タガログ語アルファベット
	
tagbanwa	: タグバヌア文字のアルファベット
	
tai-le	: タイのアルファベット
	
tai-tham	: 太鼓のアルファベット
	
tai-viet	: タイベイトアルファベット
	
takri	: タクリアルファベット
	
tamil	: タミル語アルファベット
	
tatar	: タタールアルファベット
	
telugu	: テルグ語アルファベット
	
thaana	: タワナアルファベット
	
thai	: タイアルファベット
	
tibetan	: チベットのアルファベット
	
tifinagh	: ティフナグ文字アルファベット
	
tirhuta	: ティルタアルファベット
	
turkish	: トルコ語アルファベット
	
ugaritic	: ウガニア語アルファベット
	
ukrainian	: ウクライナ語アルファベット
	
unified-canadian-aboriginal-syllabics	: 統一されたカナダ原住民の音節
	
vai	: 五十音
	
varang-kshiti	: ヴァランクシティアルファベット
	
yi-syllables	: イ文字（ロロ文字）
