abkhazian       	: アブハズ語
ainu            	: 艾努言語
arabic          	: アラビア語
armenian        	: アルメニア語
amharic         	: アムハラ語
balinese        	: バリニーズ
bamum           	: バムン語
batak           	: バタク族
bengali         	: ベンガル語の言語
buhid           	: ブヒッド文字
buginese        	: ブギス語
bulgarian       	: ブルガリア語
burmese         	: ビルマ語
celtic          	: ケルトの
cham            	: チャム
cherokee        	: チェロキー
chinese         	: 中国語
cia-cia         	: チアチア語
coptic          	: コプト語
cree            	: クリー族
croatian        	: クロアチア語
dravidian       	: ドラヴィダ語族
ethiopian-semitic 	: エチオピアのセム語族
english         	: 英語
french          	: フランス語
georgian        	: ジョージアン
german          	: ドイツ語
greek           	: ギリシャ語
hanunoo         	: ハヌノオ文字言語
hebrew          	: ヘブライ語
hindi           	: ヒンディー語
italian         	: 伊語
indian          	: ヒンディー語
japanese        	: 日本の
javanese        	: ジャワ語
kayah           	: カヤー言語
khmer           	: クメール語
komi            	: コミ語
korean          	: 韓国語
kurd            	: クルド
laotian         	: ラオスの言語
lepcha          	: レプチャ語
limbu           	: リンブ
lisu            	: リス族
makassarese     	: マカサレーゼ
maldivian       	: ディベヒ語
maltese         	: マルタ語
mandaic         	: マンダ文字
mandar          	: マンダール
marathi         	: マラーティー語
mongolian       	: モンゴル語
nko             	: ンコ言語
okinawan        	: 沖縄方言
old-church-slavic 	: 古代教会スラブ語
old-italic      	: 古いイタリア
oriya           	: オリヤー語
palauan         	: パラオ
palaun          	: パルウン
pali            	: パーリ語
polish          	: ポーランド語
punjabi         	: パンジャブ語
persian         	: ペルシア語
pictish         	: ピクト人の言語
primitive-irish 	: プリミティブアイルランド
rejang          	: ル生姜言語
runic           	: ルーン文字のアルファベット
russian         	: ロシア
sanskrit        	: サンスクリット語
santali         	: サンタル語
sami            	: サミ
sasak           	: ササク
saurashtra      	: サウラーシュトラ語
sinhalese       	: シンハラ語
slovenian       	: スロベニア語
sundanese       	: スンダ語
sylheti         	: シルティ
syrian          	: シリア語
tagalog         	: タガログ語
tamil           	: タミル語
telugu          	: テルグ語
thai            	: タイの
tibetan         	: チベット語
tigtinya        	: ティグリニア語
tuareg          	: トゥアレグ語
turkish         	: トルコ語
ukrainian       	: ウクライナ語
uyghur          	: ウィグル人
vai             	: ヴァイ語
vietnamese      	: ベトナム語
yi              	: 李言語
yiddish         	: イディッシュ語 

