0200: ラテン大文字大文字aと二重墓
0201: ラテン語小文字aと二重墓
0202: ラテン大文字aと倒立Breve
0203: ラテン小文字aと反転Breve
0204: 二重墓付きラテン大文字E
0205: 二重墓付きラテン小文字E
0206: 逆さのBreveを持つラテン大文字E
0207: 逆さのBreveとラテン小文字E
0208: 二重墓付きラテン大文字I
0209: 二重墓付きラテン小文字I
020A: ラテン大文字Iと倒立Breve
020B: 逆さのBreveとラテン小文字I
020C: 二重墓付きラテン大文字O
020D: 二重墓付きラテン小文字O
020E: 逆さのBreveとラテン大文字O
020F: 逆さのBreveを持つラテン小文字O
0210: 二重墓付きラテン大文字R
0211: 二重墓付きラテン小文字R
0212: 逆さのBreveとラテン大文字R
0213: 逆さのBreveとラテン小文字R
0214: 二重墓付きラテン大文字U
0215: 二重墓付きラテン小文字U
0216: 逆さのBreveとラテン大文字U
0217: 逆さのBreveとラテン小文字U
0218: 下記のコンマ付きラテン大文字S
0219: 以下のカンマ付きラテン小文字S
021A: 以下のコンマ付きラテン大文字T
021B: 下にカンマの付いたラテン小文字T
021C: ラテン大文字Yogh
021D: ラテン小文字Yogh
021E: キャロン付きラテン大文字H
021F: キャロン付きラテン小文字H
0220: 長い右脚を持つラテン大文字N
0221: カールのあるラテン小文字D
0222: ラテン大文字Ou
0223: ラテン小文字OU
0224: フック付きラテン大文字Z
0225: フック付きラテン小文字Z
0226: ラテン大文字の大文字aとドット
0227: 上にドットがあるラテン小文字A
0228: Cedilla付きラテン大文字E
0229: セディーユ付きラテン小文字E
022A: 分音記号とマクロンを使用したラテン大文字O
022B: 分音記号とマクロンを使用したラテン小文字O
022C: TildeとMacronのラテン大文字O
022D: TildeとMacronのラテン小文字O
022E: ドットが上のラテン大文字O
022F: ドットが上のラテン小文字O
0230: 上のドットとマクロンを使用したラテン大文字O
0231: 上のドットとマクロンを使用したラテン小文字O
0232: マクロン付きラテン大文字Y
0233: マクロン付きラテン小文字Y
0234: カールのあるラテン小文字L
0235: カール付きラテン小文字N
0236: カール付きラテン小文字T
0237: ラテン小文字Dotless J
0238: ラテン小文字Dbダイグラフ
0239: ラテン小文字Qpダイグラフ
023A: ラテン大文字aとストローク
023B: ストローク付きラテン大文字C
023C: ストローク付きラテン小文字C
023D: ラテン大文字L（バー付き）
023E: 斜めのストロークでラテン大文字T
023F: スワッシュテール付きラテン小文字S
0240: スワッシュテール付きラテン小文字Z
0241: ラテン大文字声門声門停止
0242: ラテン小文字声門停止
0243: ストローク付きラテン大文字B（ビットコイン）
0244: ラテン大文字Uバー
0245: ラテン大文字がVになった
0246: ストローク付きラテン大文字E
0247: ストローク付きラテン小文字E
0248: ストローク付きラテン大文字J
0249: ストローク付きラテン小文字J
024A: フックテール付きラテン大文字小Q
024B: フックテール付きラテン小文字Q
024C: ストローク付きラテン大文字R
024D: ストローク付きラテン小文字R
024E: ストローク付きラテン大文字Y
024F: ストローク付きラテン小文字Y
0250: ラテン小文字A
0251: ラテン小文字アルファベット : ラテン小文字スクリプトa
0252: ラテン小文字がアルファを回した
0253: フック付きラテン小文字B
0254: ラテン小文字オープンO
0255: カール付きラテン小文字C
0256: 尾を持つラテン小文字D : Dレトロフレックスフック
0257: フック付きラテン小文字D
0258: ラテン小文字がEを反転
0259: ラテン小文字シュワ
025A: フック付きラテン小文字シュワ
025B: ラテン小文字オープンE : イプシロン
025C: ラテン小文字がOpen Eを反転
025D: ラテン小文字がフック付きのオープンEを反転
025E: ラテン小文字を閉じて逆Eを開く : 閉じた逆イプシロン
025F: ストローク付きラテン小文字ドットレスJ
0260: フック付きラテン小文字G
0261: ラテン小文字スクリプトG
0262: ラテン文字小大文字G
0263: ラテン小文字Gamma
0264: ラテン小文字ラムズホーン : ラテン小文字赤ちゃんガンマ
0265: ラテン小文字がHになった
0266: フック付きラテン小文字H
0267: フック付きラテン小文字Heng
0268: ラテン小文字Iストローク : 私は、私はバーを禁止
0269: ラテン小文字イオタ
026A: ラテン文字スモールキャピタルI
026B: ミドルチルド付きラテン小文字L
026C: ベルト付きラテン小文字L
026D: レトロフレックスフック付きラテン小文字L
026E: ラテン小文字レズ
026F: ラテン小文字がMになった
0270: ラテン小文字がMを長い脚で回した
0271: フック付きラテン小文字M
0272: 左フック付きラテン小文字N
0273: レトロフレックスフック付きラテン小文字N
0274: ラテン文字小大文字N
0275: ラテン小文字のOを禁止 : Oバー
0276: ラテン文字小大文字大江さん
0277: ラテン小文字クローズドオメガ
0278: ラテン小文字ピピ
0279: ラテン小文字ターンR
027A: ラテン語の小文字が長い足を持つRを回した
027B: ラテン小文字はフックでRを回した
