0400: 墓とキリル大文字Ie
0401: キリル大文字Io
0402: キリル大文字Dje
0403: キリル大文字Gje
0404: キリル大文字大文字ウクライナ語
0405: キリル大文字Dze
0406: キリル大文字大文字ベラルーシ - ウクライナI
0407: キリル大文字Yi
0408: キリルキャピタルレターJe
0409: キリル大文字Lje
040A: キリル大文字Nje
040B: キリル文字大文字Tshe
040C: キリル大文字Kje
040D: キリル大文字Iと墓
040E: キリルキャピタルレターショートU
040F: キリル大文字Dzhe
0410: キリル大文字A
0411: キリル大文字
0412: キリル大文字Ve
0413: キリル大文字Ghe
0414: キリル大文字
0415: キリル大文字Ie
0416: キリル大文字Zhe
0417: キリル大文字Z
0418: キリル大文字I
0419: キリルキャピタルレターショートI
041A: キリルキャピタルレターKa
041B: キリル大文字El
041C: キリル大文字Em
041D: キリル大文字En
041E: キリル大文字O
041F: キリル大文字Pe
0420: キリル大文字Er
0421: キリル大文字Es
0422: キリル大文字Te
0423: キリル大文字U
0424: キリル大文字Ef
0425: キリル大文字大文字Ha
0426: キリル大文字Tse
0427: キリル大文字チェ
0428: キリル大文字大文字
0429: キリル大文字大文字
042A: キリル大文字大文字
042B: キリル大文字大文字
042C: キリル大文字ソフトサイン
042D: キリル大文字E
042E: キリル文字大文字ゆう
042F: キリル大文字Ya
0430: キリル文字A
0431: キリル文字小文字
0432: キリルスモールレターVe
0433: キリルスモールレターGhe
0434: キリルスモールレタード
0435: キリル文字小文字
0436: キリル小文字Zhe
0437: キリル文字Small Ze
0438: キリル文字Small I
0439: キリルスモールレターショートI
043A: キリルスモールレターKa
043B: キリルスモールレターエル
043C: キリル文字小文字
043D: キリル文字小文字En
043E: キリル小文字O
043F: キリルスモールレターペ
0440: キリル文字小文字Er
0441: キリル文字小文字Es
0442: キリルスモールレターテ
0443: キリルスモールレターU
0444: キリルスモールレターEf
0445: キリルスモールレターハ
0446: キリル小文字Tse
0447: キリルスモールレターチェ
0448: キリルスモールレターシャ
0449: キリル文字小文字
044A: キリル文字小文字ハードサイン
044B: キリル文字小文字
044C: キリル文字小文字ソフトサイン
044D: キリル小文字E
044E: キリルスモールレターユウ
044F: キリルスモールレターヤ
0450: 墓とキリル文字小文字
0451: キリル文字小イオ
0452: キリル文字小文字
0453: キリルスモールレターGje
0454: キリル文字小文字ウクライナ語: 昔のキリル文字
