1D00: ラテン文字小大文字A
1D01: ラテン文字小大文字Ae
1D02: ラテン小文字がAeを回した
1D03: ラテン文字小大文字禁制B
1D04: ラテン文字小大文字C
1D05: ラテン文字小大文字D
1D06: ラテン文字小資本倫理
1D07: ラテン文字小大文字E
1D08: ラテン小文字がEを開く
1D09: ラテン小文字が私を回した
1D0A: ラテン文字小大文字J
1D0B: ラテン文字小大文字K
1D0C: ストローク付きラテン文字小大文字L
1D0D: ラテン文字小大文字M
1D0E: ラテン文字の小資本はNを逆転させた
1D0F: ラテン文字小大文字O
1D10: ラテン文字小資本オープンO
1D11: 横小ラテン文字O
1D12: ラテン小文字横向きオープンO
1D13: 横向きラテン小文字Oストローク付き
1D14: ラテン小字ターン大江
1D15: ラテンレタースモールキャピタルウー
1D16: ラテン小文字上半分O
1D17: ラテン小文字下半分O
1D18: ラテン文字小大文字P
1D19: ラテン文字の小資本がRを反転
1D1A: ラテン文字小資本ターンR
1D1B: ラテン文字小大文字T
1D1C: ラテン文字小大文字U
1D1D: ラテン小文字横U
1D1E: 横向きのラテン小文字Diaeresized U
1D1F: 横向きラテン小文字M
1D20: ラテン文字小大文字V
1D21: ラテン文字小大文字W
1D22: ラテン文字小大文字Z
1D23: ラテン文字小資本Ezh
1D24: ラテン文字が喉頭スパイラルを表明
1D25: ラテン文字アイン
1D26: ギリシャ文字スモールキャピタルガンマ
1D27: ギリシャ文字スモールキャピタルラムダ
1D28: ギリシャ文字スモールキャピタルパイ
1D29: ギリシャ文字スモールキャピタルロー
1D2A: ギリシャ文字小大文字Psi
1D2B: キリル文字小大文字エル
1D2C: 修飾文字大文字A
1D2D: 修飾文字大文字Ae
1D2E: 修飾文字大文字B
1D2F: モディファイアレターの大文字の禁止B
1D30: 修飾文字大文字D
1D31: 修飾文字大文字E
1D32: 修飾文字大文字がEを反転しました
1D33: 修飾文字大文字G
1D34: 修飾文字大文字H
1D35: モディファイアレターキャピタルI
1D36: 修飾文字大文字J
1D37: 修飾文字大文字K
1D38: 修飾文字大文字L
1D39: 修飾文字大文字M
1D3A: 修飾文字大文字N
1D3B: 修飾文字大文字反転N
1D3C: 修飾文字大文字O
1D3D: 修飾文字大文字Ou
1D3E: 修飾文字大文字P
1D3F: 修飾文字大文字R
1D40: 修飾文字大文字T
1D41: 修飾文字大文字U
1D42: 修飾文字大文字W
1D43: 修飾文字小A
1D44: 修正レタースモールA
1D45: モディファイアレタースモールアルファ
1D46: モディファイアレタースモールターンAe
1D47: 修飾レタースモールB
1D48: 修飾レタースモールD
1D49: 修飾文字S小
1D4A: モディファイアレタースモールシュワ
1D4B: モディファイアレタースモールオープンE
1D4C: モディファイアレタースモールターンオープンE
1D4D: モディファイアレタースモールG
1D4E: モディファイアレタースモールターンI
1D4F: 修飾レタースモールK
1D50: モディファイアレタースモールM
1D51: 修飾文字Small Eng
1D52: 修飾レター小O
1D53: モディファイアレタースモールオープンO
1D54: モディファイアレタースモールトップハーフO
1D55: モディファイアレタースモールボトムハーフO
1D56: モディファイアレタースモールP
1D57: モディファイアレタースモールT
1D58: モディファイアレタースモールU
1D59: モディファイアレタースモールサイドウェイズU
1D5A: モディファイアレタースモールターンM
1D5B: モディファイアレタースモールV
1D5C: 修正レタースモールアイン
1D5D: モディファイアレタースモールベータ
1D5E: 修正レタースモールギリシャ語ガンマ
1D5F: 修正レタースモールデルタ
1D60: モディファイアレタースモールグリークファイ
1D61: 修飾レタースモールチー
1D62: ラテン添字スモールレターI
1D63: ラテン添字スモールレターR
1D64: ラテン添字スモールレターU
1D65: ラテン添字スモールレターV
1D66: ギリシャ語添え字小文字Beta
1D67: ギリシャ語添字スモールレターガンマ
1D68: ギリシャ語添字スモールレターロー
1D69: ギリシャ語添え字小文字Phi
1D6A: ギリシャ語添え字小文字Chi
1D6B: ラテン小文字Ue
1D6C: ミドルチルド付きラテン小文字B
1D6D: ミドルチルド付きラテン小文字D
1D6E: ミドルチルド付きラテン小文字F
1D6F: ミドルチルド付きラテン小文字M
1D70: ミドルチルド付きラテン小文字N
1D71: ミドルチルド付きラテン小文字P
1D72: ミドルチルド付きラテン小文字R
1D73: 釣り針と中間のチルダ付きラテン小文字R
1D74: ミドルチルド付きラテン小文字S
1D75: ミドルチルド付きラテンスモールレターT
1D76: ミドルチルド付きラテン小文字Z
1D77: ラテン小文字がGになった
1D78: 修飾文字キリル文字En
1D79: ラテン小文字の島G
1D7A: 取り消し線付きラテン小文字Th
1D7B: ラテン小大文字手紙Iストローク
1D7C: ストローク付きラテン小文字イオタ
1D7D: ストローク付きラテン小文字P
1D7E: ストローク付きラテン小大文字U
1D7F: ストローク付きラテン小文字ウプシロン
1D80: パラタルフック付きラテン小文字B
1D81: パラタルフック付きラテン小文字D
1D82: パラタルフック付きラテン小文字F
1D83: パラタルフック付きラテン小文字G
1D84: パラタルフック付きラテン小文字K
1D85: パラタルフック付きラテン小文字L
1D86: パラタルフック付きラテン小文字M
1D87: パラタルフック付きラテン小文字N
1D88: パラタルフック付きラテン小文字P
1D89: パラタルフック付きラテン小文字R
1D8A: パラタルフック付きラテン小文字S
1D8B: パラタルフック付きラテン小文字Esh
1D8C: パラタルフック付きラテン小文字V
1D8D: パラタルフック付きラテン小文字X
1D8E: パラタルフック付きラテン小文字Z
1D8F: ラテン小文字aとレトロフレックスフック
1D90: レトロフレックスフック付きラテン小文字アルファベット
1D91: フックとテール付きラテン小文字D
1D92: レトロフレックスフック付きラテン小文字E
1D93: Retroflexフック付きラテン小文字オープンE
1D94: ラテン小文字がRetroflexフックでOpen Eを反転
1D95: Retroflexフック付きラテン小文字Schwa
1D96: レトロフレックスフック付きラテン小文字I
1D97: レトロフレックスフック付きラテン小文字オープンO
1D98: Retroflexフック付きラテン小文字Esh
1D99: レトロフレックスフック付きラテン小文字U
1D9A: レトロフレックスフック付きラテン小文字Ezh
1D9B: モディファイアレタースモールターンアルファ
1D9C: 修飾レタースモールC
1D9D: カールと修飾文字Small C
1D9E: 修飾レター小Eth
1D9F: モディファイアレタースモールリバースオープンE
1DA0: モディファイアレタースモールF
1DA1: ストローク付きモディファイアレタースモールドットレスJ
1DA2: 修正レタースモールスクリプトG
1DA3: 修飾文字小回転H
1DA4: ストローク付き修正レタースモールI
1DA5: モディファイアレタースモールイオタ
1DA6: モディファイアレタースモールキャピタルI
1DA7: ストローク付き修正レタースモールキャピタルI
1DA8: クロステール付き修飾文字Small J
1DA9: レトロフレックスフック付きモディファイアレタースモールL
1DAA: 口蓋フック付き修飾文字小L
1DAB: 修飾レタースモールキャピタルL
1DAC: フック付きモディファイアレタースモールM
1DAD: モディファイレタースモールターンMロング脚付き
1DAE: 左フック付き修飾文字小N
1DAF: レトロフレックスフック付き修飾文字Small N
1DB0: 修飾レタースモールキャピタルN
1DB1: モディファイアレタースモールバードO
1DB2: モディファイアレタースモールファイ
1DB3: フック付きモディファイアレタースモールS
1DB4: 修正レタースモールEsh
1DB5: 口蓋フック付き修飾文字Small T
1DB6: モディファイアレタースモールUバー
1DB7: モディファイアレタースモールウプシロン
1DB8: モディファイアレタースモールキャピタルU
1DB9: フック付きモディファイアレタースモールV
1DBA: モディファイアレタースモールターンV
1DBB: 修飾レタースモールZ
1DBC: レトロフレックスフック付きモディファイアレタースモールZ
1DBD: カールと修飾文字小Z
1DBE: モディファイアレタースモールEzh
1DBF: モディファイアレタースモールシータ
1DC0: 点線の墓アクセントの組み合わせ
1DC1: 点線の急性アクセントの組み合わせ
1DC2: 下の蛇を組み合わせる
1DC3: サスペンションマークの結合
1DC4: Macron-Acuteを組み合わせる
1DC5: Grave-Macronの組み合わせ
1DC6: マクロングレイブの組み合わせ
1DC7: 急性マクロンの結合
1DC8: 墓 - 急性 - 墓の組み合わせ
1DC9: 急性 - 墓 - 急性の組み合わせ
1DCA: 下にラテン小文字Rを組み合わせる
1DCB: Breve-Macronの組み合わせ
1DCC: Macron-Breveを組み合わせる
1DCD: 上の二重円周の組み合わせ
1DCE: 上記のOgonekを組み合わせる
1DCF: 下のジグザグを組み合わせる
1DD0: 結合は以下です
1DD1: 上記のUrを組み合わせる
1DD2: 上で私たちを組み合わせる
1DD3: 平らにされたラテン小文字を組み合わせる
1DD4: ラテン小文字Aeの組み合わせ
1DD5: ラテン小文字Aoを組み合わせる
1DD6: ラテン小文字Avの組み合わせ
1DD7: ラテン小文字C Cedillaの組み合わせ
1DD8: ラテン小文字Insular Dの組み合わせ
1DD9: ラテン小文字Ethの組み合わせ
1DDA: ラテン小文字Gの組み合わせ
1DDB: ラテン文字小大文字Gの組み合わせ
1DDC: ラテン小文字Kの組み合わせ
1DDD: ラテン小文字Lの組み合わせ
1DDE: ラテン文字小大文字Lを組み合わせる
1DDF: ラテン文字小大文字Mの組み合わせ
1DE0: ラテン小文字Nの組み合わせ
1DE1: ラテン文字小大文字Nの組み合わせ
1DE2: ラテン文字小大文字Rの組み合わせ
1DE3: ラテン小文字Rの組み合わせR Rotunda
1DE4: ラテン小文字Sの組み合わせ
1DE5: ラテン小文字Sの組み合わせ
1DE6: ラテン小文字Zを組み合わせる
1DE7: ラテン小文字アルファベットの組み合わせ
1DE8: ラテン小文字Bの組み合わせ
1DE9: ラテン小文字Betaを組み合わせる
1DEA: ラテン小文字Schwaを組み合わせる
1DEB: ラテン小文字Fの組み合わせ
1DEC: ラテン小文字Lと二重ミドルチルドの組み合わせ
1DED: ラテン小文字Oと軽集中化ストロークの組み合わせ
1DEE: ラテン小文字Pの組み合わせ
1DEF: ラテン小文字Eshを組み合わせる
1DF0: ラテン中央小文字Uと軽い集中ストロークの組み合わせ
1DF1: ラテン小文字Wの組み合わせ
1DF2: ラテン小文字aと分音記号の組み合わせ
1DF3: ラテン文字の小文字Oと分音記号の組み合わせ
1DF4: ラテン小文字Uと分音記号の組み合わせ
1DF5: 上のタックを組み合わせる
1DF6: 右上のKavykaを組み合わせる
1DF7: 左上のKavykaを組み合わせる
1DF8: 左上のドットを組み合わせる
1DF9: 下の広い逆橋を組み合わせる
1DFA:
1DFB: 削除マークの組み合わせ
1DFC: 二重反転Breveを下に組み合わせる
1DFD: 以下とほぼ等しい組み合わせ
1DFE: 上の左矢印を組み合わせる
1DFF: 右矢印と下矢印の組み合わせ
