1E00: ラテン大文字大文字の下にリング付き
1E01: 下のリング付きラテン小文字a
1E02: 上のドット付きのラテン大文字B
1E03: ドットが上のラテン小文字B
1E04: ドットが下のラテン大文字B
1E05: ドットが下のラテン小文字B
1E06: 下の行を含むラテン大文字B
1E07: 下の行を含むラテン小文字B
1E08: CedillaとAcuteのラテン大文字C
1E09: Cedillaと急性のラテン小文字C
1E0A: 上のドット付きのラテン大文字D
1E0B: 上にドットが付いたラテン小文字D
1E0C: ドットが下のラテン大文字D
1E0D: ドットが下のラテン小文字D
1E0E: 下の行を含むラテン大文字D
1E0F: 下の行にラテン小文字D
1E10: Cedilla付きラテン大文字D
1E11: セディーユ付きラテン小文字D
1E12: 下にサーカムフレックスを含むラテン大文字D
1E13: 下にサーカムフレックスを含むラテン小文字D
1E14: MacronとGraveのラテン大文字E
1E15: MacronとGraveのラテン小文字E
1E16: MacronとAcuteのラテン大文字E
1E17: MacronとAcuteのラテン小文字E
1E18: 以下にサーカムフレックスを含むラテン大文字E
1E19: 下にサーカムフレックスを含むラテン小文字E
1E1A: 下にチルドが付いているラテン大文字E
1E1B: 下のチルダ付きラテン小文字E
1E1C: CedillaとBreveのラテン大文字E
1E1D: CedillaとBreveのラテン小文字E
1E1E: ドットが上のラテン大文字F
1E1F: ドットが上のラテン小文字F
1E20: マクロン付きラテン大文字G
1E21: マクロン付きラテン小文字G
1E22: ドットが上のラテン大文字H
1E23: ドットが上のラテン小文字H
1E24: ドットが下のラテン大文字H
1E25: ドットが下のラテン小文字H
1E26: 分音記号付きラテン大文字H
1E27: 分音記号付きラテン小文字H
1E28: Cedilla付きラテン大文字H
1E29: セディーユ付きラテン小文字H
1E2A: Breveが下のラテン大文字H
1E2B: Breveが下のラテン小文字H
1E2C: ラテン大文字の文字I
1E2D: 下のチルド文字付きラテン小文字I
1E2E: 分音記号付きのラテン大文字Iと急性
1E2F: 分音記号付きのラテン小文字Iと急性
1E30: ラテン大文字K（急性）
1E31: 急性のラテン小文字K
1E32: ドットが下のラテン大文字K
1E33: ドットが下のラテン小文字K
1E34: 行の下にラテン大文字K
1E35: 下の行を含むラテン小文字K
1E36: ドットが下のラテン大文字L
1E37: ドットが下のラテン小文字L
1E38: 下のドットとマクロンを含むラテン大文字L
1E39: 下のドットとマクロンが付いたラテン小文字L
1E3A: 行の下にラテン大文字L
1E3B: 下の行を含むラテン小文字L
1E3C: 下付きのラテン大文字L
1E3D: 下付きのラテン小文字L
1E3E: 急性のラテン大文字M
1E3F: 急性のラテン小文字M
1E40: 上のドット付きのラテン大文字M
1E41: ドットが上のラテン小文字M
1E42: ドットが下のラテン大文字M
1E43: ドットが下のラテン小文字M
1E44: ドットが上のラテン大文字N
1E45: ドットが上のラテン小文字N
1E46: ドットが下のラテン大文字N
1E47: ドットが下のラテン小文字N
1E48: 行の下にラテン大文字N
1E49: 下の行を含むラテン小文字N
1E4A: 下にサーカムフレックスを含むラテン大文字N
1E4B: 以下にサーカムフレックスを使用したラテン小文字N
1E4C: チルドと急性のラテン大文字O
1E4D: チルドと急性のラテン小文字O
1E4E: チルドと分音記号付きラテン大文字O
1E4F: チルドと分音記号付きラテン小文字O
1E50: MacronとGraveのラテン大文字O
1E51: MacronとGraveのラテン小文字O
1E52: MacronとAcuteのラテン大文字O
1E53: MacronとAcuteのラテン小文字O
1E54: 急性のラテン大文字P
1E55: 急性のラテン小文字P
1E56: ドットが上のラテン大文字P
1E57: ドットが上のラテン小文字P
1E58: ドットが上のラテン大文字R
1E59: ドットが上のラテン小文字R
1E5A: ドットが下のラテン大文字R
1E5B: ドットが下のラテン小文字R
1E5C: 下のドットとマクロンを含むラテン大文字R
1E5D: ドットの下にラテン語の小文字Rとマクロン
