1F00: Psiliとギリシャ語の小文字のアルファベット
1F01: Dasiaとギリシャの小文字のアルファベット
1F02: PsiliとVariaのギリシャ文字
1F03: ダシアとヴァリアとギリシャの小文字のアルファベット
1F04: PsiliとOxiaとギリシャの小文字のアルファベット
1F05: DasiaとOxiaとギリシャの小文字のアルファベット
1F06: PsiliとPerispomeniとギリシャの小文字のアルファベット
1F07: DasiaとPerispomeniとギリシャの小文字のアルファベット
1F08: Psiliとギリシャの大文字アルファベット
1F09: Dasiaとギリシャの大文字アルファベット
1F0A: PsiliとVariaのギリシャの大文字アルファベット
1F0B: ダシアとヴァリアとギリシャの大文字アルファベット
1F0C: PsiliとOxiaのギリシャの大文字アルファベット
1F0D: DasiaとOxiaのギリシャの大文字アルファベット
1F0E: PsiliとPerispomeniのギリシャの大文字アルファベット
1F0F: DasiaとPerispomeniとギリシャの大文字アルファベット
1F10: Psiliとギリシャの小文字Epsilon
1F11: Dasiaとギリシャの小文字Epsilon
1F12: PsiliとVariaのギリシャの小文字Epsilon
1F13: ダシアとヴァリアとギリシャの小文字イプシロン
1F14: PsiliとOxiaとギリシャの小文字Epsilon
1F15: DasiaとOxiaとギリシャの小文字Epsilon
1F16:
1F17:
1F18: Psiliとギリシャの大文字Epsilon
1F19: Dasiaとギリシャの大文字Epsilon
1F1A: PsiliとVariaのギリシャの大文字のイプシロン
1F1B: DasiaとVariaのギリシャの大文字Epsilon
1F1C: PsiliとOxiaを含むギリシャの大文字のイプシロン
1F1D: DasiaとOxiaとギリシャの大文字Epsilon
1F1E:
1F1F:
1F20: Psiliとギリシャの小さな手紙Eta
1F21: Dasiaとギリシャの小文字Eta
1F22: PsiliとVariaとギリシャの小さな手紙Eta
1F23: ダシアとヴァリアとギリシャの小さな手紙イータ
1F24: PsiliとOxiaとギリシャの小さな手紙Eta
1F25: DasiaとOxiaとギリシャの小さな手紙Eta
1F26: PsiliとPerispomeniとギリシャの小さな手紙Eta
1F27: DasiaとPerispomeniとギリシャの小さな手紙Eta
1F28: Psiliとギリシャの大文字Eta
1F29: Dasiaとギリシャの大文字Eta
1F2A: PsiliとVariaのギリシャの大文字Eta
1F2B: DasiaとVariaのギリシャの大文字Eta
1F2C: PsiliとOxiaとギリシャの大文字Eta
1F2D: DasiaとOxiaとギリシャの大文字Eta
1F2E: PsiliとPerispomeniのギリシャの大文字Eta
1F2F: DasiaとPerispomeniとギリシャの大文字Eta
1F30: Psiliとギリシャの小さな手紙イオタ
1F31: Dasiaとギリシャの小文字イオタ
1F32: PsiliとVariaが付いているギリシャの小さい手紙Iota
1F33: ダシアとヴァリアとギリシャの小文字イオタ
1F34: PsiliとOxiaとギリシャの小文字Iota
1F35: ダシアとオキシアとギリシャの小文字イオタ
1F36: PsiliとPerispomeniが付いているギリシャの小さい手紙Iota
1F37: DasiaとPerispomeniとギリシャの小さな手紙イオタ
1F38: Psiliとギリシャの大文字Iota
1F39: Dasiaとギリシャの大文字Iota
1F3A: PsiliとVariaを含むギリシャの大文字Iota
1F3B: ダシアとヴァリアとギリシャの首都イオタ
1F3C: PsiliとOxiaとギリシャの大文字Iota
1F3D: DasiaとOxiaとギリシャの大文字Iota
1F3E: PsiliとPerispomeniのギリシャの大文字Iota
1F3F: DasiaとPerispomeniとギリシャの大文字Iota
1F40: Psiliとギリシャの小さな手紙オミクロン
1F41: Dasiaとギリシャの小文字オミクロン
1F42: PsiliとVariaを含むギリシャの小文字のオミクロン
1F43: ダシアとヴァリアとギリシャの小文字オミクロン
1F44: PsiliとOxiaとギリシャの小さな手紙オミクロン
1F45: DasiaとOxiaとギリシャの小文字オミクロン
1F46:
1F47:
1F48: Psiliとギリシャの大文字のオミクロン
1F49: Dasiaとギリシャの大文字Omicron
1F4A: PsiliとVariaを含むギリシャの大文字のオミクロン
1F4B: ダシアとヴァリアとギリシャの大文字のオミクロン
1F4C: PsiliとOxiaとギリシャの大文字のOmicron
1F4D: DasiaとOxiaとギリシャの大文字Omicron
1F4E:
1F4F:
1F50: Psiliとギリシャの小文字のウプシロン
1F51: Dasiaとギリシャの小文字のウプシロン
1F52: PsiliとVariaのギリシャの小文字のウプシロン
1F53: ダシアとヴァリアとギリシャの小文字のウプシロン
1F54: PsiliとOxiaとギリシャの小文字のウプシロン
1F55: DasiaとOxiaとギリシャの小文字のウプシロン
1F56: PsiliとPerispomeniのギリシャの小文字のウプシロン
1F57: DasiaとPerispomeniとギリシャの小文字のウプシロン
1F58:
1F59: Dasiaとギリシャの大文字Upsilon
1F5A:
1F5B: ダシアとヴァリアとギリシャの大文字のウプシロン
1F5C:
1F5D: DasiaとOxiaのギリシャの大文字のウプシロン
1F5E:
1F5F: DasiaとPerispomeniのギリシャの大文字のウプシロン
1F60: Psiliが付いているギリシャの小さい手紙オメガ
1F61: Dasiaとギリシャの小さな手紙オメガ
