2A00: N進丸ドット演算子
2A01: N進サークルプラス演算子
2A02: N進サークルタイムズ演算子
2A03: ドット付きN-Ary Union演算子
2A04: N-Ary Union演算子プラス付き
2A05: N-Ary Square交差オペレータ
2A06: Nアリースクエアユニオン演算子
2A07: 2つの論理演算子: マージ
2A08: 2つの論理演算子
2A09: N-Ary Timesオペレータ
2A0A: モジュロツーサム
2A0B: 積分による総和
2A0C: 四重積分演算子
2A0D: 有限部分積分
2A0E: ダブルストロークと一体
2A0F: スラッシュ付き積分平均
2A10: 循環機能
2A11: 反時計回り統合
2A12: ポールの周りの長方形経路による線統合
2A13: 極周りの半円形経路による線統合
2A14: 極を含まないライン統合
2A15: 点演算子周りの積分
2A16: 四元数積分演算子
2A17: フック付き左矢印との一体型
2A18: タイムサインとの積分
2A19: 交差との積分
2A1A: 連合との統合
2A1B: オーバーバーとの統合: 上積分
2A1C: アンダーバーと一体: 低積分
2A1D: 参加する: ラージボウタイ
2A1E: 大きな左三角演算子
2A1F: Z記法スキーマ構成
2A20: Z記法スキーマパイピング
2A21: Z記法スキーマ射影
2A22: 上の小さい円でプラス記号
2A23: 上のアクセントアクセント付きプラス記号
2A24: 上のチルド付きプラス記号: 正の差または合計
2A25: 下のドット付きプラス記号
2A26: 下のチルド付きプラス記号: 和または正の差
2A27: 添字2付きプラス記号: 追加
2A28: 黒三角付きプラス記号
2A29: 上のコンマとマイナス記号
2A2A: 下のドットが付いたマイナス記号
2A2B: 立ち下がりドットとマイナス記号
2A2C: 上昇ドットとマイナス記号
2A2D: プラスサインイン左半円
2A2E: プラスサインイン右半円
2A2F: ベクトルまたはクロス積
2A30: 上のドットと乗算記号
2A31: 下線付き乗算記号
2A32: 底部が閉じた半直接製品
2A33: スマッシュ商品
2A34: 掛け算サインイン左の半円
2A35: 掛け算サインイン右半円
2A36: サーカムフレックスアクセント付きの丸い乗算記号
2A37: 二重丸で乗算サインイン
2A38: 丸で囲まれた区画記号
2A39: プラスサインイントライアングル
2A3A: マイナスサインイン
2A3B: 乗算サインイン三角形
2A3C: インテリア製品
2A3D: 右インテリア製品
2A3E: Z表記関係コンポジション
2A3F: 合併または副産物
2A40: ドットとの交差
2A41: マイナス記号との連合: z表記バッグ減算
2A42: オーバーバーとの連合
2A43: オーバーバーとの交差点
2A44: 論理積との交点
2A45: 論理和との和
2A46: 交差点の上の連合
2A47: 連合の上の交差点
2A48: 交差点の上のバーの上の連合
2A49: 連合の上のバーの上の交差点
2A4A: 連合の横にあり、連合に加わった
2A4B: 交差点の横にある交差点
2A4C: セリフとの閉じた連合
2A4D: セリフとの閉じた交差点
2A4E: 二重正方形の交差点
2A4F: ダブルスクエアユニオン
2A50: セリフとスマッシュプロダクトを使ったクローズドユニオン
2A51: 論理的で上のドットあり
2A52: 論理上または上のドット付き
2A53: 二重論理AND
2A54: 二重論理和
2A55: 2つの交差する論理
2A56: 2つの交差する論理和
2A57: 傾斜大または
2A58: 大きく傾斜
2A59: 論理または重複論理AND
2A5A: 論理的および中間幹あり
2A5B: 論理的または中間幹あり
2A5C: 論理ダッシュと水平ダッシュ
2A5D: 論理ダッシュまたは水平ダッシュ付き
2A5E: ロジカルとダブルオーバーバーあり
2A5F: 論理とアンダーバーあり
2A60: 論理と二重下線付き
2A61: アンダーバー付きスモールヴィー
