2C00: グラゴリットキャピタルレターアズ
2C01: グラゴリットキャピタルレター
2C02: グラゴリットキャピタルレター
2C03: グラゴリットキャピタルレターグラゴリ
2C04: グラゴリットキャピタルレタードブロ
2C05: グラゴリットキャピタルレターYestu
2C06: グラゴリットキャピタルレターZhivete
2C07: グラゴリットキャピタルレタージェロ
2C08: グラゴリットキャピタルレターZemlja
2C09: グラゴリットキャピタルレターイジェ
2C0A: グラゴリットキャピタルレターイニシャルイジェ
2C0B: グラゴリットキャピタルレターI
2C0C: グラゴリットキャピタルレタージェルヴィ
2C0D: グラゴリットキャピタルレター加古
2C0E: グラゴリットキャピタルレターLjudije
2C0F: グラゴリットキャピタルレターMyslite
2C10: グラゴリットキャピタルレターナシ
2C11: グラゴリットキャピタルレターオヌ
2C12: グラゴリットキャピタルレターポコジ
2C13: グラゴリットキャピタルレターRitsi
2C14: グラゴリットキャピタルレターSlovo
2C15: グラゴリットキャピタルレターTvrido
2C16: グラゴリットキャピタルレター宇久
2C17: グラゴリットキャピタルレターフリッツ
2C18: グラゴリットキャピタルレターHeru
2C19: グラゴリットキャピタルレターOtu
2C1A: グラゴリットキャピタルレターPe
2C1B: グラゴリットキャピタルレターShta
2C1C: グラゴリットキャピタルレターチー
2C1D: グラゴリットキャピタルレターChrivi
2C1E: グラゴリットキャピタルレター社
2C1F: グラゴリットキャピタルレター
2C20: グラゴリットキャピタルレター
2C21: グラゴリットキャピタルレターヤティ
2C22: グラゴリットキャピタルレタースパイダリーハ
2C23: グラゴリットキャピタルレターYu
2C24: グラゴリットキャピタルレタースモールユース
2C25: グラゴリット資本文字小ユースと尾
2C26: グラゴリットキャピタルレターヨーヨー
2C27: グラゴリックキャピタルレターが小さいユースを引用
2C28: グラゴリットキャピタルレタービッグユース
2C29: グラゴリックキャピタルレターがビッグユースを引用
2C2A: グラゴリットキャピタルレターフィタ
2C2B: グラゴリットキャピタルレターIzhitsa
2C2C: グラゴリットキャピタルレターShtapic
2C2D: グラゴリットキャピタルレターTrokutasti A
2C2E: グラゴリットキャピタルレターラテンライトミスライト
2C2F:
2C30: グラゴリットスモールレターアズ
2C31: グラゴリットスモールレターブッキー
2C32: グラゴライトスモールレターベード
2C33: グラゴリットスモールレターグラゴリ
2C34: グラゴリットスモールレタードブロ
2C35: グラゴリットスモールレターエストゥ
2C36: グラゴリットスモールレターZhivete
2C37: グラゴリットスモールレタージェロ
2C38: グラゴリットスモールレターZemlja
2C39: グラゴリットスモールレターイジェ
2C3A: グラゴリットスモールレターイニシャルイズ
2C3B: グラゴリットスモールレターI
2C3C: グラゴリットスモールレタージェルヴィ
2C3D: グラゴリットスモールレターカコ
2C3E: グラゴリットスモールレターLjudije
