3100:
3101:
3102:
3103:
3104:
3105: ボポモフォレターB
3106: ボポモフォ手紙P
3107: ボポモフォレターM
3108: ボポモフォ手紙F
3109: ボポモフォレターD
310A: ボポモフォレターT
310B: ボポモフォレターN
310C: ボポモフォレターL
310D: ボポモフォレターG
310E: ボポモフォレターK
310F: ボポモフォ手紙H
3110: ボポモフォ手紙J
3111: ボポモフォレターQ
3112: ボポモフォレターX
3113: ボポモフォレターZh
3114: ボポモフォレターCh
3115: ボポモフォの手紙Sh
3116: ボポモフォレターR
3117: ボポモフォレターZ
3118: ボポモフォレターC
3119: ボポモフォレターS
311A: ボポモフォ手紙A
311B: ボポモフォ手紙O
311C: ボポモフォの手紙E
311D: ボポモフォ手紙Eh
311E: ボポモフォレターアイ
311F: ボポモフォ手紙Ei
3120: ボポモフォ手紙Au
3121: ボポモフォ手紙Ou
3122: ボポモフォ手紙An
3123: ボポモフォ手紙En
3124: ボポモフォ手紙Ang
3125: ボポモフォ手紙Eng
3126: ボポモフォ手紙Er
3127: ボポモフォ手紙I
3128: ボポモフォレターU
3129: ボポモフォ手紙Iu
312A: ボポモフォレターV
312B: ボポモフォレターNg
312C: ボポモフォレターGn
312D: ボポモフォ手紙Ih
312E: 上のドットとBopomofo文字O
312F: ボポモフォレターNn
3130:
3131: ハングルレター
3132: ハングルレター
3133: ハングルレターKiyeok-Sios
3134: ハングルレター
3135: ハングル手紙Nieun-Cieuc
3136: ハングル手紙Nieun-Hieuh
3137: ハングル手紙Tikeut
3138: ハングル書簡
3139: ハングル手紙Rieul
313A: ハングル手紙Rieul-Kiyeok
313B: ハングル手紙Rieul-Mieum
313C: ハングル手紙Rieul-Pieup
313D: ハングル手紙Rieul-Sios
313E: ハングル手紙Rieul-Thieuth
313F: ハングル手紙Rieul-Phieuph
3140: ハングル手紙Rieul-Hieuh
3141: ハングルレターミーム
3142: ハングルレターパイナップ
3143: ハングル手紙Ssangpieup
3144: ハングル手紙Pieup-Sios
3145: ハングルレターシオス
3146: ハングル手紙Ssangsios
3147: ハングル手紙イウン
3148: ハングル手紙Cieuc
3149: ハングルレターSsangcieuc
314A: ハングルレターチュウチ
314B: ハングル手紙Khieukh
314C: ハングル手紙Thieuth
314D: ハングル手紙Phieuph
314E: ハングル手紙Hieuh
314F: ハングルA
3150: ハングル手紙Ae
3151: ハングルレターヤー
3152: ハングルレター
3153: ハングル手紙Eo
3154: ハングルE
3155: ハングルレターヨー
3156: ハングルレターイェ
3157: ハングル手紙O
3158: ハングルレター
3159: ハングルレターウェイ
315A: ハングルレター大江さん
315B: ハングルレターヨーヨー
315C: ハングルレターU
315D: ハングル手紙Weo
315E: ハングル書簡
315F: ハングル手紙Wi
3160: ハングルレターゆう
3161: ハングル手紙Eu
3162: ハングル手紙李
3163: ハングル手紙I
3164: ハングルフィラー: チャエウム
3165: ハングル手紙Ssangnieun
3166: ハングル手紙Nieun-Tikeut
3167: ハングルレターNieun-Sios
3168: ハングル手紙Nieun-Pansios
3169: ハングル文字Rieul-Kiyeok-Sios
316A: ハングル手紙Rieul-Tikeut
316B: ハングル文字Rieul-Pieup-Sios
316C: ハングル手紙Rieul-Pansios
316D: ハングル文字Rieul-Yeorinhieuh
316E: ハングルレターミーム - ピュアップ
