A000: 一音節それ
A001: 李音節1x
A002: 一音節I
A003: 李音節IP
A004: 一音節Iet
A005: 一音節Iex
A006: 李音節すなわち
A007: 一音節イープ
A008: 李音節
A009: 李音節アックス
A00A: 一音節A
A00B: 李音節Ap
A00C: 一音節Uox
A00D: 一音節Uo
A00E: 李音節Uop
A00F: 一音節Ot
A010: 一音節牛
A011: 一音節O
A012: 李音節オペ
A013: 一音節Ex
A014: 一音節E
A015: 李音節呉
A016: 一音節ビット
A017: 一音節ビックス
A018: 一音節バイ
A019: 李音節ビップ
A01A: 李音節ビート
A01B: 李音節バイエックス
A01C: イーシラブルビー
A01D: 李音節ビープ
A01E: 一音節バット
A01F: 李音節バックス
A020: 一音節Ba
A021: 李音節バップ
A022: 李音節ブックス
A023: S音o
A024: 李音節ブープ
A025: 一音節ボット
A026: 一音節ボックス
A027: 李音節坊
A028: 一音節バップ
A029: 一音節ベックス
A02A: 李音節
A02B: 李音節ビープ
A02C: 李音節
A02D: 李音節Bux
A02E: 一音節Bu
A02F: 李音節Bup
A030: 李音節ブルックス
A031: 一音節バー
A032: Yi音節バイト
A033: イ音節数
A034: Yiシラブル
A035: 李音節Byp
A036: Yi音節バイト
A037: Yi音節バール
A038: 一音節ピット
A039: 一音節Pix
A03A: 李音節パイ
A03B: 一音節ピップ
A03C: 李音節ピエ
A03D: 一音節パイ
A03E: 李音節Piep
A03F: 李音節パット
A040: 一音節パックス
A041: 李音節パー
A042: 李音節パップ
A043: 一音節パックス
A044: 一音節プー
A045: 李音節ぷぷ
A046: 一音節ポット
A047: 一音節ポックス
A048: 一音節Po
A049: 李音節ポップ
A04A: 李音節プット
A04B: 李音節パックス
A04C: 李音節Pu
A04D: 一音節子犬
A04E: イーシラブルパークス
A04F: 李音節パー
A050: 一音節Pyt
A051: 一音節Pyx
A052: 李音節Py
A053: 李音節Pyp
A054: 李音節のパイクス
A055: 李音節Pyr
A056: 一音節ビット
A057: 李音節Bbix
A058: 李音節Bbi
A059: 李音節Bbip
A05A: 李音節Bbiet
A05B: イ・シラブルBbiex
A05C: イーシラブルビービー
A05D: 一音節Bbiep
A05E: 一音節Bbat
A05F: 李音節Bbax
A060: 一音節Bba
A061: 李音節Bbap
