A100: 一音節Dit
A101: 李音節ディクス
A102: 一音節Di
A103: 李音節ディップ
A104: 李音節Diex
A105: 李音節ダイ
A106: 李音節ディープ
A107: Yi音節データ
A108: 一音節ダックス
A109: 一音節ダ
A10A: 李音節Dap
A10B: 一音節デュオックス
A10C: 一音節デュオ
A10D: 一音節ドット
A10E: 一音節ドックス
A10F: 李音節
A110: 一音節ドップ
A111: 一音節デッキ
A112: 一音節デ
A113: 李音節語数
A114: 李音節語
A115: 李音節ダックス
A116: 一音節デュ
A117: 李音節デュップ
A118: 李音節デュルクス
A119: 李音節ドゥル
A11A: 一音節シジュウカラ
A11B: 李音節ティクス
A11C: 一音節Ti
A11D: 一音節チップ
A11E: 李音節Tiex
A11F: 李音節タイ
A120: 李音節タイプ
A121: 李音節タット
A122: 一音節税
A123: 一音節Ta
A124: 一音節タップ
A125: 李音節名詞
A126: 一音節Tuox
A127: 一音節Tuo
A128: 李音節テロップ
A129: 一音節トット
A12A: 李音節毒
A12B: 李音節
A12C: 李音節トップ
A12D: 一音節テックス
A12E: 一音節テ
A12F: 李音節テップ
A130: 一音節チュチュ
A131: 李音節タックス
A132: 一音節Tu
A133: 李音節タップ
A134: 一音節タークス
A135: 李音節ター
A136: 一音節Ddit
A137: 李音節Ddix
A138: 李音節Ddi
A139: 一音節Ddip
A13A: イーシラブル
A13B: イーシラブルディー
A13C: イーシラブル
A13D: 李音節日付
A13E: 一音節Ddax
A13F: 李音節Dda
A140: 李音節Ddap
A141: 李音節デュドックス
A142: 一音節デュドゥ
A143: 李音節Dduop
A144: 李音節ドット
A145: 一音節Ddox
A146: イ・シラブルDdo
A147: 一音節Ddop
A148: 李音節Ddex
A149: 一音節Dde
A14A: 李音節Ddep
A14B: 李音節数
A14C: 李音節Ddux
A14D: 李音節Ddu
A14E: 李音節Ddup
A14F: イーシラブルデュデュルクス
A150: 李音節ドゥドゥル
A151: 一音節Ndit
A152: 一音節Ndix
A153: 一音節Ndi
A154: 一音節Ndip
A155: イ・シラブル・ンディエックス
A156: イーシラブルンディ
A157: 一音節Ndat
A158: 一音節Ndax
A159: 一音節Nda
A15A: 一音節Ndap
A15B: 一音節Ndot
A15C: YiシラブルNdox
A15D: 一音節Ndo
A15E: 一音節Ndop
A15F: 一音節Ndex
A160: 一音節Nde
A161: 一音節Ndep
A162: 一音節Ndut
A163: 一音節Ndux
A164: 一音節Ndu
A165: 李音節Ndup
A166: 一音節Ndurx
A167: 李音節
A168: 李音節ニット
A169: 李音節混語
A16A: 一音節Hni
A16B: 一音節ヒップ
A16C: 李音節ニエット
A16D: イーシラブル
A16E: 李音節ハニー
A16F: イーシラブルHniep
A170: 李音節ハット
A171: 李音節ハナックス
A172: 一音節Hna
A173: 李音節n音
A174: 一音節Hnuox
A175: 李音節Hnuo
A176: 李音節の結び目
A177: 一音節Hnox
A178: 一音節Hnop
A179: 一音節ヘネックス
A17A: 李音節ne
A17B: 李音節ヘネップ
A17C: 李音節ハット
