A400: 李音節クワイエット
A401: 李音節Qiex
A402: 李音節Qie
A403: 李音節Qiep
A404: 一音節引用符
A405: 李音節クオックス
A406: 李音節
A407: 李音節コップ
A408: 一音節コット
A409: 李音節Qox
A40A: 李音節Qo
A40B: 李音節コップ
A40C: 一音節カット
A40D: 李音節クックス
A40E: 李音節ク
A40F: 李音節クップ
A410: 李音節クックス
A411: 李音節コー
A412: 李音節Qyt
A413: 李音節Qyx
A414: 李音節Qy
A415: 李音節Qyp
A416: 一音節キルックス
A417: 李音節Qyr
A418: 李音節Jjit
A419: 李音節Jjix
A41A: 李音節Jji
A41B: 一音節Jjip
A41C: 李音節Jjiet
A41D: 李音節傑
A41E: 李音節傑
A41F: 李音節ジェイェプ
A420: 一音節Jjuox
A421: 李音節じゅうお
A422: 李音節Jjuop
A423: 李音節ジョジョ
A424: 李音節Jjox
A425: 一音節ジョジョ
A426: 一音節Jjop
A427: 李音節語頭
A428: 一音節Jjux
A429: 一音節ジュジュ
A42A: 李音節Jjup
A42B: 李音節ジュルクス
A42C: 李音節ジュール
A42D: 李音節Jjyt
A42E: 李音節Jjyx
A42F: 李音節Jjy
A430: 李音節Jjyp
A431: 一音節ニジット
A432: 李音節ニクス
A433: 一音節Nji
A434: 李音節ニップ
A435: イ・シラブル・ニジェト
A436: イ・シラブル・ニジェックス
A437: 李音節ニジェ
A438: 李音節ニジェップ
A439: Yi Syllable Njuox
A43A: 一音節Njuo
A43B: 一音節ニョット
A43C: 一音節ニホックス
A43D: 一音節ニョ
A43E: 一音節ニョップ
A43F: 一音節Njux
A440: 一音節Nju
A441: 一音節Njup
A442: 李音節ニュルクス
A443: 李音節ニュール
A444: 李音節ニュート
A445: 一音節Njyx
A446: 李音節Njy
A447: 一音節Njyp
A448: イ・シラブル
A449: 李音節文字
A44A: Yi Syllable Nyit
A44B: 一音節ニックス
A44C: 一音節ニー
A44D: 一音節ニップ
A44E: 一音節ニエット
A44F: Yi Syllable Nyiex
A450: Yi Syllable Nyie
A451: 李音節ニエップ
A452: 一音節ニューオックス
A453: 一音節ニューオ
A454: 一音節ニューオープ
A455: Yi Syllable Nyot
A456: Yi Syllable Nyox
A457: 一音節にょ
A458: Yi Syllable Nyop
A459: 一音節ニユット
A45A: 李音節ニユー
A45B: 一音節ニュー
A45C: 李音節ニップ
A45D: 一音節Xit
A45E: 李音節Xix
A45F: Yi音節Xi
A460: 一音節Xip
A461: 李音節シエット
A462: 李音節Xiex
A463: 李音節謝
A464: 李音節Xiep
A465: 一音節Xuox
A466: 李音節徐
A467: 李音節Xot
A468: 一音節Xox
A469: 一音節Xo
A46A: 李音節Xop
A46B: 李音節Xyt
A46C: 李音節Xyx
A46D: 一音節Xy
A46E: 李音節Xyp
A46F: YiシラブルXyrx
A470: 一音節Xyr
A471: イ音節イット
A472: イ音節イクス
A473: Yi音節Yi
A474: イ音節イップ
A475: イーシラブルイエット
A476: YiシラブルYiex
A477: 李音節李
A478: 李音節イープ
A479: 一音節Yuot
A47A: 一音節Yuox
