A500: ヴァイシラブルEe
A501: ヴァイシラブルエン
A502: ヴァイシラブルヒー
A503: ヴァイシラブルウィー
A504: ヴァイシラブルウィーン
A505: ヴァイシラブルピー
A506: ヴァイシラブルビー
A507: バイ音節蜂
A508: ヴァイシラブルムビー
A509: ヴァイシラブルクピー
A50A: ヴァイシラブルMgbee
A50B: ヴァイシラブルグビー
A50C: バイ音節料金
A50D: ヴァイシラブルヴィー
A50E: ヴァイシラブルティー
A50F: ヴァイシラブルジー
A510: ヴァイシラブルディー
A511: ヴァイシラブルドゥー
A512: ヴァイ・シラブル・リー
A513: ヴァイシラブルリー
A514: ヴァイシラブルディー
A515: ヴァイシラブルンディー
A516: ヴァイシラブル
A517: ヴァイシラブルシー
A518: ヴァイシラブルジー
A519: ヴァイシラブルジー
A51A: ヴァイシラブルシー
A51B: ヴァイシラブルジー
A51C: ヴァイシラブルニーエ
A51D: Vai Syllable Yee
A51E: ヴァイシラブルキー
A51F: ヴァイシラブルンギー
A520: ヴァイシラブルジー
A521: ヴァイシラブルミー
A522: ヴァイシラブルニー
A523: ヴァイシラブルニー
A524: ヴァイシラブルI
A525: ヴァイシラブルイン
A526: バイ音節こんにちは
A527: ヴァイシラブルヒン
A528: ヴァイシラブルWi
A529: ヴァイシラブルウィン
A52A: ヴァイシラブルパイ
A52B: ヴァイシラブルビ
A52C: ヴァイシラブルバイ
A52D: ヴァイシラブルMbi
A52E: バイ音節Kpi
A52F: ヴァイシラブルMgbi
A530: ヴァイシラブルGbi
A531: ヴァイシラブルFi
A532: VaiシラブルVi
A533: バイ音節Ti
A534: ヴァイシラブルティ
A535: ヴァイシラブルディー
A536: ヴァイシラブルディ
A537: ヴァイシラブルリー
A538: ヴァイ音節Ri
A539: ヴァイシラブルディ
A53A: Vai Syllable Ndi
A53B: ヴァイシラブルSi
A53C: ヴァイシラブル市
A53D: ヴァイシラブルZi
A53E: ヴァイシラブル志
A53F: ヴァイシラブルCi
A540: ヴァイ・シラブル・ジ
A541: バイ音節Nji
A542: ヴァイシラブル李
A543: Vai Syllable Ki
A544: ヴァイシラブルンギ
A545: ヴァイ音節Gi
A546: ヴァイシラブルミ
A547: バイ音節Ni
A548: ヴァイシラブルニー
A549: ヴァイ音節A
A54A: ヴァイ音節
A54B: ヴァイ音節ンガン
A54C: ヴァイシラブルハ
A54D: ヴァイ音節漢
A54E: ヴァイ音節和
A54F: ヴァイシラブルワン
A550: VaiシラブルPa
A551: ヴァイシラブルバー
A552: ヴァイシラブルBa
A553: ヴァイシラブルムバ
A554: バイ音節Kpa
A555: ヴァイシラブルクパン
A556: ヴァイシラブルMgba
A557: ヴァイシラブルGba
A558: ヴァイ音節Fa
A559: ヴァイシラブルVa
A55A: ヴァイシラブルTa
A55B: ヴァイシラブルター
A55C: ヴァイシラブルダ
A55D: ヴァイシラブルダー
A55E: ヴァイシラブルラ
A55F: ヴァイシラブルラ
A560: ヴァイシラブルダ
A561: ヴァイシラブルNda
A562: VaiシラブルSa
A563: ヴァイシラブル沙
A564: ヴァイシラブルザ
A565: ヴァイシラブル趙
A566: バイ音節Ca
A567: ヴァイシラブルジャ
A568: ヴァイ音節ニャ
A569: Vai Syllable Ya
A56A: Vai Syllable Ka
A56B: 五音節カン
A56C: ヴァイシラブルンガ
A56D: バイ音節Ga
