A700: 修飾文字中国トーン陰ピン
A701: 修飾文字中国トーンヤンピン
A702: 修飾文字中国トーン陰シャン
A703: 修飾文字中国トーンヤンシャン
A704: 修飾文字中国トーン陰Qu
A705: 修飾文字中国トーンヤン曲
A706: 修飾文字中国語トーン陰Ru
A707: 修飾文字中国トーンヤンルー
A708: 修飾文字特大ドットトーンバー
A709: 修飾文字高ドットトーンバー
A70A: モディファイアレターミッドドットトーンバー
A70B: 修飾文字低ドットトーンバー
A70C: 修飾文字超低ドットトーンバー
A70D: 修飾文字超高ドット左ステムトーンバー
A70E: 修飾文字高ドット左ステムトーンバー
A70F: モディファイアレターミッドドットレフトステムトーンバー
A710: 修飾文字低ドット左ステムトーンバー
A711: 修飾文字超低ドット左ステムトーンバー
A712: 修飾文字超高左ステムトーンバー
A713: 修飾レターハイレフトステムトーンバー
A714: モディファイアレターミッドレフトステムトーンバー
A715: 修正レター低左ステムトーンバー
A716: 修飾文字超低左ステムトーンバー
A717: 修飾文字ドット縦線
A718: 修飾文字ドットドットスラッシュ
A719: 修飾文字ドット水平バー
A71A: 修正レター右下隅角
A71B: 修飾文字が上向きの矢印
A71C: 修飾文字が下向きの矢印
A71D: 修飾文字で感嘆符が発生
A71E: 修飾文字で反転した感嘆符が表示される
A71F: 修飾文字低逆感嘆符
A720: 修飾文字ストレスと高音
A721: 修飾文字のストレスと低音
A722: ラテン大文字エジプトアレフ
A723: ラテン小文字エジプトアレフ
A724: ラテン大文字のエジプトアイン
A725: ラテン小文字エジプトアイン
A726: ラテン大文字Heng
A727: ラテン小文字ヘン
A728: ラテン大文字Tz
A729: ラテン小文字Tz
A72A: ラテン大文字Tresillo
A72B: ラテン小文字Tresillo
A72C: ラテン大文字レオナルド文字
A72D: ラテン小文字クアトリロ
A72E: カンマ付きラテン大文字Cuatrillo
A72F: ラテン小文字クアトリロとコンマ
A730: ラテン文字小大文字F
A731: ラテン文字小大文字S
A732: ラテン大文字Aa
A733: ラテン小文字Aa
A734: ラテン大文字Ao
A735: ラテン小文字Ao
A736: ラテン大文字Au
A737: ラテン小文字Au
A738: ラテン大文字Av
A739: ラテン小文字Av
A73A: 水平バー付きラテン大文字Av
A73B: 水平バー付きラテン小文字Av
A73C: ラテン大文字Ay
A73D: ラテン小文字Ay
A73E: ラテン大文字はドットでCを逆にした
A73F: ラテン小文字がドットでCを逆にした
A740: ストローク付きラテン大文字K
A741: ストローク付きラテン小文字K
A742: 斜めのストロークでラテン大文字K
A743: 斜めのストロークでラテン小文字K
A744: ストロークと斜めストロークのあるラテン大文字K
A745: ストロークと斜めストロークのあるラテン小文字K
A746: ラテン大文字ブロークンL
A747: ラテン小文字折れL
A748: 高ストロークラテン大文字L
A749: 高ストロークラテンラテン文字L
A74A: ロングストロークオーバーレイ付きラテン大文字O
A74B: ロングストロークオーバーレイ付きラテン小文字O
A74C: ループ付きラテン大文字O
A74D: ループ付きラテン小文字O
A74E: ラテン大文字Oo
A74F: ラテン小文字Oo
A750: 下線を通るストロークを持つラテン大文字P
A751: ディセンダを通るストロークを持つラテン小文字P
A752: 繁栄とラテン大文字P
A753: 繁栄とラテン小文字P
A754: リスの尾を持つラテン大文字P
A755: リスの尾を持つラテン小文字P
A756: 下線を通るストロークを持つラテン大文字Q
A757: ディセンダを通るストロークを持つラテン小文字Q
A758: 斜めのストロークでラテン大文字Q
A759: 斜めのストロークでラテン小文字Q
A75A: ラテン大文字Rロタンダ
A75B: ラテン小文字Rロタンダ
A75C: ラテン大文字のラム酒ロタンダ
A75D: ラテン小文字Rum Rotunda
A75E: 斜めのストロークでラテン大文字V
A75F: 斜めのストロークでラテン小文字V
A760: ラテン大文字Vy
A761: ラテン小文字Vy
A762: ラテン大文字Visigothic Z
A763: ラテン小文字Visigothic Z
A764: ラテン大文字のとげのあるとげ
A765: ストロークとラテン小文字のとげ
A766: ディセンダーを通ってストロークでとげのあるラテン大文字
A767: ディセンダーを通ってストロークでとげのあるラテン小文字
A768: ラテン大文字レターベンダー
A769: ラテン小文字書店
A76A: ラテン大文字のEt
A76B: ラテン小文字E
A76C: ラテン大文字は
A76D: ラテン小文字は
A76E: ラテン大文字Con
A76F: ラテン小文字コン
A770: 修正レター
A771: ラテン小文字ダム
A772: ラテン小文字Lum
A773: ラテン小文字の母
A774: ラテン小文字番号
A775: ラテン小文字ラム
A776: ラテン文字小資本ラム
A777: ラテンスモールレタータム
A778: ラテン小文字Um
A779: ラテン大文字Insular D
A77A: ラテン小文字の島D
A77B: ラテン大文字Insular F
A77C: ラテン小文字の島F
A77D: ラテン大文字Insular G
A77E: ラテン大文字がInsular Gに変わった
A77F: ラテン小文字がInsular Gに変わった
A780: ラテン大文字大文字L
A781: ラテン小文字L
A782: ラテン大文字のInsular R
A783: ラテン小文字の島R
A784: ラテン大文字Insular S
A785: ラテン小文字の島S
A786: ラテン大文字Insular T
A787: ラテン小文字の島T
A788: 修飾文字低アクセントアクセント
A789: 修飾文字コロン
A78A: 修飾文字ショート等号
A78B: ラテン大文字のサルティヨ
A78C: ラテン小文字Salstillo
A78D: ラテン大文字がHになった
A78E: レトロフレックスフックとベルト付きラテン小文字L
A78F: ラテン小文字Sinologicalドット
A790: ディセンダー付きラテン大文字N
A791: 子孫付きラテン小文字N
A792: ラテン大文字の大文字Cとバー : カンブリア紀のシンボル
A793: ラテン小文字C（バー付き）
A794: パラタルフック付きラテン小文字C
A795: パラタルフック付きラテン小文字H
A796: 繁栄とラテン大文字B
A797: 繁栄とラテン小文字B
A798: ストローク付きラテン大文字F
A799: ストローク付きラテン小文字F
A79A: ラテン大文字Volapuk Ae
A79B: ラテン小文字Volapuk Ae
A79C: ラテン大文字Volapuk大江
A79D: ラテン小文字Volapuk大江
A79E: ラテン大文字Volapuk Ue
A79F: ラテン小文字Volapuk Ue
A7A0: 斜めのストロークでラテン大文字G
A7A1: 斜めのストロークでラテン小文字G
A7A2: 斜めのストロークでラテン大文字K
A7A3: 斜めのストロークでラテン小文字K
A7A4: 斜めのストロークでラテン大文字N
A7A5: 斜めのストロークでラテン小文字N
A7A6: 斜めのストロークでラテン大文字R
A7A7: 斜めのストロークでラテン小文字R
A7A8: 斜めのストロークでラテン大文字S
A7A9: 斜めのストロークでラテン小文字S
A7AA: フック付きラテン大文字H
A7AB: ラテン大文字がOpen Eを反転
A7AC: ラテン大文字スクリプトG
A7AD: ベルト付きラテン大文字L
A7AE: ラテン大文字レタースモールキャピタルI
A7AF: ラテン文字小大文字Q
A7B0: ラテン大文字のKが変わりました
A7B1: ラテン大文字がTになった
A7B2: クロステール付きラテン大文字J
A7B3: ラテン大文字Chi
A7B4: ラテン大文字Beta
A7B5: ラテン小文字ベータ
A7B6: ラテン大文字オメガ
A7B7: ラテン小文字オメガ
A7B8: ストローク付きラテン大文字U
A7B9: ストローク付きラテン小文字U
A7BA:
A7BB:
A7BC:
A7BD:
A7BE:
A7BF:
A7C0:
A7C1:
A7C2:
A7C3:
A7C4:
A7C5:
A7C6:
A7C7:
A7C8:
A7C9:
A7CA:
A7CB:
A7CC:
A7CD:
A7CE:
A7CF:
A7D0:
A7D1:
A7D2:
A7D3:
A7D4:
A7D5:
A7D6:
A7D7:
A7D8:
A7D9:
A7DA:
A7DB:
A7DC:
A7DD:
A7DE:
A7DF:
