AE00: ハングル音節Geul
AE01: ハングル音節Geulg
AE02: ハングル音節語
AE03: ハングル音節Geulb
AE04: ハングル音節語
AE05: ハングル音節ゲルト
AE06: ハングル音節ガルプ
AE07: ハングル音節ガウル
AE08: ハングル音節ガム
AE09: ハングル音節ギブ
AE0A: ハングル音節ギブ
AE0B: ハングル音節ギアス
AE0C: ハングル音節ガウス
AE0D: ハングル音節チョン
AE0E: ハングル音節
AE0F: ハングル音節ギョク
AE10: ハングル音節ギョク
AE11: ハングル音節
AE12: ハングル音節ギープ
AE13: ハングル音節
AE14: ハングル音節ギー
AE15: ハングル音節ギグ
AE16: ハングル音節ギグ
AE17: ハングル音節ギグ
AE18: ハングル音節ぎんぎん
AE19: ハングル音節ギニ
AE1A: ハングル音節ギン
AE1B: ハングル音節ギド
AE1C: ハングル音節ギル
AE1D: ハングル音節ギルグ
AE1E: ハングル音節ギルム
AE1F: ハングル音節ギルブ
AE20: ハングル音節ギル
AE21: ハングル音節ギルト
AE22: ハングル音節ギルプ
AE23: ハングル音節ギル
AE24: ハングル音節ギム
AE25: ハングル音節ギブ
AE26: ハングル音節ギブ
AE27: ハングル音節ギス
AE28: ハングル音節ギス
AE29: ハングル音節ゲイ
AE2A: ハングル音節ギジュ
AE2B: ハングル音節ギク
AE2C: ハングル音節ギク
AE2D: ハングル音節ギット
AE2E: ハングル音節ギップ
AE2F: ハングル音節ギー
AE30: ハングル音節語
AE31: ハングル音節ギグ
AE32: ハングル音節ギグ
AE33: ハングル音節ギグ
AE34: ハングル音節銀
AE35: ハングル音節Ginj
AE36: ハングル音節ギン
AE37: ハングル音節ギッド
AE38: ハングル音節ギル
AE39: ハングル音節ギルグ
AE3A: ハングル音節ギルム
AE3B: ハングル音節ギルブ
AE3C: ハングル音節ギル
AE3D: ハングル音節金箔
AE3E: ハングル音節ギルプ
AE3F: ハングル音節ギル
AE40: ハングル音節ジム
AE41: ハングル音節ギブ
AE42: ハングル音節ギブス
