AF00: ハングル音節ギギョル
AF01: ハングル音節ギジェルト
AF02: ハングル音節Ggyeolp
AF03: ハングル音節Ggyeolh
AF04: ハングル音節ギョム
AF05: ハングル音節ギギオブ
AF06: ハングル音節ギギオブ
AF07: ハングル音節ギョイオス
AF08: ハングル音節ギギオス
AF09: ハングル音節ギョン
AF0A: ハングル音節Ggyeoj
AF0B: ハングル音節ギョック
AF0C: ハングル音節ギョク
AF0D: ハングル音節ギジョー
AF0E: ハングル音節ギギョプ
AF0F: ハングル音節ギョー
AF10: ハングル音節ギゲ
AF11: ハングル音節ギゲ
AF12: ハングル音節ギゲ
AF13: ハングル音節ギギエス
AF14: ハングル音節ギギン
AF15: ハングル音節Ggyenj
AF16: ハングル音節ギゲ
AF17: ハングル音節ギギド
AF18: ハングル音節Ggyel
AF19: ハングル音節Ggyelg
AF1A: ハングル音節Ggyelm
AF1B: ハングル音節Ggyelb
AF1C: ハングル音節ギゲル
AF1D: ハングル音節Ggyelt
AF1E: ハングル音節Ggyelp
AF1F: ハングル音節Ggyelh
AF20: ハングル音節ギム
AF21: ハングル音節ギギエブ
AF22: ハングル音節ギゲ
AF23: ハングル音節ギギ
AF24: ハングル音節ギギ
AF25: ハングル音節ギゲ
AF26: ハングル音節ギゲ
AF27: ハングル音節ギゲ
AF28: ハングル音節ギギエク
AF29: ハングル音節ギゲ
AF2A: ハングル音節ギギエプ
AF2B: ハングル音節ギゲ
AF2C: ハングル音節Ggo
AF2D: ハングル音節Ggog
AF2E: ハングル音節Ggogg
AF2F: ハングル音節Ggogs
AF30: ハングル音節ゴゴン
AF31: ハングル音節Ggonj
AF32: ハングル音節ゴンゴ
AF33: ハングル音節Ggod
AF34: ハングル音節Ggol
AF35: ハングル音節Ggolg
AF36: ハングル音節Ggolm
AF37: ハングル音節Ggolb
AF38: ハングル音節Ggols
AF39: ハングル音節Ggolt
AF3A: ハングル音節Ggolp
AF3B: ハングル音節Ggolh
AF3C: ハングル音節文字
