B500: ハングル音節Dyil
B501: ハングル音節Dyilg
B502: ハングル音節ディルム
B503: ハングル音節Dyilb
B504: ハングル音節染め
B505: ハングル音節ディルト
B506: ハングル音節ディルプ
B507: ハングル音節Dyilh
B508: ハングル音節Dyim
B509: ハングル音節Dyib
B50A: ハングル音節Dyibs
B50B: ハングル音節ダイス
B50C: ハングルシラブルダイス
B50D: ハングル音節死
B50E: ハングル音節Dyij
B50F: ハングル音節文字
B510: ハングル音節Dyik
B511: ハングル音節Dyit
B512: ハングル音節ディップ
B513: ハングル音節Dyih
B514: ハングル音節文字
B515: ハングル音節発声
B516: ハングル音節Digg
B517: ハングル音節発声
B518: ハングル音節ディン
B519: ハングル音節Dinj
B51A: ハングル音節ディン
B51B: ハングル音節
B51C: ハングル音節ディル
B51D: ハングル音節ディルグ
B51E: ハングル音節ディルム
B51F: ハングル音節ディルブ
B520: ハングル音節文字
B521: ハングル音節ディルト
B522: ハングル音節ディルプ
B523: ハングル音節ディル
B524: ハングル音節調
B525: ハングル音節Dib
B526: ハングル音節ジブ
B527: ハングル音節文字
B528: ハングル音節文字
B529: ハングル音節丁
B52A: ハングル音節Dij
B52B: ハングル音節辞書
B52C: ハングル音節ディク
B52D: ハングル音節Dit
B52E: ハングル音節ディップ
B52F: ハングル音節Dih
B530: ハングル音節Dda
B531: ハングル音節Ddag
B532: ハングル音節Ddagg
B533: ハングル音節Ddag
B534: ハングル音節Ddan
B535: ハングル音節Ddanj
B536: ハングル音節Ddanh
B537: ハングル音節パパ
B538: ハングル音節記号
B539: ハングル音節記号
B53A: ハングル音節語
B53B: ハングル音節Dalb
B53C: ハングル音節記号
B53D: ハングル音節語
B53E: ハングル音節Dalp
B53F: ハングル音節Ddalh
B540: ハングル音節ダム
B541: ハングル音節Dab
B542: ハングル音節Dab
B543: ハングル音節Ddas
B544: ハングル音節Ddass
B545: ハングル音節Ddang
B546: ハングル音節Ddaj
B547: ハングル音節Ddac
B548: ハングル音節Ddak
B549: ハングル音節日付
B54A: ハングル音節Ddap
B54B: ハングル音節Ddah
B54C: ハングル音節文字
B54D: ハングル音節文字
B54E: ハングル音節Ddaegg
B54F: ハングル音節文字
B550: ハングル音節デーン
B551: ハングル音節Ddaenj
B552: ハングル音節Ddaenh
B553: ハングル音節Ddaed
B554: ハングル音節記号
B555: ハングル音節文字
B556: ハングル音節Ddaelm
B557: ハングル音節Ddaelb
B558: ハングル音節記号
B559: ハングル音節文字
B55A: ハングル音節Ddaelp
B55B: ハングル音節文字
B55C: ハングル音節Ddaem
B55D: ハングル音節Ddaeb
B55E: ハングル音節Ddaebs
B55F: ハングル音節Dda
B560: ハングル音節大声
B561: ハングル音節文
B562: ハングル音節Ddaej
B563: ハングル音節Ddaec
B564: ハングル音節Ddaek
B565: ハングル音節文字
B566: ハングル音節Ddaep
B567: ハングル音節文
B568: ハングル音節ディヤ
B569: ハングル音節Ddyag
B56A: ハングル音節Ddyagg
B56B: ハングル音節ダイアグ
B56C: ハングル音節ディダン
B56D: ハングル音節ディヤニ
B56E: ハングル音節ディヤン
B56F: ハングル音節ダイアド
B570: ハングル音節ダイアダル
B571: ハングル音節Ddyalg
B572: ハングル音節ダイアルム
B573: ハングル音節Ddyalb
B574: ハングル音節ダイアダル
B575: ハングル音節ダイアルト
B576: ハングル音節ダイアダルプ
B577: ハングル音節Ddyalh
B578: ハングル音節ダイアム
B579: ハングル音節ダイアブ
B57A: ハングル音節Dyabs
