BD00: ハングルシラブルボール
BD01: ハングル音節ボルト
BD02: ハングル音節ボルプ
BD03: ハングル音節ボル
BD04: ハングル音節ボム
BD05: ハングル音節ボブ
BD06: ハングル音節ボブ
BD07: ハングル音節ボス
BD08: ハングル音節ボス
BD09: ハングル音節ボン
BD0A: ハングル音節文字
BD0B: ハングル音節Boc
BD0C: ハングル音節福
BD0D: ハングル音節ボット
BD0E: ハングル音節バップ
BD0F: ハングル音節語
BD10: ハングル音節ブワ
BD11: ハングル音節Bwag
BD12: ハングル音節Bwagg
BD13: ハングル音節小品
BD14: ハングル音節ブワン
BD15: ハングル音節ブワニ
BD16: ハングル音節ブワン
BD17: ハングル音節両用
BD18: ハングル音節ブール
BD19: ハングル音節ウォルグ
BD1A: ハングル音節ブール
BD1B: ハングル音節Bwalb
BD1C: ハングル音節ブール
BD1D: ハングル音節ウォルト
BD1E: ハングル音節ブワルプ
BD1F: ハングル音節ブワ
BD20: ハングル音節ブーム
BD21: ハングル音節ブワブ
BD22: ハングル音節ブワブ
BD23: ハングル音節ブワ
BD24: ハングル音節低音
BD25: ハングル音節ブワン
BD26: ハングル音節ブワジ
BD27: ハングル音節Bwac
BD28: ハングル音節ブーク
BD29: ハングル音節ブワット
BD2A: ハングル音節スワップ
BD2B: ハングル音節ブワ
BD2C: ハングル音節ブワイ
BD2D: ハングル音節ブエッグ
BD2E: ハングル音節Bwaegg
BD2F: ハングル音節名詞
BD30: ハングル音節ブウェン
BD31: ハングル音節ブワニ
BD32: ハングル音節ブウェン
BD33: ハングル音節
BD34: ハングル音節ブウェル
BD35: ハングル音節Bwaelg
BD36: ハングル音節ブエルム
BD37: ハングル音節ブウェルブ
BD38: ハングル音節ブウェルズ
BD39: ハングル音節ブウェルト
BD3A: ハングル音節Bwaelp
BD3B: ハングル音節ブウェル
BD3C: ハングル音節ブーム
BD3D: ハングル音節Bwaeb
BD3E: ハングル音節Bwaebs
BD3F: ハングル音節
BD40: ハングル音節名
BD41: ハングル音節ブウェン
BD42: ハングル音節ブワイ
BD43: ハングル音節Bwaec
BD44: ハングル音節Bwaek
BD45: ハングル音節ブウェット
BD46: ハングル音節Bwaep
BD47: ハングル音節ブウェ
BD48: ハングルシラブルボー
BD49: ハングルシラブルボーグ
BD4A: ハングル音節Boegg
BD4B: ハングルシラブルボッグ
BD4C: ハングル音節文字
BD4D: ハングル音節Boenj
BD4E: ハングル音節Boenh
BD4F: ハングル音節Boed
BD50: ハングル音節ボイル
BD51: ハングル音節Boelg
BD52: ハングル音節ボルム
BD53: ハングル音節ボイルブ
BD54: ハングル音節ボイル
BD55: ハングル音節Boelt
BD56: ハングル音節Boelp
BD57: ハングル音節文字
BD58: ハングル音節ボーム
BD59: ハングル音節ボブ
BD5A: ハングル音節ボブ
BD5B: ハングルシラブルボーイズ
BD5C: ハングル音節ボス
BD5D: ハングル音節Boeng
BD5E: ハングル音節Boej
BD5F: ハングル音節Boec
BD60: ハングル音節ボーク
BD61: ハングル音節ブーツ
BD62: ハングル音節ブープ
BD63: ハングル音節文字
BD64: ハングル音節Byo
BD65: ハングル音節Byog
BD66: ハングル音節Byogg
BD67: ハングル音節Byogs
BD68: ハングル音節バイロン
BD69: ハングル音節
BD6A: ハングル音節
BD6B: ハングル音節Byod
BD6C: ハングル音節Byol
BD6D: ハングル音節Byolg
BD6E: ハングル音節語
BD6F: ハングル音節Byolb
BD70: ハングル音節Byols
BD71: ハングル音節バイト
BD72: ハングル音節Byolp
BD73: ハングル音節Byolh
BD74: ハングル音節Byom
BD75: ハングル音節Byob
BD76: ハングル音節Byobs
BD77: ハングル音節Byos
BD78: ハングル音節Byoss
BD79: ハングル音節Byong
BD7A: ハングル音節Byoj
BD7B: ハングル音節Byoc
BD7C: ハングル音節Byok
BD7D: ハングル音節Byot
BD7E: ハングル音節Byop
BD7F: ハングル音節Byoh
BD80: ハングル音節文
BD81: ハングル音節バグ
BD82: ハングル音節バグ
BD83: ハングル音節バグ
BD84: ハングル音節パン
BD85: ハングル音節Bunj
BD86: ハングル音節文
BD87: ハングル音節芽
BD88: ハングル音節ブル
BD89: ハングル音節バルク
BD8A: ハングル音節
BD8B: ハングル音節電球
BD8C: ハングル音節
BD8D: ハングル音節バルト
BD8E: ハングル音節
BD8F: ハングル音節
BD90: ハングル音節バム
BD91: ハングル音節バブ
BD92: ハングル音節バブ
BD93: ハングル音節バス
BD94: ハングル音節バス
BD95: ハングル音節栓
BD96: ハングル音節Buj
BD97: ハングル音節Buc
BD98: ハングル音節ブック
BD99: ハングル音節
BD9A: ハングル音節ブッ
BD9B: ハングル音節Buh
BD9C: ハングル音節ブヴェ
BD9D: ハングル音節ブイブ
BD9E: ハングル音節Bweogg
BD9F: ハングルシラブルブウィッグ
BDA0: ハングル音節ブウィオン
BDA1: ハングル音節ブウィョン
BDA2: ハングル音節ブウィョン
BDA3: ハングル音節Bweod
