BF00: ハングル音節僧侶
BF01: ハングル音節Bbeng
BF02: ハングル音節名詞
BF03: ハングル音節Bbec
BF04: ハングル音節ベベ
BF05: ハングル音節Bbet
BF06: ハングル音節ベベ
BF07: ハングル音節名詞
BF08: ハングル音節Bbyeo
BF09: ハングル音節Bbyeog
BF0A: ハングル音節Bbyeogg
BF0B: ハングル音節
BF0C: ハングル音節Bbyeon
BF0D: ハングル音節Bbyeonj
BF0E: ハングル音節Bbyeonh
BF0F: ハングル音節Bbyeod
BF10: ハングル音節Bbyeol
BF11: ハングル音節Bbyeolg
BF12: ハングル音節Bbyeolm
BF13: ハングル音節Bbyeolb
BF14: ハングル音節Bbyeols
BF15: ハングル音節Bbyeolt
BF16: ハングル音節Bbyeolp
BF17: ハングル音節Bbyeolh
BF18: ハングル音節Bbyeom
BF19: ハングル音節Bbyeob
BF1A: ハングル音節Bbyeobs
BF1B: ハングル音節Bbyeos
BF1C: ハングル音節Bbyeoss
BF1D: ハングル音節Bbyeong
BF1E: ハングル音節Bbyeoj
BF1F: ハングル音節Bbyeoc
BF20: ハングル音節Bbyeok
BF21: ハングル音節Bbyeot
BF22: ハングル音節Bbyeop
BF23: ハングル音節Bbyeoh
BF24: ハングル音節Bbye
BF25: ハングル音節Bbyeg
BF26: ハングル音節Bbyegg
BF27: ハングル音節のBbyegs
BF28: ハングル音節Bbyen
BF29: ハングル音節Bbyenj
BF2A: ハングル音節Bbyenh
BF2B: ハングル音節
BF2C: ハングル音節Bbyel
BF2D: ハングル音節Bbyelg
BF2E: ハングル音節Bbyelm
BF2F: ハングル音節Bbyelb
BF30: ハングル音節Bbyels
BF31: ハングル音節Bbyelt
BF32: ハングル音節バイバイ
BF33: ハングル音節Bbyelh
BF34: ハングル音節Bbyem
BF35: ハングル音節Bbyeb
BF36: ハングル音節Bbyebs
BF37: ハングル音節Bbyes
BF38: ハングル音節の深さ
BF39: ハングル音節
BF3A: ハングル音節Bbyej
BF3B: ハングル音節Bbyec
BF3C: ハングル音節Bbyek
BF3D: ハングル音節Bbyet
BF3E: ハングル音節Bbyep
BF3F: ハングル音節Bbyeh
BF40: ハングル音節Bbo
BF41: ハングル音節ボボ
BF42: ハングル音節Bbogg
BF43: ハングル音節ボブ
BF44: ハングル音節ボーン
BF45: ハングル音節Bbonj
BF46: ハングル音節Bbonh
BF47: ハングル音節Bbod
BF48: ハングル音節文字
BF49: ハングル音節文字
BF4A: ハングル音節ボルム
BF4B: ハングル音節Bbolb
BF4C: ハングル音節文字
BF4D: ハングルシラブルボルト
BF4E: ハングル音節Bbolp
BF4F: ハングル音節Bbolh
BF50: ハングル音節ボム
BF51: ハングル音節ボブ
BF52: ハングル音節ボブ
BF53: ハングル音節ボス
BF54: ハングル音節ボス
BF55: ハングル音節鳳
BF56: ハングル音節Bboj
BF57: ハングル音節Bboc
BF58: ハングル音節ボック
BF59: ハングル音節ボット
BF5A: ハングル音節Bbop
BF5B: ハングル音節Bboh
BF5C: ハングル音節Bbwa
BF5D: ハングル音節Bbwag
BF5E: ハングル音節Bbwagg
BF5F: ハングル音節ぽっちゃり
BF60: ハングル音節Bbwan
BF61: ハングル音節Bbwanj
BF62: ハングル音節Bbwanh
BF63: ハングル音節Bbwad
BF64: ハングル音節名声
BF65: ハングル音節Bbwalg
BF66: ハングル音節Bbwalm
BF67: ハングル音節Bbwalb
BF68: ハングル音節bbwals
BF69: ハングルシラブルBbwalt
BF6A: ハングル音節Bbwalp
BF6B: ハングル音節Bbwalh
BF6C: ハングル音節Bbwam
BF6D: ハングル音節Bbwab
BF6E: ハングル音節Bbwabs
BF6F: ハングル音節Bbwas
BF70: ハングル音節Bbwass
BF71: ハングル音節Bbwang
BF72: ハングル音節Bbwaj
BF73: ハングル音節ぽっちゃり
BF74: ハングル音節ぽっちゃり
BF75: ハングル音節Bbwat
BF76: ハングル音節Bbwap
BF77: ハングル音節Bbwah
BF78: ハングル音節
BF79: ハングル音節Bbwaeg
BF7A: ハングル音節Bbwaegg
BF7B: ハングル音節bbwaegs
BF7C: ハングル音節Bbwaen
BF7D: ハングル音節Bbwaenj
BF7E: ハングル音節Bbwaenh
BF7F: ハングル音節
BF80: ハングル音節
BF81: ハングル音節Bbwaelg
BF82: ハングル音節Bbwaelm
BF83: ハングル音節Bbwaelb
BF84: ハングル音節
BF85: ハングル音節Bbwaelt
BF86: ハングル音節Bbwaelp
BF87: ハングル音節Bbwaelh
BF88: ハングル音節Bbwaem
BF89: ハングル音節Bbwaeb
BF8A: ハングル音節
BF8B: ハングル音節
BF8C: ハングル音節
BF8D: ハングル音節
BF8E: ハングル音節Bbwaej
BF8F: ハングル音節Bbwaec
BF90: ハングル音節Bbwaek
BF91: ハングル音節Bbwaet
BF92: ハングル音節
BF93: ハングル音節Bbwaeh
BF94: ハングル音節Bboe
BF95: ハングル音節Bboeg
BF96: ハングル音節Bboegg
BF97: ハングル音節Bboegs
BF98: ハングル音節Bboen
BF99: ハングル音節Bboenj
BF9A: ハングル音節Bboenh
BF9B: ハングル音節Bboed
BF9C: ハングル音節Bboel
BF9D: ハングル音節Bboelg
BF9E: ハングル音節Bboelm
BF9F: ハングル音節Bboelb
BFA0: ハングル音節Bboels
BFA1: ハングル音節Bboelt
BFA2: ハングルシラブルBboelp
BFA3: ハングル音節Bboelh
BFA4: ハングル音節Bboem
BFA5: ハングル音節Bboeb
BFA6: ハングル音節Bboebs
BFA7: ハングルシラブルBboes
BFA8: ハングル音節Bboess
BFA9: ハングル音節Bboeng
BFAA: ハングル音節Bboej
BFAB: ハングル音節Bboec
BFAC: ハングル音節Bboek
BFAD: ハングル音節Bboet
BFAE: ハングル音節Bboep
BFAF: ハングル音節Bboeh
BFB0: ハングル音節Bbyo
BFB1: ハングル音節Bbyog
BFB2: ハングル音節Bbyogg
BFB3: ハングル音節Bbyogs
BFB4: ハングル音節Bbyon
BFB5: ハングル音節Bbyonj
BFB6: ハングル音節Bbyonh
BFB7: ハングル音節Bbyod
BFB8: ハングル音節Bbyol
BFB9: ハングル音節Bbyolg
BFBA: ハングル音節Bbyolm
BFBB: ハングル音節Bbyolb
BFBC: ハングル音節bbyols
BFBD: ハングル音節Bbyolt
BFBE: ハングル音節Bbyolp
BFBF: ハングル音節Bbyolh
BFC0: ハングル音節Bbyom
BFC1: ハングル音節Bbyob
BFC2: ハングル音節Bbyob
BFC3: ハングル音節Bbyos
BFC4: ハングル音節Bbyoss
BFC5: ハングル音節Bbyong
BFC6: ハングル音節Bbyoj
BFC7: ハングル音節Bbyoc
BFC8: ハングル音節Bbyok
BFC9: ハングル音節Bbyot
BFCA: ハングル音節Bbyop
BFCB: ハングル音節Bbyoh
BFCC: ハングル音節Bbu
BFCD: ハングル音節文字
BFCE: ハングル音節文字
BFCF: ハングル音節文字
BFD0: ハングル音節Bbun
BFD1: ハングル音節Bbunj
BFD2: ハングル音節Bbunh
BFD3: ハングル音節Bbud
BFD4: ハングル音節ブル
BFD5: ハングル音節ブルブル
BFD6: ハングル音節ブルーム
BFD7: ハングル音節電球
BFD8: ハングルシラブルブルブル
BFD9: ハングル音節文字
BFDA: ハングル音節ブルプ
BFDB: ハングル音節ブル
BFDC: ハングル音節バム
BFDD: ハングル音節Bbub
BFDE: ハングル音節Bbubs
BFDF: ハングル音節Bbus
BFE0: ハングル音節Bbuss
BFE1: ハングル音節Bbung
BFE2: ハングル音節Bbuj
BFE3: ハングル音節Bbuc
BFE4: ハングル音節Bbuk
BFE5: ハングル音節Bbut
BFE6: ハングル音節Bbup
BFE7: ハングル音節文字
BFE8: ハングル音節Bbweo
BFE9: ハングル音節Bbweog
BFEA: ハングル音節Bbweogg
BFEB: ハングル音節Bbweogs
BFEC: ハングル音節Bbweon
BFED: ハングル音節Bbweonj
BFEE: ハングル音節Bbweonh
BFEF: ハングル音節Bbweod
BFF0: ハングル音節Bbweol
BFF1: ハングル音節Bbweolg
BFF2: ハングル音節Bbweolm
BFF3: ハングル音節Bbweolb
BFF4: ハングルシラブルBbweols
BFF5: ハングル音節Bbweolt
BFF6: ハングル音節Bbweolp
BFF7: ハングル音節Bbweolh
BFF8: ハングル音節Bbweom
BFF9: ハングル音節Bbweob
BFFA: ハングル音節Bbweob
BFFB: ハングル音節Bbweos
BFFC: ハングル音節Bbweoss
BFFD: ハングル音節
BFFE: ハングル音節Bbweoj
BFFF: ハングル音節Bbweoc
